除權息日期,代號,名稱,除權息前收盤價,除權息參考價,權值,息值,權值+息值,權/息,漲停價,跌停價,開始交易基準價,減除股利參考價,現金股利,每仟股無償配股,現金增資股數,現金增資認購價,公開承銷股數,員工認購股數,原股東認購股數,按持股比例仟股認購
113/06/04,6788,華景電             ,146.50,140.50,0.000000,6.000000,6.000000,除息,154.50,126.50,140.50,140.50,6.00000000,0.00000000,0,0.00,0,0,0,0.00000000
113/06/05,1259,安心              ,73.60,71.80,0.000000,1.800000,1.800000,除息,78.90,64.70,71.80,71.80,1.80000000,0.00000000,0,0.00,0,0,0,0.00000000
113/06/05,5878,台名              ,49.90,47.40,0.000000,2.500000,2.500000,除息,52.10,42.70,47.40,47.40,2.50000000,0.00000000,0,0.00,0,0,0,0.00000000
113/06/05,6185,幃翔              ,16.30,15.78,0.000000,0.520000,0.520000,除息,17.35,14.25,15.80,15.78,0.52000000,0.00000000,0,0.00,0,0,0,0.00000000
113/06/05,6785,昱展新藥            ,273.50,272.00,0.000000,1.500000,1.500000,除息,299.00,245.00,272.00,272.00,1.50000000,0.00000000,0,0.00,0,0,0,0.00000000
113/06/05,6894,衛司特             ,229.50,223.00,0.000000,6.500000,6.500000,除息,245.00,201.00,223.00,223.00,6.50000000,0.00000000,0,0.00,0,0,0,0.00000000
113/06/06,5523,豐謙              ,31.45,29.95,0.000000,1.500000,1.500000,除息,32.90,27.00,29.95,29.95,1.50000000,0.00000000,0,0.00,0,0,0,0.00000000
113/06/06,5609,中菲行             ,101.00,95.00,0.000000,6.000000,6.000000,除息,104.50,85.50,95.00,95.00,6.00000000,0.00000000,0,0.00,0,0,0,0.00000000
113/06/06,6690,安碁資訊            ,178.50,173.30,0.000000,5.201176,5.201176,除息,190.50,156.00,173.50,173.30,5.20117566,0.00000000,0,0.00,0,0,0,0.00000000
113/06/06,8924,大田              ,92.60,88.30,0.000000,4.300000,4.300000,除息,97.10,79.50,88.30,88.30,4.30000000,0.00000000,0,0.00,0,0,0,0.00000000
113/06/07,4995,晶達              ,61.50,58.30,0.000000,3.199696,3.199696,除息,64.10,52.50,58.30,58.30,3.19969628,0.00000000,0,0.00,0,0,0,0.00000000
113/06/07,6143,振曜              ,137.00,133.00,0.000000,4.000000,4.000000,除息,146.00,120.00,133.00,133.00,4.00000000,0.00000000,0,0.00,0,0,0,0.00000000
