資料日期,股票代號,股票名稱,除權息前收盤價,除權息參考價,權值+息值,權/息,漲停價格,跌停價格,開盤競價基準,減除股利參考價,詳細資料,最近一次申報資料 季別/日期,最近一次申報每股 (單位)淨值,最近一次申報每股 (單位)盈餘
113年06月04日,6412,群電,155.5,149.5,6.0,息,164.0,135.0,149.5,149.5,除權息資料,113年第1季,30.72,1.7
113年06月04日,8487,愛爾達-創,83.3,78.8,4.5,息,86.6,71.0,78.8,78.8,除權息資料,113年第1季,25.18,1.08
113年06月05日,2105,正新,61.5,59.5,2.0,息,65.4,53.6,59.5,59.5,除權息資料,113年第1季,25.4,0.68
113年06月06日,4133,亞諾法,33.2,32.48,0.72,息,35.7,29.25,32.5,32.48,除權息資料,113年第1季,21.02,0.44
113年06月06日,4440,宜新實業,25.8,24.8,1.0,息,27.25,22.35,24.8,24.8,除權息資料,113年第1季,18.81,0.51
113年06月06日,4722,國精化,41.9,40.9,1.0,息,44.95,36.85,40.9,40.9,除權息資料,113年第1季,28.64,0.59
113年06月06日,4958,臻鼎-KY,118.5,115.22,3.275,息,126.5,104.0,115.0,115.22,除權息資料,113年第1季,103.88,1.03
113年06月07日,1323,永裕,31.3,30.3,1.0,息,33.3,27.3,30.3,30.3,除權息資料,113年第1季,26.69,0.26
113年06月07日,1611,中電,17.65,17.15,0.5,息,18.85,15.45,17.15,17.15,除權息資料,113年第1季,13.65,0.18
113年06月07日,9940,信義,33.55,31.95,1.6,息,35.1,28.8,31.95,31.95,除權息資料,113年第1季,17.95,0.62
113年06月11日,2636,台驊投控,112.5,109.0,3.5,息,119.5,98.1,109.0,109.0,除權息資料,113年第1季,63.41,1.88
113年06月11日,2762,世界健身-KY,100.0,94.14,5.855855,息,103.5,84.8,94.1,94.14,除權息資料,113年第1季,35.14,0.86
113年06月11日,6669,緯穎,2630.0,2588.0,42.0,息,2845.0,2330.0,2590.0,2588.0,除權息資料,113年第1季,277.57,26.92
113年06月11日,8028,昇陽半導體,64.2,62.4,1.8,息,68.6,56.2,62.4,62.4,除權息資料,113年第1季,23.16,0.36
113年06月11日,8438,昶昕,41.2,40.3,0.9,息,44.3,36.3,40.3,40.3,除權息資料,113年第1季,24.98,0.36
113年06月12日,2020,美亞,39.9,37.9,2.0,息,41.65,34.15,37.9,37.9,除權息資料,113年第1季,18.37,1.72
113年06月12日,2360,致茂,295.5,288.89,6.600074,息,317.5,260.5,289.0,288.89,除權息資料,113年第1季,48.09,2.27
113年06月12日,2850,新產,95.2,90.21,4.99,息,99.2,81.2,90.2,90.21,除權息資料,113年第1季,58.38,2.78
113年06月12日,6861,睿生光電,73.4,72.3,1.1,息,79.5,65.1,72.3,72.3,除權息資料,113年第1季,32.52,0.51
113年06月12日,9924,福興,56.7,53.7,3.0,息,59.0,48.35,53.7,53.7,除權息資料,113年第1季,35.43,1.3
113年06月13日,1472,三洋實業,72.2,70.2,2.0,息,77.2,63.2,70.2,70.2,除權息資料,113年第1季,34.6,1.13
113年06月13日,1515,力山,46.15,44.95,1.2,息,49.4,40.5,44.95,44.95,除權息資料,113年第1季,21.18,1.34
113年06月13日,1760,寶齡富錦,98.5,97.0,1.5,息,106.5,87.3,97.0,97.0,除權息資料,113年第1季,21.36,0.51
113年06月13日,1773,勝一,159.5,156.3,3.2,息,171.5,141.0,156.5,156.3,除權息資料,113年第1季,36.49,1.6
113年06月13日,1776,展宇,17.9,17.4,0.5,息,19.1,15.7,17.4,17.4,除權息資料,113年第1季,15.12,0.24
113年06月13日,2330,台積電,909.0,905.5,3.499789,息,996.0,815.0,906.0,905.5,除權息資料,113年第1季,140.19,8.7
113年06月13日,2615,萬海,83.0,81.5,1.5,息,89.6,73.4,81.5,81.5,除權息資料,113年第1季,77.6,1.65
113年06月13日,2642,宅配通,37.85,37.05,0.8,息,40.75,33.35,37.05,37.05,除權息資料,113年第1季,23.3,0.16
113年06月13日,2851,中再保,27.45,26.05,1.4,息,28.65,23.45,26.05,26.05,除權息資料,113年第1季,25.81,1.34
113年06月13日,2908,特力,21.75,21.16,0.583165,息,23.25,19.05,21.15,21.16,除權息資料,113年第1季,13.12,0.26
113年06月13日,3557,嘉威,75.8,72.8,3.0,息,80.0,65.6,72.8,72.8,除權息資料,113年第1季,30.77,3.62
113年06月13日,6243,迅杰,63.3,62.1,1.2,息,68.3,55.9,62.1,62.1,除權息資料,113年第1季,18.7,0.55
113年06月14日,2506,太設,12.25,12.05,0.2,息,13.25,10.85,12.05,12.05,除權息資料,113年第1季,18.14,-0.17
113年06月14日,3030,德律,181.0,177.7,3.3,息,195.0,160.0,177.5,177.7,除權息資料,113年第1季,32.43,1.93
113年06月14日,3679,新至陞,142.0,134.5,7.5,息,147.5,121.5,134.5,134.5,除權息資料,113年第1季,76.27,4.33
113年06月17日,2106,建大,33.95,32.95,1.0,息,36.2,29.7,32.95,32.95,除權息資料,113年第1季,20.82,0.46
113年06月17日,3164,景岳,24.5,24.0,0.5,息,26.4,21.6,24.0,24.0,除權息資料,113年第1季,15.25,0.4
113年06月17日,3563,牧德,413.5,407.5,6.0,息,448.0,367.0,407.5,407.5,除權息資料,113年第1季,82.08,0.5
113年06月18日,00936,台新永續高息中小,19.86,19.61,0.25,息,21.57,17.65,19.61,19.61,除權息資料,113年07月03日,18.37,
113年06月18日,1416,廣豐,12.95,12.45,0.5,息,13.65,11.25,12.45,12.45,除權息資料,113年第1季,20.1,0.15
113年06月18日,1445,大宇,23.5,21.0,2.5,息,23.1,18.9,21.0,21.0,除權息資料,113年第1季,20.49,0.0
113年06月18日,1504,東元,57.6,55.4,2.2,息,60.9,49.9,55.4,55.4,除權息資料,113年第1季,35.25,0.55
113年06月18日,2231,為升,129.0,126.0,3.0,息,138.5,113.5,126.0,126.0,除權息資料,113年第1季,30.97,0.92
113年06月18日,2308,台達電,352.0,345.57,6.43,息,380.0,311.5,345.5,345.57,除權息資料,113年第1季,81.27,2.22
113年06月18日,2385,群光,194.0,186.2,7.8,息,204.5,168.0,186.0,186.2,除權息資料,113年第1季,50.63,2.42
113年06月18日,2432,倚天酷碁-創,39.35,37.7,1.65,息,41.45,33.95,37.7,37.7,除權息資料,113年第1季,20.42,0.23
113年06月18日,2608,嘉里大榮,45.4,42.8,2.6,息,47.05,38.55,42.8,42.8,除權息資料,113年第1季,27.19,0.58
113年06月18日,2723,美食-KY,91.7,88.2,3.5,息,97.0,79.4,88.2,88.2,除權息資料,113年第1季,62.95,0.89
