股票代碼,公司簡稱,財務結構-負債佔資產比率(%),財務結構-長期資金佔不動產、廠房及設備比率(%),償債能力-流動比率(%),償債能力-速動比率(%),償債能力-利息保障倍數(%),經營能力-應收款項週轉率(次),經營能力-平均收現日數,經營能力-存貨週轉率(次),經營能力-平均售貨日數,經營能力-不動產、廠房及設備週轉率(次),經營能力-總資產週轉率(次),獲利能力-資產報酬率(%),獲利能力-權益報酬率(%),獲利能力-稅前純益佔實收資本比率(%),獲利能力-純益率(%),獲利能力-每股盈餘(元),現金流量-現金流量比率(%),現金流量-現金流量允當比率(%),現金流量-現金再投資比率(%)
1240,茂生農經,35.20,348.15,169.67,129.69,19.03,5.25,69.52,8.48,43.04,6.94,1.32,43.81,9.95,43.81,4.67,4.12,32.16,56.49,12.58
1259,安心,59.10,190.59,72.93,68.50,9.32,43.48,8.39,62.51,5.83,6.62,1.07,3.22,7.43,54.53,2.72,5.17,44.18,197.91,0.16
1264,德麥,19.45,266.34,353.10,242.33,"29,286.03",5.22,69.92,4.80,76.04,3.91,1.23,16.34,20.62,273.32,13.25,18.24,79.52,96.12,5.89
1268,漢來美食,69.23,126.79,113.87,91.82,13.69,21.32,17.12,15.32,23.82,3.57,0.74,5.20,16.04,91.28,6.53,7.61,42.73,121.69,12.31
1336,台翰,32.83,234.40,234.51,194.46,9.62,4.74,77.00,11.27,32.38,2.54,0.84,4.61,6.14,25.26,4.63,1.39,80.84,192.15,12.39
1565,精華,20.86,182.78,306.87,215.13,67.34,6.42,56.85,2.76,132.24,1.23,0.56,6.90,8.80,134.66,12.42,10.83,75.89,101.74,2.95
1569,濱川,49.49,163.77,152.31,119.35,-1.73,2.42,150.82,3.37,108.30,1.41,0.53,-0.91,-3.44,-11.77,-3.20,-0.95,20.81,110.01,3.26
1570,力肯,11.09,515.88,820.02,553.21,106.50,3.93,92.87,1.23,296.74,2.15,0.38,1.83,2.05,5.03,4.73,0.36,107.37,73.39,3.75
1580,新麥,25.14,253.61,290.34,200.21,"54,382.12",9.52,38.34,3.30,110.60,3.88,1.16,16.55,22.37,186.19,14.14,12.01,98.77,120.26,13.00
1584,精剛,29.49,364.32,660.98,241.53,18.26,5.06,72.13,1.22,299.18,2.54,0.58,11.15,17.18,26.29,18.27,3.01,28.29,-42.06,0.65
1586,和勤,64.20,151.17,156.46,97.53,-55.50,3.02,120.86,3.07,118.89,1.21,0.55,-0.40,-3.62,-8.50,-2.35,-0.67,24.14,87.31,7.00
1591,駿吉-KY,13.06,177.19,479.45,273.57,-19.92,8.67,42.09,0.91,401.09,0.27,0.13,-8.44,-10.62,-17.37,-68.87,-1.43,-106.51,122.94,28.14
1593,祺驊,32.62,190.79,209.28,159.20,13.08,6.70,54.47,3.53,103.39,1.23,0.52,4.19,5.80,26.54,7.46,1.28,42.84,45.29,2.88
