股票代碼,公司簡稱,財務結構-負債佔資產比率(%),財務結構-長期資金佔不動產、廠房及設備比率(%),償債能力-流動比率(%),償債能力-速動比率(%),償債能力-利息保障倍數(%),經營能力-應收款項週轉率(次),經營能力-平均收現日數,經營能力-存貨週轉率(次),經營能力-平均售貨日數,經營能力-不動產、廠房及設備週轉率(次),經營能力-總資產週轉率(次),獲利能力-資產報酬率(%),獲利能力-權益報酬率(%),獲利能力-稅前純益佔實收資本比率(%),獲利能力-純益率(%),獲利能力-每股盈餘(元),現金流量-現金流量比率(%),現金流量-現金流量允當比率(%),現金流量-現金再投資比率(%)
1101,台泥,45.91,319.75,210.95,194.22,5.29,3.70,98.64,6.44,56.67,0.92,0.24,2.73,4.07,18.52,9.15,1.06,46.50,70.76,5.98
1102,亞泥,43.02,645.22,147.60,136.93,8.86,5.96,61.24,8.57,42.59,2.03,0.24,3.78,5.89,39.30,13.82,3.28,8.77,119.13,-0.32
1103,嘉泥,38.52,780.29,319.50,312.89,140.63,9.36,38.99,9.47,38.54,0.64,0.08,0.71,0.43,1.05,3.30,0.12,0.00,5.94,0.00
1104,環泥,19.55,328.38,167.60,157.53,47.39,3.72,98.11,16.00,22.81,1.02,0.27,8.56,10.61,38.36,30.08,3.13,37.97,104.08,1.19
1108,幸福,49.14,195.38,180.60,50.51,12.57,4.63,78.83,1.02,357.84,1.49,0.51,5.84,10.57,16.30,10.35,1.30,19.57,65.29,1.98
1109,信大,13.60,373.90,480.62,413.90,863.39,5.71,63.92,5.07,71.99,2.31,0.54,7.02,8.22,32.58,12.90,2.01,51.37,259.13,2.06
1110,東泥,23.65,948.00,142.80,65.17,698.97,4.64,78.66,1.88,194.14,1.78,0.19,1.53,1.76,3.28,6.86,0.26,15.85,17.14,4.49
1201,味全,59.55,127.77,94.91,65.36,330.26,8.22,44.40,9.52,38.34,2.44,1.21,2.26,3.71,7.54,1.25,0.53,22.63,93.65,6.37
1203,味王,33.12,268.40,242.34,153.95,42.02,12.85,28.40,2.44,149.59,2.12,0.63,6.71,9.86,38.32,10.27,1.80,70.71,90.42,7.93
1210,大成,50.92,161.07,101.20,56.19,9.15,13.10,27.86,7.82,46.67,5.21,1.75,8.38,15.82,66.71,4.32,4.81,34.14,92.56,17.91
1213,大飲,72.27,48.49,5.88,1.55,-6.98,2.41,151.45,7.06,51.69,0.20,0.13,-13.51,-46.77,-20.93,-114.90,-2.45,-14.24,-546.95,-10.76
1215,卜蜂,62.65,125.66,99.31,65.46,12.36,9.31,39.20,9.55,38.21,2.00,1.08,9.01,22.90,95.49,7.74,7.70,51.09,52.81,12.55
1216,統一,70.68,232.43,97.09,69.20,"1,536.71",26.84,13.59,6.98,52.29,3.44,0.95,5.33,15.64,85.69,5.21,3.23,31.86,159.59,10.81
1217,愛之味,46.05,515.46,98.24,60.62,2.96,6.95,52.51,3.75,97.33,2.38,0.35,2.33,3.21,5.27,4.44,0.41,16.38,99.36,1.68
1218,泰山,11.66,629.82,403.69,253.11,6.86,7.77,46.97,6.50,56.15,5.69,0.74,-0.42,-0.66,2.46,-0.72,-0.17,-68.28,-17.02,-8.59
1219,福壽,54.83,157.62,154.29,76.37,5.83,8.61,42.39,5.40,67.59,4.37,1.59,3.69,7.01,11.76,1.92,0.94,13.74,34.97,3.30
1220,台榮,20.71,233.18,423.61,278.56,39.12,4.16,87.74,4.27,85.48,2.78,1.03,5.06,6.35,10.92,4.79,0.76,89.52,77.24,5.83
1225,福懋油,54.90,175.30,155.43,88.59,7.56,7.48,48.79,6.41,56.94,4.50,1.60,5.16,10.51,21.34,2.81,1.60,32.51,30.70,9.50
1227,佳格,31.35,437.55,225.34,137.42,21.92,5.86,62.28,3.80,96.05,6.61,1.04,4.96,7.14,17.52,4.56,1.35,27.41,108.17,4.03
1229,聯華,22.72,"1,397.52",112.06,97.74,24.93,5.09,71.70,4.23,86.28,2.54,0.16,6.40,8.04,31.15,35.12,2.64,23.88,69.46,2.19
1231,聯華食,55.57,150.57,148.00,100.82,27.43,4.92,74.18,5.55,65.76,2.01,0.92,8.55,17.71,48.73,8.93,3.93,39.64,60.02,8.97
1232,大統益,32.12,731.73,370.71,174.84,105.46,17.54,20.80,6.24,58.49,27.44,3.03,16.26,23.17,98.36,5.32,7.53,120.53,72.38,10.49
1233,天仁,37.25,171.73,124.69,71.32,18.14,9.45,38.62,3.02,120.86,2.41,0.89,4.29,6.44,13.13,4.54,1.06,44.91,137.87,6.35
1234,黑松,18.08,357.77,466.95,150.55,74.71,12.88,28.33,1.40,260.71,1.79,0.46,4.22,5.13,29.77,8.97,2.36,74.48,128.26,3.15
1235,興泰,55.69,"1,356.42",41.31,40.50,3.64,0.50,730.00,7.61,47.96,0.44,0.02,3.11,5.27,6.19,125.75,1.10,-3.73,20.70,-7.99
1236,宏亞,37.03,171.21,113.68,71.49,4.56,4.71,77.49,5.37,67.97,1.06,0.49,0.59,0.59,4.06,0.81,0.16,40.15,95.87,3.35
1256,鮮活果汁-KY,12.76,244.05,491.75,395.38,427.15,12.73,28.67,6.69,54.55,2.51,0.97,10.04,11.45,191.91,10.36,12.41,149.00,120.71,10.86
1301,台塑,34.55,380.28,154.84,129.68,3.67,13.23,27.58,8.63,42.29,1.81,0.38,1.73,2.08,10.99,3.68,1.15,5.97,82.82,-3.35
1303,南亞,41.86,233.28,169.12,125.66,3.05,5.79,63.03,4.65,78.49,1.21,0.40,1.83,2.10,11.51,3.12,0.80,28.05,89.03,1.32
1304,台聚,35.81,235.87,249.44,184.12,-605.39,7.70,47.40,6.61,55.21,2.01,0.69,-2.23,-3.87,-16.29,-3.65,-0.19,40.26,121.29,4.27
1305,華夏,42.38,154.90,203.59,127.04,7.71,10.63,34.33,4.73,77.16,1.55,0.80,2.61,3.88,8.03,2.87,0.59,29.83,65.36,3.62
1307,三芳,42.79,229.77,244.15,197.53,14.95,7.48,48.79,4.07,89.68,2.01,0.65,5.28,8.73,25.87,7.54,1.91,56.60,123.38,8.39
1308,亞聚,11.14,404.52,324.23,242.50,"1,758.60",9.10,40.10,9.48,38.50,1.97,0.43,0.79,0.84,2.55,1.73,0.20,79.96,193.31,0.57
1309,台達化,25.23,359.81,287.16,224.21,"-1,643.13",8.81,41.43,14.39,25.36,7.80,1.68,-2.84,-3.95,-8.70,-1.80,-0.69,-12.63,189.48,-3.62
1310,台苯,26.43,214.57,117.01,74.41,-31.09,10.62,34.36,15.31,23.84,2.68,1.02,-4.78,-6.63,-11.05,-4.83,-0.88,-11.94,9.04,-2.58
1312,國喬,41.07,203.61,187.03,133.22,-10.46,8.85,41.24,8.28,44.08,0.64,0.26,-2.18,-4.01,-15.58,-9.27,-1.59,-0.87,55.90,-0.96
1313,聯成,46.00,293.94,251.85,116.29,61.05,17.72,20.59,7.92,46.08,4.53,1.37,0.07,-1.00,-1.14,-0.38,-0.21,-0.72,55.74,-0.49
1314,中石化,45.94,419.47,220.27,57.06,17.85,11.14,32.76,0.54,675.92,0.97,0.18,-0.36,-1.37,-1.55,-4.09,-0.28,-13.63,-81.83,-3.47
1315,達新,6.34,551.86,"1,633.92","1,401.57",167.09,5.53,66.00,2.61,139.84,1.09,0.19,3.08,3.30,37.11,16.25,3.66,117.45,40.70,0.00
1316,上曜,53.94,378.25,153.27,30.44,-0.32,5.33,68.48,0.10,"3,650.00",0.53,0.07,-0.31,-2.68,-5.15,-17.60,-0.68,-11.93,-81.73,-14.25
1319,東陽,26.06,159.01,171.67,129.91,64.74,5.53,66.00,5.82,62.71,1.33,0.70,9.03,12.15,64.45,12.77,5.10,100.49,148.67,13.09
1321,大洋,48.09,327.55,191.45,139.99,10.78,7.96,45.85,7.67,47.58,1.49,0.41,1.79,3.19,10.07,3.93,0.88,1.14,90.95,0.09
1323,永裕,46.56,217.61,466.87,357.35,7.70,4.52,80.75,4.27,85.48,1.43,0.60,3.69,6.17,24.70,5.42,0.92,89.32,99.36,4.04
1324,地球,19.85,284.44,374.51,287.79,694.55,5.75,63.47,3.90,93.58,2.67,0.77,3.31,4.10,5.91,4.28,0.53,37.80,92.52,3.57
1325,恆大,3.77,258.11,"3,068.27","2,910.13","74,264.29",6.17,59.15,3.81,95.80,0.35,0.14,0.43,0.44,2.44,3.14,0.21,218.71,138.79,1.76
1326,台化,32.19,279.95,212.30,161.40,3.12,9.83,37.13,6.93,52.66,2.24,0.59,1.80,2.04,12.60,2.32,1.46,18.14,53.76,1.59
1337,再生-KY,3.97,209.92,"1,199.56","1,065.71",0.00,5.73,63.69,7.10,51.40,0.46,0.16,-8.53,-8.86,-9.35,-53.30,-1.53,-219.15,-107.70,-3.63
1338,廣華-KY,42.97,203.54,178.76,152.45,0.20,2.63,138.78,4.30,84.88,1.48,0.51,-0.53,-2.59,-18.98,-2.96,-1.96,28.22,69.04,7.02
1339,昭輝,25.41,159.00,205.89,153.84,32.51,3.46,105.49,3.42,106.72,0.70,0.37,8.15,11.01,73.42,21.08,5.88,94.80,153.16,7.59
1340,勝悅-KY,9.13,179.87,756.46,610.81,"-2,947.98",5.49,66.48,33.87,10.77,0.27,0.14,-19.39,-20.59,-56.50,-153.31,-5.64,-153.87,無,-5.92
1341,富林-KY,37.97,228.06,189.42,113.23,12.65,4.75,76.84,2.81,129.89,4.01,1.11,11.00,18.33,56.80,9.15,4.48,77.56,118.75,17.75
1342,八貫,30.99,222.85,348.28,190.49,238.35,5.85,62.39,2.16,168.98,2.30,0.82,17.06,24.93,91.94,20.66,7.52,92.84,76.98,4.60
1402,遠東新,53.88,242.68,118.98,75.21,5.26,8.34,43.76,4.15,87.95,1.44,0.38,2.97,3.79,35.04,5.96,1.64,39.26,103.22,11.25
1409,新纖,75.98,321.69,102.03,96.59,1.87,1.26,289.68,4.61,79.17,1.51,0.17,1.36,2.52,9.27,3.49,0.47,0.00,33.49,-1.66
1410,南染,16.42,680.40,"1,479.82","1,402.43",186.07,7.94,45.96,4.86,75.10,1.11,0.16,0.98,1.16,3.55,5.90,0.24,77.85,85.21,-1.16
1413,宏洲,53.28,177.96,112.83,39.74,-7.34,16.62,21.96,4.80,76.04,1.87,0.85,-4.68,-11.43,-10.31,-6.65,-1.01,9.50,58.08,0.67
1414,東和,30.23,252.62,169.00,102.63,3.08,18.26,19.98,1.05,347.61,0.37,0.13,0.96,1.05,1.21,5.80,0.15,8.60,103.26,-0.26
