時 間,紡纖纖維,電機機械,鋼鐵工業,建材營造,航運業,觀光餐旅,其他,化學工業,生技醫療,半導體業,電腦週邊業,光電業,通信網路業,電子零組件業,電子通路業,資訊服務業,其他電子業,文化創意業,綠能環保,數位雲端,居家生活,電子工業,櫃買指數,成交金額(萬元),成交張數,成交筆數,委買筆數,委賣筆數,委買張數,委賣張數
09:00:00,134.83,222.76,183.84,341.58,212.03,99.55,153.05,151.96,195.47,125.7,133.76,73.45,132.32,136.33,123.45,212.4,254.22,211.51,103.13,91.7,95.8,419.99,259.19,0,0,0,"130,872","139,107","1,293,751","439,745"
09:00:05,134.8,222.74,183.87,341.57,212.7,99.61,153.19,151.96,195.58,125.78,133.95,73.52,132.73,136.46,123.25,212.41,254.56,210.98,102.98,91.64,95.79,420.38,259.36,"54,525","7,059","3,670","133,408","140,721","1,441,939","511,987"
09:00:10,134.78,222.83,183.87,341.69,212.7,99.61,153.29,152.18,195.99,125.92,134.11,73.66,133.03,136.91,122.97,212.47,254.58,211.01,103,91.63,95.81,420.98,259.67,"129,412","23,201","7,439","136,419","142,211","1,606,196","589,392"
09:00:15,134.75,223.52,184.03,341.5,213.76,99.64,153.4,152.29,196.19,126.17,134.2,73.78,133.18,137.05,122.96,214.12,254.87,211.09,102.97,91.63,95.46,421.71,260.02,"208,763","35,216","12,133","141,179","145,091","2,063,119","822,717"
09:00:20,134.75,223.56,184.13,342.81,213.76,99.64,153.52,152.29,196.47,126.23,134.57,73.85,133.26,137.19,123.09,214.15,255.01,211.23,103.01,91.74,95.32,422.05,260.24,"286,901","49,700","15,924","145,117","147,587","2,322,250","930,932"
09:00:25,134.5,223.58,184.13,342.08,213.76,99.64,153.52,152.29,196.44,126.21,134.7,73.94,133.42,137.16,123.06,214.17,255.06,211.22,103.01,91.74,95.32,422.14,260.26,"309,366","52,706","17,065","147,914","149,557","2,337,602","928,214"
09:00:30,134.78,223.65,184.13,342.13,213.76,99.64,153.34,152.26,196.38,126.14,134.68,73.94,133.51,137.19,123.27,214.18,255.06,212.39,103.01,91.74,95.32,422.05,260.26,"327,700","55,448","18,187","150,522","151,499","2,317,185","919,715"
09:00:35,135.03,223.7,184.13,342.47,213.76,99.64,153.37,152.17,196.34,126.25,134.6,73.92,133.5,137.18,123.22,214.26,255.1,212.29,103.01,91.73,95.32,422.2,260.32,"347,737","58,122","19,246","153,509","153,823","2,470,257","1,061,097"
09:00:40,135.03,223.78,184.13,342.42,213.87,99.64,153.44,152.14,196.44,126.26,134.61,73.99,133.57,137.25,123.11,214.25,255.11,212.29,102.99,91.73,95.25,422.31,260.38,"361,787","60,241","20,101","156,156","155,939","2,482,517","1,071,349"
09:00:45,135.03,223.78,184.13,342.41,213.87,99.64,153.39,152.14,196.41,126.23,134.6,74.04,133.69,137.27,123.19,214.25,255.09,212.25,103.03,91.73,95.25,422.33,260.38,"375,949","63,007","20,995","159,661","158,473","2,706,678","1,172,176"
