時間,發行量加權股價指數,未含金融保險股指數,未含電子股指數,未含金融電子股指數,水泥類指數,食品類指數,塑膠類指數,紡織纖維類指數,電機機械類指數,電器電纜類指數,化學生技醫療類指數,化學類指數,生技醫療類指數,玻璃陶瓷類指數,造紙類指數,鋼鐵類指數,橡膠類指數,汽車類指數,電子類指數,半導體類指數,電腦及週邊設備類指數,光電類指數,通信網路類指數,電子零組件類指數,電子通路類指數,資訊服務類指數,其他電子類指數,建材營造類指數,航運類指數,觀光餐旅類指數,金融保險類指數,貿易百貨類指數,油電燃氣類指數,綠能環保類指數,數位雲端類指數,運動休閒類指數,居家生活類指數,其他類指數
09:00:00,"21,356.62","18,684.72","20,094.63","16,132.83",157.00,"2,196.76",178.45,646.88,414.65,116.92,136.13,168.60,74.24,52.50,341.46,144.52,334.12,410.80,"1,122.17",545.21,282.27,39.38,157.18,227.95,277.20,200.83,154.54,622.44,195.34,135.04,"1,927.19",296.92,91.44,109.19,72.45,100.37,112.44,367.63
09:00:05,"21,385.00","18,714.19","20,110.55","16,157.79",157.03,"2,196.76",178.38,646.15,414.97,117.33,136.15,168.61,74.25,52.50,341.46,144.52,328.79,411.27,"1,123.95",546.14,283.03,39.42,157.06,228.27,277.20,200.84,154.79,623.09,198.08,134.97,"1,925.66",296.92,91.44,109.28,72.45,100.32,113.02,367.74
09:00:10,"21,388.15","18,717.24","20,111.81","16,159.16",157.03,"2,195.95",178.18,646.57,415.44,117.41,136.27,168.76,74.32,52.70,341.56,144.76,320.73,412.45,"1,124.16",546.15,283.55,39.44,157.01,228.57,277.10,201.17,154.50,623.31,198.29,135.04,"1,925.69",297.04,91.44,109.42,72.45,100.42,112.47,368.45
09:00:15,"21,398.87","18,727.21","20,119.48","16,166.51",157.04,"2,193.38",178.09,647.47,415.43,117.68,136.56,168.88,74.55,52.07,342.12,144.84,319.98,413.02,"1,124.79",546.21,284.13,39.55,157.10,228.87,277.93,201.53,154.49,624.22,198.52,135.30,"1,926.13",296.39,91.32,109.65,73.06,100.36,112.47,368.82
09:00:20,"21,413.38","18,738.83","20,134.95","16,175.82",157.17,"2,193.88",178.21,649.01,415.48,117.61,136.86,169.21,74.72,52.30,342.16,144.86,318.73,413.62,"1,125.51",546.21,284.01,39.63,157.37,229.78,278.28,201.61,154.84,624.58,198.53,135.31,"1,928.39",296.90,91.32,109.62,73.06,100.34,112.60,369.16
09:00:25,"21,423.52","18,749.11","20,135.23","16,177.50",157.13,"2,194.03",178.30,648.66,415.51,117.69,136.97,169.24,74.82,52.20,342.16,144.85,318.35,413.42,"1,126.29",546.88,284.01,39.62,157.30,229.68,278.27,201.62,154.84,624.65,198.61,135.33,"1,928.06",296.76,91.32,109.59,73.19,100.24,112.70,369.46
09:00:30,"21,424.88","18,750.64","20,132.95","16,175.49",157.13,"2,194.03",178.30,648.64,415.57,117.60,136.96,169.19,74.83,52.09,342.16,144.86,317.13,413.22,"1,126.45",546.89,284.24,39.63,157.32,229.69,278.75,201.60,154.83,624.64,198.60,135.33,"1,927.88",296.80,91.32,109.56,73.26,100.24,112.71,369.51
09:00:35,"21,437.12","18,762.39","20,139.54","16,182.54",157.10,"2,204.16",178.31,647.93,415.60,117.61,137.01,169.24,74.86,52.20,342.16,144.73,317.77,413.29,"1,127.23",547.42,284.25,39.65,157.47,229.73,278.60,201.55,154.84,624.93,198.75,135.33,"1,928.07",296.80,91.32,109.52,73.32,100.32,112.71,369.55
09:00:40,"21,429.93","18,755.15","20,139.25","16,181.46",157.22,"2,204.16",178.32,647.91,415.57,117.64,136.99,169.24,74.85,52.20,342.16,144.72,317.62,413.13,"1,126.68",546.92,284.26,39.66,157.48,229.88,278.69,201.53,154.87,624.68,198.74,135.33,"1,928.26",296.75,91.32,109.52,73.32,100.32,112.71,369.54
09:00:45,"21,429.23","18,754.96","20,138.89","16,182.77",157.22,"2,204.16",178.23,647.83,416.03,117.64,137.02,169.31,74.85,52.20,342.16,144.77,317.59,413.04,"1,126.63",546.94,284.10,39.66,157.50,229.87,278.69,201.64,154.86,624.87,198.80,135.30,"1,927.82",296.75,91.20,109.52,73.32,100.38,112.69,369.56
09:00:50,"21,427.99","18,753.74","20,140.13","16,184.21",157.22,"2,202.65",178.22,647.89,416.26,117.64,137.02,169.30,74.85,52.30,342.16,144.79,317.96,413.02,"1,126.50",546.80,284.11,39.65,157.51,230.00,278.53,201.76,154.86,624.83,198.83,135.30,"1,927.83",296.74,91.20,109.49,73.39,100.45,112.69,369.50
09:00:55,"21,420.95","18,747.58","20,134.76","16,180.36",157.10,"2,202.58",178.09,647.66,415.78,117.66,137.02,169.30,74.85,52.31,342.16,144.77,318.54,413.02,"1,126.10",546.47,284.30,39.65,157.30,230.07,278.40,201.70,154.86,624.81,198.72,135.30,"1,927.20",296.74,91.20,109.52,73.39,100.43,112.69,369.49
09:01:00,"21,437.11","18,764.80","20,130.95","16,180.86",157.23,"2,202.58",178.01,647.85,415.76,117.67,137.00,169.30,74.83,52.31,342.16,144.79,318.90,413.03,"1,127.46",547.46,284.42,39.65,157.37,230.06,278.40,201.72,154.85,624.69,198.73,135.33,"1,925.94",296.79,91.20,109.49,73.13,100.51,112.69,369.56
09:01:05,"21,425.56","18,753.61","20,125.88","16,175.17",157.11,"2,198.24",178.09,648.03,415.65,117.66,137.01,169.30,74.84,52.31,342.02,144.66,319.40,413.06,"1,126.70",546.93,284.33,39.64,157.32,230.06,278.42,201.77,154.85,623.64,198.69,135.26,"1,925.86",296.78,91.20,109.49,73.13,100.50,112.69,369.21
09:01:10,"21,419.51","18,748.31","20,121.81","16,172.52",157.11,"2,198.18",177.98,648.03,415.78,117.59,136.98,169.21,74.84,51.99,342.16,144.76,319.61,412.81,"1,126.34",546.47,284.49,39.63,157.34,230.05,278.43,201.75,155.16,623.75,198.64,135.25,"1,925.32",296.82,91.20,109.49,73.12,100.52,112.66,368.72
09:01:15,"21,424.00","18,752.72","20,118.22","16,168.35",157.10,"2,198.04",177.80,648.00,416.02,117.58,136.85,169.09,74.75,52.09,342.16,144.77,319.25,412.82,"1,126.78",546.97,284.53,39.66,157.42,229.83,278.35,201.73,154.84,622.60,198.70,135.25,"1,925.29",296.82,91.21,109.49,73.12,100.46,112.58,368.75
09:01:20,"21,422.65","18,752.21","20,114.67","16,166.97",157.10,"2,198.04",177.63,648.07,416.07,117.59,136.85,169.11,74.75,51.99,342.16,144.66,319.54,412.90,"1,126.77",546.98,284.45,39.60,157.42,229.92,278.38,201.70,154.88,622.27,198.73,135.25,"1,924.58",296.60,91.21,109.49,73.31,100.54,112.58,368.69
