股票代碼,公司名稱,公司簡稱,產業類別,住址,董事長,成立日期,上櫃日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,簽證會計師事務所,英文簡稱,電子郵件信箱,公司網址
1240,茂生農經股份有限公司,茂生農經,農業科技,台北市和平西路一段三十號二樓,吳清德,56/02/18,107/08/08,新台幣                 10.0000元,"393,701,580","39,370,158",合併,每年,股東會,元大證券股份有限公司股務代理部,勤業眾信聯合會計師事務所,MORNSUN,bedford@morn-sun.com.tw,https://www.morn-sun.com.tw/
1259,安心食品服務股份有限公司,安心,觀光餐旅,台北市大安區仁愛路3段136號2樓201室,黃茂雄,79/11/23,100/12/15,新台幣                 10.0000元,"323,895,000","32,389,500",合併,每年,董事會,群益金鼎證券(股)公司股務代理部,資誠聯合會計師事務所,AN-SHIN,ir@mos.com.tw,http://www.mos.com.tw
1264,德麥食品股份有限公司,德麥,食品工業,新北市五股區五權五路31號,林雪嬌,78/06/29,104/04/09,新台幣                 10.0000元,"370,643,670","37,064,367",合併,每年,股東會,富邦綜合證券(股)公司股務代理部,勤業眾信聯合會計師事務所,TEHMAG,ir@tehmag.com.tw,http://www.tehmag.com.tw
1268,漢來美食股份有限公司,漢來美食,觀光餐旅,高雄市前金區成功一路266號21樓之1,林淑婷,92/01/09,106/09/27,新台幣                 10.0000元,"422,237,300","42,223,730",合併,每年,董事會,福邦證券股份有限公司,勤業眾信聯合會計師事務所,Hi-Lai Foods,stock@hilai-foods.com,www.hilai-foods.com
1336,台翰精密科技股份有限公司,台翰,電子零組件業,桃園市龜山區民生北路一段568號1樓,蔡鎮隆,76/08/28,96/11/02,新台幣                 10.0000元,"783,024,190","78,302,419",合併,每年,董事會,永豐金證券(股)公司股務代理部,資誠聯合會計師事務所,TAIHAN,alen@thpt.com.tw,www.thpt.com.tw
1565,精華光學股份有限公司,精華,生技醫療業,新北市汐止區大同路一段276之2號4、5樓,陳明賢,75/09/24,93/03/30,新台幣                 10.0000元,"504,165,160","50,416,516",合併,每年,董事會,元大證券股務代理部,資誠聯合會計師事務所,St.Shine,s0505@stshine.com.tw,http://www.stshine.com.tw
1569,濱川企業股份有限公司,濱川,電腦及週邊設備業,高雄市大寮區大發工業區興業路二號,蕭欽銘,72/03/30,94/07/29,新台幣                 10.0000元,"1,214,474,410","121,447,441",合併,每年,股東會,富邦綜合證券股份有限公司,勤業眾信聯合會計師事務所,Bin Chuan,fan_lee@hamagawa.com,https://www.hamagawa.com.tw/
1570,力肯實業股份有限公司,力肯,電機機械,新北市八里區博物館路81號,溫銘漢,72/12/23,94/06/30,新台幣                 10.0000元,"515,008,390","51,500,839",合併,每年,股東會,元富證券股份有限公司股務代理部,勤業眾信聯合會計師事務所,De Poan,wilson-ko@depoan.com,www.depoan.com
1580,新麥企業股份有限公司,新麥,電機機械,新北市五股區五權六路23號,謝順和,72/09/27,96/12/10,新台幣                 10.0000元,"502,302,420","50,230,242",合併,每年,董事會,台新證券股務代理部,勤業眾信聯合會計師事務所,SINMAG,sinmag.tw@sinmag.com.tw,www.sinmag.com.tw
1584,精剛精密科技股份有限公司,精剛,其他,台南市柳營區工一路15號(環保科技園區),王炯棻,91/05/15,96/11/28,新台幣                 10.0000元,"1,924,705,330","192,470,533",合併,每年,股東會,元大證券股份有限公司,資誠聯合會計師事務所,STC,http://www.s-tech.com.tw,http://www.s-tech.com.tw
1586,和勤精機股份有限公司,和勤,電機機械,彰化縣伸港鄉興工路40號,黃亦翔,81/11/09,101/01/09,新台幣                 10.0000元,"863,123,020","86,312,302",合併,每年,董事會,福邦證券股份有限公司,安侯建業聯合會計師事務所,CFTC,service@cftc.tw,http://www.cftc.tw
