公司代號,公司名稱,公司簡稱,產業類別,住址,董事長,成立日期,上市日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,簽證會計師事務所,英文簡稱,電子郵件信箱,公司網址
1101,臺灣水泥股份有限公司,台泥,水泥工業,台北市中山北路2段113號,張安平,1939/12/29,1951/2/9,新台幣                 10.0000元,"77,511,817,420","7,551,181,742",合併,每年,股東會,中國信託商業銀行代理部,勤業眾信聯合會計師事務所,TCC,finance@taiwancement.com,http://www.taiwancement.com
1102,亞洲水泥股份有限公司,亞泥,水泥工業,台北市大安區敦化南路2段207號30、31樓,徐旭東,1946/3/21,1951/6/8,新台幣                 10.0000元,"35,465,628,810","3,546,562,881",合併,每季,董事會,亞東證券股份有限公司,勤業眾信聯合會計師事務所,ACC,service@acc.com.tw,www.acc.com.tw
1103,嘉新水泥股份有限公司,嘉泥,水泥工業,台北市中山北路2段96號,張剛綸,1943/12/13,1958/11/14,新台幣                 10.0000元,"7,902,474,590","790,247,459",合併,每年,股東會,群益金鼎證券股份有限公司股代部,勤業眾信聯合會計師事務所,CHC,ir@chcgroup.com.tw,www.chcgroup.com.tw
1104,環球水泥股份有限公司,環泥,水泥工業,台北市南京東路二段125號10樓,博智投資股份有限公司,1949/3/21,1960/2/1,新台幣                 10.0000元,"6,732,174,670","673,217,467",合併,每年,股東會,永豐金證券股份有限公司,勤業眾信聯合會計師事務所,UCC,ucc@ucctw.com,www.ucctw.com
1108,幸福水泥股份有限公司,幸福,水泥工業,台北市松江路237號15樓,陳兩傳,1963/5/7,1979/6/6,新台幣                 10.0000元,"4,047,380,490","404,738,049",合併,每半會計年度,股東會,永豐金證券股務代理,勤業眾信聯合會計師事務所,LUCKY CEMENT,wendy@luckygrp.com.tw,www.luckygrp.com.tw
1109,信大水泥股份有限公司,信大,水泥工業,台北市寶慶路37號7樓,楊智雄,1953/3/15,1980/12/5,新台幣                 10.0000元,"3,411,588,680","341,158,868",合併,每年,股東會,中國信託商業銀行代理部,資誠聯合會計師事務所,HsingTa,service@hsingta.com.tw,www.hsingta.com.tw
1110,東南水泥股份有限公司,東泥,水泥工業,高雄市前金區五福三路21號4樓之1,陳敏斷,1945/12/28,1983/10/22,新台幣                 10.0000元,"5,720,007,970","572,000,797",合併,每年,股東會,元大證券股份有限公司,國富浩華聯合會計師事務所,TUNA CEMENT,southeast@secement.com,www.southeastcement.com.tw
1201,味全食品工業股份有限公司,味全,食品工業,台北市松江路125號,陳宏裕,1942/9/22,1951/2/9,新台幣                 10.0000元,"5,060,629,140","506,062,914",合併,每年,董事會,元大證券股務代理部,資誠聯合會計師事務所,WEI CHUAN,service@weichuan.com.tw,http://www.weichuan.com.tw
1203,味王股份有限公司,味王,食品工業,台北市中山北路二段79號5樓,陳清福,1948/7/4,1953/8/24,新台幣                 10.0000元,"2,400,000,000","240,000,000",合併,每年,股東會,群益金鼎證券股份有限公司,大中國際聯合會計師事務所,VE WONG,wei@vewong.com.tw,http://www.vewong.com
1210,大成長城企業股份有限公司,大成,食品工業,台南市永康區蔦松二街三號,韓家宇,1949/12/28,1967/5/20,新台幣                 10.0000元,"8,947,672,220","894,767,222",合併,每年,董事會,中國信託商業銀行代理部,安侯建業會計師事務所,GREATWALL,ir@ms.greatwall.com.tw,http://www.dachan.com
1213,大西洋飲料股份有限公司,大飲,食品工業,桃園市平鎮區南勢里2鄰南東路410號,蘇芸樂,1954/7/24,1970/4/10,新台幣                 10.0000元,"566,226,270","56,622,627",合併,每年,股東會,大西洋飲料股份有限公司,南台聯合會計師事務所,OCEANIC Bev.,c5012903@ms23.hinet.net,http://applesidra.com.tw
1215,台灣卜蜂企業股份有限公司,卜蜂,食品工業,台北市松江路八十七號十七樓,鄭武樾,1966/8/22,1976/7/27,新台幣                 10.0000元,"2,947,900,980","294,790,098",合併,每年,董事會,中國信託商業銀行代理部,資誠聯合會計師事務所,CPE,service@cptwn.com.tw,http://www.cptwn.com.tw
1216,統一企業股份有限公司,統一,食品工業,71001台南市永康區中正路301號,羅智先,1956/8/25,1976/12/28,新台幣                 10.0000元,"56,820,154,210","5,682,015,421",合併,每年,股東會,統一綜合證券(股)公司股務代理部,資誠聯合會計師事務所,UNI-PRESIDENT,jlian@mail.pec.com.tw,https://www.uni-president.com.tw
1217,愛之味股份有限公司,愛之味,食品工業,嘉義縣民雄鄉工業二路11號,陳冠翰,1960/6/26,1978/10/28,新台幣                 10.0000元,"4,945,133,360","494,513,336",合併,每年,董事會,群益金鼎證券股份有限公司,國富浩華聯合會計師事務所,AGV,YUEHCHU@mail.agv.com.tw,www.agv.com.tw
1218,泰山企業股份有限公司,泰山,食品工業,彰化縣田中鎮興工路6號,劉偉龍,1939/10/26,1978/11/11,新台幣                 10.0000元,"4,999,990,380","499,999,038",合併,每季,董事會,元大證券股份有限公司,安永聯合會計師事務所,TAISUN,taisunir@taisun.com.tw,www.taisun.com.tw
1219,福壽實業股份有限公司,福壽,食品工業,台中市沙鹿區沙田路45號,洪堯昆,1944/2/7,1979/12/1,新台幣                 10.0000元,"3,316,633,830","331,663,383",合併,每半會計年度,董事會,凱基證券股份有限公司,群智聯合會計師事務所,FWUSOW,fwusow@fwusow.com.tw,www.fwusow.com.tw
1220,台榮產業股份有限公司,台榮,食品工業,台北市中山區南京東路二段206號6樓,陳英凱,1958/3/13,1980/11/20,新台幣                 10.0000元,"1,770,779,440","177,077,944",合併,每年,股東會,中國信託商業銀行代理部,立本台灣聯合會計師事務所,TAIROUN,oria@tairoun.com.tw,http://www.tairoun.com.tw/
1225,福懋油脂股份有限公司,福懋油,食品工業,台中市大肚區沙田路一段453號,晉昇投資有限公司,1975/4/18,1982/9/27,新台幣                 10.0000元,"2,296,382,040","229,638,204",合併,每年,董事會,群益金鼎證券股份有限公司,勤業眾信聯合會計師事務所,FOPCO,cherry.lin@fopco.com.tw,WWW.FOPCO.COM.TW
1227,佳格食品股份有限公司,佳格,食品工業,台北市內湖區瑞光路610號10樓,曹德風,1975/6/6,1983/4/9,新台幣                 10.0000元,"9,150,895,910","915,089,591",合併,每年,股東會,中國信託商業銀行代理部,勤業眾信聯合會計師事務所,S.F.C,spokesperson1@sfworldwide.com,https://www.sfworldwide.com/tw.html
1229,聯華實業投資控股股份有限公司,聯華,食品工業,臺北市南港區南港路1段209號10樓,苗豐強,1944/7/20,1965/7/19,新台幣                 10.0000元,"15,837,395,670","1,583,739,567",合併,每季,董事會,中國信託商業銀行代理部,安侯建業聯合會計師事務所,LHIHC,info@lhic.com.tw,https://www.lhicholdings.com/
