日期,股票代碼,名稱,外資及陸資(不含外資自營商)-買進股數,外資及陸資(不含外資自營商)-賣出股數,外資及陸資(不含外資自營商)-買賣超股數,外資自營商-買進股數,外資自營商-賣出股數,外資自營商-買賣超股數,外資及陸資-買進股數,外資及陸資-賣出股數,外資及陸資-買賣超股數,投信-買進股數,投信-賣出股數,投信-買賣超股數,自營商(自行買賣)-買進股數,自營商(自行買賣)-賣出股數,自營商(自行買賣)-買賣超股數,自營商(避險)-買進股數,自營商(避險)-賣出股數,自營商(避險)-買賣超股數,自營商-買進股數,自營商-賣出股數,自營商-買賣超股數,三大法人買賣超股數合計,null
113/07/26,1240,茂生農經,"1,000","2,000","-1,000",0,0,0,"1,000","2,000","-1,000",0,0,0,0,0,0,0,0,0,0,0,0,"-1,000",33
113/07/26,1268,漢來美食,"8,000","17,000","-9,000",0,0,0,"8,000","17,000","-9,000",0,0,0,0,0,0,179,897,-718,179,897,-718,"-9,718",16
113/07/26,1336,台翰,"49,000","32,000","17,000",0,0,0,"49,000","32,000","17,000",0,0,0,0,0,0,0,0,0,0,0,0,"17,000",28
113/07/26,1565,精華,"13,000","42,000","-29,000",0,0,0,"13,000","42,000","-29,000",0,0,0,0,411,-411,"3,000","2,555",445,"3,000","2,966",34,"-28,966",22
113/07/26,1569,濱川,"385,000","359,000","26,000",0,0,0,"385,000","359,000","26,000",0,0,0,"6,000",0,"6,000",0,0,0,"6,000",0,"6,000","32,000",25
113/07/26,1570,力肯,"240,000","680,000","-440,000",0,0,0,"240,000","680,000","-440,000",0,0,0,0,0,0,0,0,0,0,0,0,"-440,000",05
113/07/26,1580,新麥,"13,000","29,000","-16,000",0,0,0,"13,000","29,000","-16,000",0,0,0,0,0,0,"3,000","3,399",-399,"3,000","3,399",-399,"-16,399",05
113/07/26,1584,精剛,"639,000","1,817,000","-1,178,000",0,0,0,"639,000","1,817,000","-1,178,000",0,0,0,0,0,0,"518,000","2,000","516,000","518,000","2,000","516,000","-662,000",20
113/07/26,1586,和勤,"12,000","58,000","-46,000",0,0,0,"12,000","58,000","-46,000",0,0,0,"12,000","2,000","10,000",0,0,0,"12,000","2,000","10,000","-36,000",05
113/07/26,1591,駿吉-KY,"68,000","60,000","8,000",0,0,0,"68,000","60,000","8,000",0,0,0,0,0,0,0,0,0,0,0,0,"8,000",05
113/07/26,1593,祺驊,"2,000","3,000","-1,000",0,0,0,"2,000","3,000","-1,000",0,0,0,0,0,0,0,0,0,0,0,0,"-1,000",37
113/07/26,1595,川寶,"2,000","10,565","-8,565",0,0,0,"2,000","10,565","-8,565",0,0,0,0,0,0,0,0,0,0,0,0,"-8,565",28
113/07/26,1599,宏佳騰,"10,000",0,"10,000",0,0,0,"10,000",0,"10,000",0,0,0,0,0,0,0,0,0,0,0,0,"10,000",05
113/07/26,1742,台蠟,0,"3,000","-3,000",0,0,0,0,"3,000","-3,000",0,0,0,0,0,0,0,0,0,0,0,0,"-3,000",21
113/07/26,1777,生泰,"55,000","27,000","28,000",0,0,0,"55,000","27,000","28,000",0,0,0,0,"10,000","-10,000",0,0,0,0,"10,000","-10,000","18,000",22
113/07/26,1781,合世,"19,000","32,000","-13,000",0,0,0,"19,000","32,000","-13,000",0,0,0,0,0,0,0,0,0,0,0,0,"-13,000",22
113/07/26,1784,訊聯,"806,000","433,000","373,000",0,0,0,"806,000","433,000","373,000",0,0,0,0,"30,000","-30,000",0,"2,647","-2,647",0,"32,647","-32,647","340,353",22
113/07/26,1785,光洋科,"5,225,000","2,168,229","3,056,771",0,0,0,"5,225,000","2,168,229","3,056,771",0,0,0,"69,000","267,443","-198,443","35,879","36,007",-128,"104,879","303,450","-198,571","2,858,200",31
113/07/26,1788,杏昌,"7,000","6,775",225,0,0,0,"7,000","6,775",225,0,0,0,0,0,0,0,242,-242,0,242,-242,-17,22
113/07/26,1796,金穎生技,0,"11,000","-11,000",0,0,0,0,"11,000","-11,000",0,0,0,0,0,0,"7,000","7,112",-112,"7,000","7,112",-112,"-11,112",02
113/07/26,1799,易威,"161,000","330,000","-169,000",0,0,0,"161,000","330,000","-169,000","110,000",0,"110,000",0,0,0,0,0,0,0,0,0,"-59,000",22
113/07/26,1813,寶利徠,0,"5,000","-5,000",0,0,0,0,"5,000","-5,000",0,0,0,0,0,0,"2,000","1,825",175,"2,000","1,825",175,"-4,825",22
113/07/26,1815,富喬,"2,466,000","1,870,000","596,000",0,0,0,"2,466,000","1,870,000","596,000",0,0,0,0,"117,000","-117,000","79,000","165,437","-86,437","79,000","282,437","-203,437","392,563",28
113/07/26,2035,唐榮,"2,000",0,"2,000",0,0,0,"2,000",0,"2,000",0,0,0,0,0,0,0,0,0,0,0,0,"2,000",10
113/07/26,2061,風青,"623,000","274,000","349,000",0,0,0,"623,000","274,000","349,000",0,0,0,0,0,0,0,0,0,0,0,0,"349,000",06
