日期,股票代碼,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
20240726,3481,群創            ,"105,187,917","55,657,058","49,530,859",0,0,0,"430,000","6,000","424,000","5,251,478","3,038,000","2,873,000","165,000","7,995,434","2,908,956","5,086,478","55,206,337"
20240726,2883,開發金          ,"45,109,268","30,699,175","14,410,093",0,0,0,"863,000","13,000","850,000","890,700","157,000","857,104","-700,104","2,165,000","574,196","1,590,804","16,150,793"
20240726,2891,中信金          ,"34,083,387","22,189,719","11,893,668",0,0,0,"3,337,288","118,000","3,219,288","309,409","743,000","1,787,673","-1,044,673","2,207,000","852,918","1,354,082","15,422,365"
20240726,2887,台新金          ,"25,035,174","10,618,210","14,416,964",0,0,0,"355,000","60,000","295,000","-765,000",0,"596,000","-596,000","1,000","170,000","-169,000","13,946,964"
20240726,2882,國泰金          ,"28,704,663","18,856,114","9,848,549",0,0,0,"877,000","52,000","825,000","-679,284","121,000","1,083,462","-962,462","507,178","224,000","283,178","9,994,265"
20240726,2890,永豐金          ,"17,818,668","12,607,798","5,210,870",0,0,0,"2,619,000","116,000","2,503,000","2,250,394","1,293,000","787,449","505,551","1,753,000","8,157","1,744,843","9,964,264"
20240726,9945,潤泰新          ,"21,588,500","14,069,300","7,519,200",0,0,0,"36,000",0,"36,000","1,685,889","1,614,051","611,000","1,003,051","1,423,120","740,282","682,838","9,241,089"
20240726,2412,中華電          ,"12,162,428","2,804,406","9,358,022",0,0,0,"277,655","28,000","249,655","-699,132","14,000","717,000","-703,000","31,868","28,000","3,868","8,908,545"
20240726,2892,第一金          ,"18,006,387","11,293,632","6,712,755",0,0,0,"1,904,000","58,000","1,846,000","-704,000","52,000","733,000","-681,000","3,000","26,000","-23,000","7,854,755"
20240726,4532,瑞智            ,"5,428,000","2,383,000","3,045,000",0,0,0,0,0,0,"3,052,851","75,577","179,994","-104,417","3,159,742","2,474","3,157,268","6,097,851"
20240726,1402,遠東新          ,"6,668,000","2,788,629","3,879,371",0,0,0,"209,226","21,000","188,226","921,090","10,156","355,066","-344,910","1,293,000","27,000","1,266,000","4,988,687"
20240726,2610,華航            ,"15,571,050","11,498,114","4,072,936",0,0,0,"166,000","8,000","158,000","-193,091","10,000","465,000","-455,000","1,529,613","1,267,704","261,909","4,037,845"
20240726,4958,臻鼎-KY         ,"9,072,354","6,961,394","2,110,960",0,0,0,"1,512,971","1,000","1,511,971","245,984","149,913","222,429","-72,516","450,500","132,000","318,500","3,868,915"
20240726,2353,宏碁            ,"22,657,069","20,808,144","1,848,925",0,0,0,"1,976,000","3,000","1,973,000","-358,326","222,420","572,666","-350,246","575,000","583,080","-8,080","3,463,599"
20240726,1605,華新            ,"5,231,116","2,800,748","2,430,368",0,0,0,"20,000","4,000","16,000","953,430","220,000","374,523","-154,523","1,263,000","155,047","1,107,953","3,399,798"
20240726,4915,致伸            ,"5,236,235","3,107,052","2,129,183",0,0,0,"1,258,022","8,000","1,250,022","-100,590","64,186","94,671","-30,485","93,000","163,105","-70,105","3,278,615"
