新聞編號,網址,標題,摘要,關鍵字,內容,發布時間,類別,類別號碼
5588027,https://news.cnyes.com/news/id/5588027,鉅亨速報 - Factset 最新調查：國泰金(2882-TW)EPS預估上修至6.25元，預估目標價為60元,FactSet 最新調查：國泰金(2882-TW)EPS預估上修，預估EPS、預估營收、目標價、歷史獲利表現、即時新聞資訊。,"['台股', '市場預估', 'eps']","根據FactSet最新調查，共10位分析師，對國泰金(2882-TW)做出2024年EPS預估：中位數由6.01元上修至6.25元，其中最高估值6.93元，最低估值4.64元，預估目標價為60元。市場預估EPS預估值2024年(前值)2025年2026年最高值6.93(6.93)6.376.56最低值4.64(4.64)5.235.56平均值6.07(5.91)5.916.22中位數6.25(6.01)6.016.54市場預估營收預估值(單位：新台幣千元)2024年2025年2026年最高值430,568,000449,811,000479,067,000最低值310,100,000366,227,300420,533,940平均值378,670,270393,765,640453,730,970中位數379,747,500378,675,520461,591,980歷史獲利表現項目2023年2022年2021年2020年EPS3.242.5810.345.41營業收入(單位：新台幣千元)304,172,639341,433,658625,962,605629,914,485詳細資訊請看台股內頁：https://www.cnyes.com/twstock/2882/financials/ratios最新相關新聞            外資近5日買超個股            外資近3日買超個股            鉅亨速報 - Factset 最新調查：國泰金(2882-TW)EPS預估上修至6.01元，預估目標價為60元            鉅亨速報 - Factset 最新調查：國泰金(2882-TW)目標價調升至56.6元，幅度約6.01%            〈台股盤後〉5月狂奔後 權值股回檔修正 跌195點收21662點    資料來源：Factset，數據僅供參考，不作為投資建議。",2024-06-05 22:10:26,台股,826
5587982,https://news.cnyes.com/news/id/5587982,球頭廠大田精密啟動赴越南設廠案 投資金額3.2億元明年量產,高爾夫球頭廠大田精密 (8924-TW) 今 (5) 日召開股東會，董事長李孔文並宣布啟動越南投資案，將投資 1000 萬美元（新台幣 3.2 億元）設廠，最快 2025 年中投產。規劃產能初期每月能為 10 萬支。,"['大田', '股東會', '越南']","高爾夫球頭廠大田精密 (8924-TW) 今 (5) 日召開股東會，董事長李孔文並宣布啟動越南投資案，將投資 1000 萬美元（新台幣 3.2 億元）設廠，最快 2025 年中投產。規劃產能初期每月能為 10 萬支。

大田的越南投資案，主要因應客戶要求在兩岸之外供貨的要求。而目前高爾夫球具廠復盛應用 (6670-TW)、明安 (8938-TW) 都已在越南設廠並積極擴大經營規模。

同時，大田今天並公布 5 月營收為 4.81 億元，為近 15 個月來新高，月增 10.86%，年增 36.58%，2024 年 1-5 月營收為 19.17 億元，年增 2.31%，2024 年累計營收在 5 月正式轉正。

李孔文並指出，經過長達一年的庫存去化後，在客戶群積極下單，今年前 5 月營運表現優於去年同期，相信下半年會比上半年更好，2024 年全年會比 2023 年有更 好的表現 。

大田 2023 年全年稅後純益 4.07 億元，每股純益 4.85 元；擬配發現金股利 4.3 元，將在明 (6) 日除息交易。
",2024-06-05 21:09:56,台股新聞,827
5587962,https://news.cnyes.com/news/id/5587962,〈COMPUTEX〉鄭平：台達電AI電源市占率過半 液冷散熱營收貢獻將快速提升,台達電 (2308-TW) 今 (5) 日舉辦 2024 Computex 記者會，董事長暨執行長鄭平表示，台達電首季 AI 電源營收比重約 4-5%、市占率超過 50%，當中「DC to DC」市占率更高達 75%。,"['台達電', 'AI', '伺服器', '電源', '散熱']","台達電 (2308-TW) 今 (5) 日舉辦 2024 Computex 記者會，董事長暨執行長鄭平表示，台達電首季 AI 電源營收比重約 4-5%、市占率超過 50%，當中「DC to DC」市占率更高達 75%，隨著全球 AI 支出快速成長，將同步受惠，液冷散熱營收貢獻也將快速提升。

鄭平表示，根據 IDC 及彭博研調數據預估，全球生成式 AI 資本支出預計從 2022 年的 370 億美元、2024 年達 1280 億美元、2032 年預計達 1.36 兆美元，市場年均複合成長率 (CAGR) 達 43.3%，包括硬體軟體還有許多設備，都可望為台達電貢獻營收。

鄭平進一步指出，生成式 AI 最大的問題就是用電量非常高，在資料中心方面，2026 年相較 2022 年將多出 1 倍的用電量，但以資料中心的用電比重來看，只有 40% 是用在運算上，其他 60% 大部分用在散熱的解決方案及周邊能源轉換上。

台達電源及零組件事業範疇執行副總裁史文景表示，台達晶片垂直供電技術透過減少電源傳輸路徑，可減少 AI 處理器 5-15% 的能源損耗；至於散熱方面，則有為新一代 AI 伺服器 GPU/CPU 設計的液冷冷板模組，再搭配高效能散熱風扇以及機櫃內（In Rack）冷卻液分配裝置 CDU（Coolant Distribution Unit）。

鄭平表示，台達能提供 AI 資料中心提供從電網到晶片 (From Grid To Chip) 的全方位電源及散熱方案；AI 電源營收比重已從去年的 2%，今年首季拉高到的 4-5%，散熱方面，雖然目前市場上仍以氣冷為主，但隨著液冷散熱將逐步放量，預計明年相關營收貢獻將快速提升。

此次 Computex 上，台達也展出符合第三代開放式機櫃標準（ORV3, Open Rack v3）的機架式電源，其中首次登場的 66kW 與 33kW 機架式電源，能源效率高達 97.5%，將會是下一代 AI 伺服器的主流。另外，針對晶片所需的 DC/DC 電力轉換需求，也展出多款輸出功率介於 200-2000W 的 DC/DC 轉換器，最高能效可達 98.5%。

在散熱方面，除了用於資料中心的 EC 節能大型風扇，台達也針對眾所矚目的液冷散熱需求，展出可升級現有氣冷資料中心的空氣輔助液體冷卻 AALC（Air-Assisted Liquid Cooling）方案，以及能同時處理數十台 100kW 以上高密度機櫃散熱需求的 CDU 液冷散熱解決方案，以應對 AI 運算產生的大量熱能。

此外，台達亦已為客戶成功導入以專利設計及材料配方打造的功率電感，具耐電流能力佳、能源耗損低等特性，是板端電壓轉換的關鍵被動元件。
",2024-06-05 20:41:31,台股新聞,827
5587968,https://news.cnyes.com/news/id/5587968,楊金龍看日圓貶值 有助降低我國關鍵零組件進口成本,楊金龍看日圓貶值 有助降低我國關鍵零組件進口成本,"['日圓', '楊金龍', '出口', '日本', '進口']","中央銀行總裁楊金龍明 (6) 日將赴立院，進行財政委員會會議專題報告，楊金龍在書面報告中提到，因日圓貶值導致日本出口價格競爭力上升的衝擊，對台灣而言較小。

楊金龍書面報告為「日圓貶值效應會否導致亞洲貨幣競貶，及對台灣經濟影響」，內容提到，由於台灣和日本出口產品的相似度較低，且兩國貿易互補性較高，整體而言，因日圓貶值導致日本出口價格競爭力上升的衝擊相對小。

楊金龍進一步說明，亞洲主要國家中，台灣和日本出口產品的相似度低於主要貿易對手國南韓，日本是台灣第 2 大進口國和第 1 大入超國，更是台灣關鍵設備及零組件進口的主要來源，雙方貿易互補性較高。

例如，前 4 月台灣半導體設備進口中，自日本採購的比重達 23.3%，日圓貶值有助台灣降低進口成本。

儘管台灣部分產品與日本相似性較高，楊金龍以工具機為例，資料顯示，影響工具機出口價格競爭力表現的關鍵因素中，國際景氣更勝於匯率。
",2024-06-05 20:35:12,台股新聞,827
5587944,https://news.cnyes.com/news/id/5587944,TrendForce：瞄準全球去中化轉單紅利 台系晶圓廠積極拓展海外布局,世界 (5347-TW) 與恩智浦 (NXP) 今 (5) 日宣布計畫於新加坡共同成立 VisionPower Semiconductor Manufacturing Company(VSMC) 合資公司，研究機構 TrendForce 指,"['世界', '台積', '聯電', '台灣', '晶圓廠']","世界 (5347-TW) 與恩智浦 (NXP) 今 (5) 日宣布計畫於新加坡共同成立 VisionPower Semiconductor Manufacturing Company(VSMC) 合資公司，研究機構 TrendForce 指出，此舉顯示在全球供應鏈非中國 / 非台灣趨勢推進下，台廠加速拓展海外據點，以提升區域產能調度彈性與競爭力。

TrendForce 指出，過去兩年半導體供應鏈為分散地緣政治及疫情斷鏈風險，已逐漸分流為中國本土供應鏈與非中供應鏈兩大板塊，而近期美國提高關稅等舉措更加速板塊位移，美系客戶轉單增量帶動世界今年下半年產能利用率升至約 75%，優於原本預期。

同時，世界既有新加坡 Fab3E 廠產能詢問度明顯提高，相關客戶需求與訂單的移轉，有望支撐新廠產能。

此外，世界目前 4 座台灣廠區及 1 座新加坡廠區皆為 8 吋廠。在全球 8 吋產能因設備停產而逐漸無新增產能開出，推動客戶將產品轉往 12 吋廠製造，加上中國廠以更具成本優勢的 12 吋晶圓廠強勢競爭原以 8 吋晶圓製造的產品，造成 8 吋市場長期需求能見度低，市場話語權逐漸式微，迫使世界不得不進軍 12 吋市場以求出路。

TrendForce 表示，隨著地緣政治風險引發供應鏈分流日趨明確，Foundry 廠評估短期內風險難以消弭，加上客戶為避險也已著手調整 Foundry 合作夥伴與生產規劃策略，為 China for China 與 OOC/OOT 做兩手準備。為因應客戶需求與策略變化，台系 Foundry 廠對海外佈局態度也轉趨積極，除了台積電、聯電 等已具備海外據點者皆進一步加速海外擴產計畫外，原先以台灣為主要據點的力積電、世界先進，皆開始積極拓展海外廠房，目標提升區域產能調度彈性與競爭力。

研調機構 TrendForce 今 (5) 日表示，台系晶圓廠海外產能占比將自 2024 年到 2027 年明顯提升，其中台積電 (2330-TW)(TSM-US) 產能增加主要在於美國 Fab21、日本 JASM 及德國廠區；聯電 (UMC-US)(2303-TW) 同時支援客戶中國與非中國區，增加中國廈門 Fab12X 與新加坡 Fab12i 產能；力積電 (6770-TW) 基於日本新廠 JSMC，2027 年日本比重將增至 7%，印度廠也在規畫藍圖中；而世界 (5347-TW) 則預期 12 吋新廠產能開出後，新加坡占比將自 14% 增至 24%。

TrendForce 認為，因地緣政治影響，歐、美、日、韓系客戶出現對台灣與中國以外的中長期轉單需求，加上中國內需本土化生產體系與國際相互抗衡，供應鏈兩大板塊的分流日漸明顯，台廠透過海外設廠在此新格局下建立其貿易與技術壁壘。

台積電美國 Fab21 以先進製程為主，不過，日本 JASM、德國 Dresden 廠區皆擴張 28/16 奈米等成熟製程產能，加上聯電、力積電與世界等台廠海外擴廠仍聚焦於 28 奈米以上成熟製程產能，全球成熟製程產能供過於求的疑慮仍在加劇，加上海外建廠、全球通膨造成額外的成本負擔，未來晶圓廠訂價策略及成本轉嫁措施值得持續關注。
",2024-06-05 20:32:43,台股新聞,827
5587945,https://news.cnyes.com/news/id/5587945,5月外資持股債存款暴增379億美元 我外匯存底創高,5 月外資持股債存款暴增 379 億美元 我外匯存底創高,"['外匯', '台幣', '美元', '外資', '央行']","中央銀行今 (5) 日公布 5 月底我國外匯存底金額為 5728.03 億美元，較上月底增加 57.84 億美元，不僅終結連 4 月下滑，並創下歷史新高，央行外匯局長蔡炯民表示，由於台股 AI 相關族群投資熱絡，外資淨匯入近 60 億美元，並造成匯市有幾天「波動蠻大」，央行為維持秩序也有進場買匯。

據央行統計，至 5 月底，外資持有國內股票及債券按當日市價計算，連同其新台幣存款餘額共折計 7509 億美元，較上月暴增 379 億美元，約當外匯存底 131%，較上月增加 5 個百分點。

蔡烱民說明，5 月外資本金匯入達 110 億美元，扣掉盈餘匯出，仍淨匯入 60 億美元，造成匯市變動大，有 2 天升值 3 角，因此央行進場買匯。

對於主要貨幣變動，央行統計，5 月美元指數貶值 1.46%，反觀歐元升值 1.57%，英鎊升值 1.45%，澳幣升值 1.58%，加幣持平小升 0.03%，日元則貶值 0.04%，人民幣微貶 0.03%。

另外，觀察各國外匯存底，中國最新統計至 5 月底來到 3.2008 兆美元，月減 449 億美元，日本為 1.1357 兆美元，月減 142 億美元，瑞士 7873 億美元，南韓 3889 億美元，月減 6 億美元，印度 5675 億美元。
",2024-06-05 20:12:45,台股新聞,827
5587941,https://news.cnyes.com/news/id/5587941,亞泥決議私有化子公司亞泥(中國) 將斥67億元收購股權,亞泥決議私有化子公司亞泥 (中國) 以每股 3.22 港元收購下市,"['亞泥', '亞泥中國', '私有化']","亞泥 (1102-TW) 今 (5) 日晚間召開重訊宣布，董事會已通過私有化大陸水泥業務子公司亞泥 (中國)，以每股 3.22 港元、總交易金額 16.28 億港元 (約新台幣 67.5 億元)，現金收購非亞泥所持有的 32.27% 亞泥 (中國) 股權。

根據港交所公告，亞泥此次收購價格每股 3.22 港元，相較亞泥 (中國)(00743-HK) 最後交易日 5 月 28 日收盤價 3.32 港元折價約 3.01%；若排除股價異常波動，以不受干擾日 5 月 24 日收盤價 2.22 港元來算，則溢價 45%。

亞泥表示，期望透過本次私有化，促進亞泥 (中國) 能夠作出專注於長期增長及利益的戰略決策，免因作為一家公眾上市公司而承受由此產生的市場期望及股價波動方面的壓力。

同時，降低維持亞泥 (中國) 上市地位和遵守監管要求相關的行政成本與管理費用，進而為亞泥和亞泥 (中國) 在管理上有更大的彈性；另一方面，在具有挑戰的市場和行業環境下，也為少數股東提供溢價退出的機會。

亞泥表示，本次私有化計畫仍需取得香港及台灣等地主管機關的核准，經亞泥 (中國) 股東臨時會通過，並獲得開曼法院核准，取得這些核准後，亞泥 (中國) 將在香港聯交所下市。
",2024-06-05 20:02:18,台股新聞,827
5587235,https://news.cnyes.com/news/id/5587235,電腦展後AI股衝力反而減弱，市場資金轉向那邊?,,"['大華國際投顧', '阮蕙慈', '趨勢分析']","大盤在上週二創新高後，指數拉回整理，主要是全球股市也大多拉回。近期外資也開始倒貨，今日指數雖然上漲，但是強勢族群散熱、機器人普遍都拉回，電子股是不是已經電腦展利多出盡，資金會轉到其他族群嗎?

大華國際投顧阮蕙慈分析師表示，這兩年生技已經跟過去不一樣，主要是生技大廠保瑞 (6472-TW)、美時(1795-TW) 的獲利拉升，而市值最大的藥華藥 (6446-TW) 在今年第一季也轉虧為盈，生技擺脫過去的本夢比，而生技的獲利王保瑞 (6472-TW) 當然也成為市場焦點之一。保瑞 (6472-TW) 去年以 2.1 億美元 (66 億台幣) 收購美國 Upsher-Smith Laboratories US100% 股權，在今年第二季開始認列 USL 業績，完整貢獻後 EPS 可多 10-15 元，另外乾眼症新藥原廠市場銷售高達 23 億美金，已經過認證準備出貨，這會是台灣首項在美國上市的眼藥，也可見一路併購的保瑞，核心能力也一路擴大。

阮蕙慈分析師指出，接下來獲利好技術能力又強的公司會特別受到市場注意，例如桓達 (4549-TW) 今天再度漲停，從上次分享後已經連噴好幾根，桓達在自動化感測，包括液體和氣體，擁有超過 45 年經驗，產品涵蓋溫度、流量、壓力和液位，現為全球液位感測器領導製造商。未來 AI 散熱導入水冷，必須監控液體是否有正常，冷卻液洩漏或自然消耗也很重要，市場夠大全球又沒有幾家，該公司已經拿下多家 ODM 大廠訂單，股價自然是要噴出。

阮蕙慈分析師強調，台灣的隱形冠軍還有 RFID 大廠永道 (6863-TW)，該公司是全球最大的 RFID 標籤 ODM 廠，與上游晶片商 Impin 及 NXP 合作關係密切，產品已經廣泛應用在服飾、零售、物流、醫療、電網等民生消費市場，RFID 取代傳統的條碼管理市場正快速擴大。永道(6863-TW) 因為訂單大好將積極擴產，越南廠、台灣廠及揚州廠三地同步擴廠，永道 1Q 營收獲利都創歷史新高，4 月單月 EPS 達 1.18 元，未來幾季隨著產能攀升，業績將逐季走高，股價可望走出基本面突破的主升段。

現階段資金不只限於電子，電子仍以台積電、鴻海為主，高獲利的個股將開始起漲，阮蕙慈分析師表示，大家可以留意類股中的隱形冠軍。

採訪來源: 大華國際投顧 阮蕙慈分析師

金融阮實力 LINE: @power8888

https://line.me/R/ti/p/@586saqlw?oat__id=3178337

更多阮蕙慈獨家產業分析

https://power8888.com.tw/topic/industry/plist/63

本公司所推薦分析之個別有價證券 無不當之財務利益關係 以往之績效不保證未來獲利 投資人應獨立判斷 審慎評估並自負投資風險
",2024-06-05 20:00:06,專家觀點,899
5587943,https://news.cnyes.com/news/id/5587943,〈COMPUTEX〉四大效益顯現 股王信驊看全年營運比之前更樂觀,信驊 (5274-TW) 董事長林鴻明今 (5) 日表示，隨著通用伺服器回升、AI 伺服器放量，加上輝達 (NVDA-US) 新平台轉換，都推升遠端伺服器管理晶片 (BMC) 使用量，還有 Cupola 360 晶片出貨同步看增，全年營運比先,"['信驊', '輝達', 'AI', '伺服器', 'BMC', '樂觀']","信驊 (5274-TW) 董事長林鴻明今 (5) 日表示，隨著通用伺服器回升、AI 伺服器放量，加上輝達 (NVDA-US) 新平台轉換，都推升遠端伺服器管理晶片 (BMC) 使用量，還有 Cupola 360 晶片出貨同步看增，全年營運比先前看法更樂觀。

信驊今日股價也上演慶祝行情，大漲超過 8%，收在 4090 元，創下收盤新高價，穩坐股王寶座。

林鴻明指出，以輝達 Hopper 平台舉例，GPU 對 BMC 數量大概是 1 比 0.375，但新一代 Blackwell 平台，兩者比例將成為 1 比 1.25，等同一顆 GPU 就要配備 1.25 顆 BMC，增長幅度是 2.3 倍，也高於過往通用伺服器 1 比 1 的比例。

林鴻明補充，信驊現在通用伺服器、AI 伺服器營收比重分別是 85%、15%，根據市場對未來 AI 伺服器的預估進行推算，到 2030 年，兩者的營收貢獻就會達到各半。

林鴻明說，信驊持續在伺服器板子上，拓展自家產品的價值，從一開始的 BMC，再到橋接晶片 (BIC)、韌體安全晶片 (PFR)，以及今年展出的擴展晶片 (I/O Expander) 等。

信驊此次首度亮相第八代 BMC AST2700 系列，是首款採用 12 奈米製程的 BMC，配備四核心 ARM Cortex A35 64 位元和兩個獨立的 ARM Cortex M4 處理器，運算效能與彈性大幅提升，配合客戶產品開發以及伺服器新一代平台時程，今年初已送樣給客戶送樣，預計於 2025 年量產出貨。

另外，信驊 Cupola360 此次也出現在輝達執行長黃仁勳的簡報中，由鴻海 (2317-TW) 旗下鴻佰科技進行整合，其 AI 伺服器工廠就有 Cupola360 全景相機，並結合可擴充的第三方 AI 分析技術，將傳統 SCADA 監控系統升級為創新的 3D LIVE 視覺化管理平台。

信驊看好，此解決方案已陸續獲得不同產業的製造場域採用，包括晶圓代工廠、封測廠、電子配件廠、造紙廠、電鍍廠等等，使有經驗的管理人員效益極大化，管理範圍不再限於所在地，而是擴展至全球各地的工廠進行即時遠端管理。

除了智慧工廠應用外，智慧城市應用佈署業已開始規劃，對於城市公園、工地、交通、觀光等推動沉浸式遠端管理大量普及。
",2024-06-05 19:56:53,台股新聞,827
5587919,https://news.cnyes.com/news/id/5587919,彭博：ASML今年將向台積電、三星和英特爾交付High-NA EUV,根據彭博周三 (5 日) 報導，晶片製造設備商艾司摩爾 (ASML)(ASML-US) 今年將向台積電(2330-TW)、英特爾(INTC-US)、三星交付最新的高數值孔徑極紫外光曝光機(High-NA EUV)。,"['ASML', '台積電', '三星', '英特爾', '艾司摩爾', 'High-NA EUV', '產業', '半導體', '晶片']","根據彭博周三 (5 日) 報導，晶片製造設備商艾司摩爾 (ASML)(ASML-US) 今年將向台積電(2330-TW)、英特爾(INTC-US)、三星交付最新的高數值孔徑極紫外光曝光機(High-NA EUV)。

根據艾司摩爾發言人透露，該公司財務長 Roger Dassen 在最近一次的電話會議上向分析師說，公司最大的三個客戶──台積電、英特爾、三星──都將在今年年底前拿到 High-NA EUV。

報導指出，英特爾已經訂購最新的 High-NA EUV，並將在 12 月底把這台機器運送奧勒岡州的工廠。不過目前還不清楚台積電何時會收到這台艾司摩爾的最新設備，台積電一位代表僅表示雙方密切合作，拒絕進一步置評。

艾司摩爾的這台最新機器可以用只有 8 奈米厚的線來印壓半導體──較上一代機器還要小 1.7 倍──將用來生產替人工智慧 (AI) 應用和先進消費電子產品的晶片。

據了解，High-NA EUV 造價不斐，一台價格為 3.5 億歐元 (約 3.8 億美元) 而且重量相當兩台空中巴士的 A320 飛機。對於如此昂貴價格的機器，台積電業務開發資深副總裁張曉強 (Kevin Zhang) 上月曾在阿姆斯特丹的一次活動上表示太貴，而且將於 2026 年底前推出的 A16 節點技術不需使用到 High-NA EUV，可以依賴現有的極紫外光曝光機(extreme ultraviolet)。

儘管如此，台積電一直是艾司摩爾 High-NA EUV 計畫的積極參與者。包括 Janardan Menon 在內的 Jefferies 分析師表示，他們預估台積電將在 2028 年在 A14 節點上使用 High-NA EUV。分析師在與 Dassen 的電話會議後表示，艾司摩爾仍認為 2025 年營收可能處於指導區間的上半部。

Jefferies 分析師表示，在今年剩下的三個季度裡，艾司摩爾的平均訂單可能在 57 億歐元左右，這將使 2025 年的銷售額達到 400 億歐元。

本篇文章不提供合作夥伴轉載
",2024-06-05 19:35:29,台股新聞,827
