新聞編號,網址,標題,摘要,關鍵字,內容,發布時間,類別,類別號碼,情感分類,情感得分
5645488,https://news.cnyes.com/news/id/5645488,英特爾3奈米AI晶片明年底量產 台供應鏈受惠,英特爾 (INTC-US) 下一代 AI 晶片 Falcon Shores 將採用台積電 (2330-TW)(TSM-US)3 奈米製程與 CoWoS 技術，目前已完成設計定案 (Tape out)，預計明年底進入量產，,"['英特爾', '台積電', '3奈米', '先進封裝', '世芯-KY', '安國', '神盾', '創意']","英特爾 (INTC-US) 下一代 AI 晶片 Falcon Shores 將採用台積電 (2330-TW)(TSM-US)3 奈米製程與 CoWoS 技術，目前已完成設計定案 (Tape out)，預計明年底進入量產，將由台積電操刀生產，在英特爾外包策略下，神盾 (6462-TW)、京元電 (2449-TW) 等台廠可望同步受惠。

值得注意的是，由於英特爾 3 奈米 AI 晶片下單台積電後，相關後段設計服務案量金額傳出達數十億元，花落誰家市場高度關注，此次除世芯 - KY(3661-TW) 外，傳出安國 (8054-TW) 在神盾集團支援下，也參與競爭行列；相關業者皆不評論市場傳言。

英特爾 Falcon Shores 將首度結合自家 GPU 團隊與 Habana 團隊，一同打造新一代 AI 晶片，除了結合可程式設計化架構與圖形處理核心，也為新一代平台擴張軟體資源，藉此發展自家生態系與強化客戶黏著度，力抗輝達壟斷局面。

英特爾 Gaudi 3 採用台積電 5 奈米製程，但相比輝達 Blackwell 系列採用 4 奈米，效能表現仍落差一截，此次一舉邁進 3 奈米並沿用 CoWoS 技術，將與輝達下一代 Rubin 並肩，縮小與輝達間的差距，也讓台積電 3 奈米產能更加吃緊。

另外，英特爾也發展 EMIB 與 Foveros 3D 自家先進封裝技術，但並未在新一代 AI 晶片採用，凸顯台積電在先進封裝技術的領先優勢，也讓台積電高喊產能倍增仍不足以滿足客戶。

神盾旗下乾瞻原先就是英特爾的 D2D IP 供應商，也是現階段少數具備量產 2.5D 先進封裝 IP 的第三方業者，隨著英特爾將 Falcon Shores 打造成新平台，並透過模組化設計，發展出多款不同等級產品，D2D IP 因可大幅減少光罩費用，變化出多種產品，也獲得英特爾青睞。

由於英特爾 3 奈米 AI 晶片已完成設計定案，相關授權費也可望跟著進帳，挹注神盾今年業績。

回顧過去英特爾在 AI 晶片領域的佈局，後段設計服務多交由台廠，創意 (3443-TW) 與世芯 - KY 皆是供應商之一，最新 Gaudi 3 則交由世芯 - KY 打造，下一代 3 奈米 AI 晶片也延續與台廠的合作模式，此次除世芯 - KY(3661-TW) 積極爭取，神盾集團的安國因併入星河後，也具備後段設計能力，並在此次參與競爭。

京元電長期佈局 AI ASIC 領域，與台積電合作關係密切，隨著 AI ASIC 與 GPU 需求不斷擴張，也考量進一步擴張資本支出，滿足後段測試需求，有助彌補出售京隆的營收缺口。
",2024-07-21 12:50:02,台股新聞,827,正面,10
5645489,https://news.cnyes.com/news/id/5645489,鑫科FOPLP金屬載板下半年出貨估倍增 明年延續高成長,鑫科 FOPLP 下半年出貨估倍增 明年延續高成長,"['鑫科', '面板級扇出封裝', 'FOPLP', '載板', '中鋼']","中鋼 (2002-TW) 旗下鑫科 (3663-TW) 切入面板級扇出封裝 (FOPLP) 引發市場關注，公司表示，下半年到明年出貨可望倍增，加上半導體靶材、貴金屬等需求轉好，以及併購中鋼精材效益顯現，到明年都樂觀以對。

鑫科表示，目前 FOPLP 金屬載板出貨主要配合新客戶試量產的需求，尚未進入量產的出貨階段，上半年出貨約 300 片，下半年預計再出貨 900-1200 片，明年目標出貨 2400 片。

鑫科說明，上半年出貨量較少是因為歐洲半導體客戶訂立較嚴格的出貨標準，因此配合採購規範升級，而目前公司 FOPLP 金屬載板以大尺寸 700mm*700mm 為主，但也有客戶在詢問 700mm*700mm 以下的小尺寸產品。

鑫科表示，AI 相關目前仍是晶圓級扇出封裝，如果客戶有考量改為面板級扇出封裝，有信心有很大的機會切入供應，未來目標新產品、新應用、新客戶營收佔比拉高至 3 成以上，產品組合持續優化也將帶動毛利率表現。

整體而言，鑫科看好，隨著客戶庫存回補，國內外客戶需求轉好，帶動貴金屬、面板靶材需求回穩，加上併購中鋼精材效益逐步顯現，預期下半年營運優於上半年，明年也會優於今年。
",2024-07-21 12:30:03,台股新聞,827,正面,1
5645291,https://news.cnyes.com/news/id/5645291,〈台股風向球〉「川普投顧」發言難測 防融資高位湧出多殺多,〈台股風向球〉「川普投顧」發言難測 防融資高位湧出多殺多,"['美股', '台股', '風向球', '川普', '外資', '台積電']","過往川普在推特上發文常密切牽動台股走勢，而這個投資人共同的 4 年前的記憶似乎又回來了，台積電 (2330-TW) 明明辦了一場亮眼的法說會，台股一周來卻崩跌 1047 點，法人指出，雖基本面無太大反轉，但台股創高後陷入籌碼戰，周五雖融資餘額明顯減少，但仍有 3369 億元，處相對高位，若大盤無法止穩，恐怕本周還有一波多殺多的短線壓力。

台股一周來跌掉千點，主要是因台積電遭外資賣超高達 1020 億元，法人分析，其實台積電周跌幅 6.7% 並不算太多，但股民心中的神山轉弱，對短線信心衝擊快速漫延到各族群，使台股的不安氣氛升溫。

外資強勁匯出，也反映在周五台北外匯經紀公司成交值爆出超過 24 億美元的罕見天量，此時聯準會的鴿派態度已不管用，美國總統候選人川普的一言一行，又將牽動短線市場的敏感神經。

永豐投顧進一步說明，台積電業績穩若泰山，第二季獲利和第三季展望皆給予令人滿意的成績，以其晶圓代工霸主地位而言，長線仍看多，短期受外資避險賣壓而重挫，但股價自會還其公道。

本周起美股進入重量級科技財報周，恩智浦、特斯拉、Alphabet、德儀等公司，以及 7 月 31 日則有 AMD 及微軟、8 月 1 日高通及 Meta，陸續登場，由於台積電在法說會中表明客戶拉貨需求殷切，可判斷科技龍頭股業績及展望指引應會呈現樂觀態勢。

另外，值得留意的是，7 月 24 日生技展開展，在電子股短線出現亂流之際，不排除部分資金可能轉蹭生技展熱度。
",2024-07-21 11:50:02,台股新聞,827,負面,-1
5644672,https://news.cnyes.com/news/id/5644672,蘋果AI新手機發表在即 蘋概股拉回是機會: 台積電、鴻海、大立光、聯發科、台達電,,"['趨勢分析', '亨達投顧', '陳智霖', 'AI', '蘋果', 'Apple Intelligence', 'iPhone', 'Apple', '安卓', '智慧', '手機', '半導體', '供應鏈', '蘋概股', '台積電', '鴻海', '大立光', '聯發科', '台達電']","〈蘋果 AI 功能 Apple Intelligence  市場屏息以待〉

隨著 AI 技術的快速發展，作為手機指標之一的蘋果也即將在 9 月秋季發表會迎來第一隻的 AI 手機 iPhone 16，並將訂單目標增加了 10% 以上，預計今年底前出貨量將超過 9000 萬台，儘管在 Apple Intelligence 正式亮相的幾個月前，市場普遍認為蘋果在 AI 領域是落後的，甚至許多安卓陣營手機紛紛搶在蘋果之前發表 AI 旗艦機型，希望藉助 AI 浪潮奪回近年來輸給蘋果的市場份額，蘋果增加的訂單目標也加劇了 2024 年旗艦智慧型手機市場的競爭，市場等待蘋果智慧功能帶給用戶的先進技術體驗。

〈下載陳智霖分析師 APP 獲得更即時資訊 ，完成註冊獎勵金最高 6000 元 〉

陳智霖老師的直播節目及 APP 的獨家廣播都會針對國際總經還有重要財經事件即時追蹤分析，同時提供產業趨勢方向，只要 APP 完成註冊驗證者都可獲得獎勵金 (最高回饋 6000 元)，邀請您可以立即點選下方連結免費下載陳智霖分析師 App，下載連結: https://hantec.liveinapp.com/jhih-lin-app-link

〈蘋果概念股光環加身 台廠表現可期〉

大摩預計 Apple Intelligence 技術的推出將激發 “換新” 需求，開啟 iPhone 多年升級週期，進一步推動 iPhone 出貨量上漲，預計未來兩年 iPhone 出貨量將超過 5 億部，遠高於 2021-2022 年的高位紀錄，市場對蘋果新機的反應及 iPhone 16 的銷售成果，不僅影響蘋果自身的成敗，更是未來 AI 應用發展的重要指引。

台灣作為全球先進半導體技術的中心，也是蘋果供應鏈不可或缺的角色之一，相關蘋果供應鏈概念股在 2022 年就有 48 家企業被納入，而台積電 (2330-TW)、鴻海(2317-TW)、大立光(3008-TW)、聯發科(2454-TW) 、台達電(2308-TW) 等更是台灣的權值龍頭股，iPhone 16 全系列預計都將支援 Apple Intelligence，再加上使用全新的 A18 晶片，這讓市場開始期待 2024 年下半年將迎來一波新的換機潮，蘋概股也將受惠於新機的拉貨而有不錯的表現，預計在發布會前後都會有不錯的行情，投資朋友可以關注蘋果的營運動態，相關蘋概股如何操作，建議投資人不要單打獨鬥，跟上具備專業及誠信的陳智霖分析師，可以先免費下載陳智霖分析師 APP 來體驗每週的精選操作名單，透過老師獨家的盤中數據來指引你方向，關於最新的行情看法您可以點選下方影音收看老師最新的直播節目。

最新影音 (請點影音上方標題至 Youtube 收視品質會更佳)



才剛剛接觸陳智霖分析師的新朋友，建議您現在立即點選連結下載安裝陳智霖分析師 APP，新註冊的用戶可免費體驗午報導航、盤中選股以及會員專屬影音，歡迎您透過體驗來了解陳智霖老師，體驗都是限時限額開放，千萬不要浪費了您可以免費體驗的權益喔。



點擊連結免費下載註冊〈陳智霖分析師 APP〉獎勵金回饋立即領 https://hantec.liveinapp.com/jhih-lin-app-link

錢進熱線 02-2653-8299， 立即邁向系統依據的股票操作。

文章來源：陳智霖分析師 / 亨達投顧

本公司所推薦分析之個別有價證券
無不當之財務利益關係 以往之績效不保證未來獲利
投資人應獨立判斷 審慎評估並自負投資風險
",2024-07-21 09:10:03,台股新聞,827,正面,25
5645246,https://news.cnyes.com/news/id/5645246,泰金-KY 上半年EPS估將超越去年全年  2024年營運將攀巔峰,泰金 - KY 在 2024 年第一季營收及獲利走強，且第二季延續強勢， 上半年營收以 8.01 億元改寫歷史同期新高，稅後純益可望上攀 2 億元，超越 2023 年全年的 1.31 億元，每股純益挑戰 6 元。,"['泰金-KY', '營收', 'EPS', '泰國']","全球家飾鑄件廠泰金 - KY(6629-TW) 在 2024 年第一季營收及獲利走強，且第二季延續強勢， 上半年營收以 8.01 億元改寫歷史同期新高，稅後純益可望上攀 2 億元，超越 2023 年全年的 1.31 億元，每股純益挑戰 6 元，且目前手中掌握的訂單也旺，全年營運將攀巔峰。

泰金 - KY 第二季營收爲 3.8 億元，年增 28.35%，上半年營收 8.01 億元，年增 51.76%，目前手中掌握的第三季訂單值優於第二季的實際出貨量，估計達 4 億元以上的水準，有利於進一步 爲下半年業績再增溫，全年獲利也可望超越歷年高點的 2.24 億元，獲利將創新高。

泰金 - KY 在 2024 年第一季譜出三率三升的表現，單季營收 4.22 億元，毛利率 36.57%，季增 14.5 個百分點，年增 15.45 個百分點，稅後純益達 1.31 億元，季增約 3.4 倍，年增 4.55 倍 每股純益達 3.66 元。泰金 - KY 的 2024 年首季毛利率、營業淨利率、純益率及每股盈餘全都改寫創下單季歷史新高。 

先前泰金 - KY 總經理許文誌在法說會並指出，泰金 - KY 在營收規模提升，加上產品組合優化及成本控管下，看好今年獲利的成長動能。

泰金 - KY 從 2019 年掛牌以來，持續拓展客戶，目前在主力產品櫥櫃五金及衛浴配件項目上，已經涵蓋了北美前五大品牌及通路客戶，這也讓泰金在近年來，能夠持續不斷獲利取得好成績。現任總許文誌是在 2023 年 8 月 23 日獲泰金 - KY 董事會，由副總經理升任為泰金新任總經理，此一任命案，是繼去年 6 月董事會推舉許偵容為董事長後，公司二代經營梯隊完整到位。

泰金 - KY 在家飾鑄件領域已經深耕 30 多年，對客戶能夠提供一站式從產品開發、生產製造及出貨後客戶可直接上架銷售的一條龍式服務，也由於多年的淬鍊，公司在協助客戶產品設計開發上，更能夠靈活運用各種原材料，配合多種表面處理工藝，讓客戶能夠銷售符合市場潮流及趨勢的產品，帶給客戶更高的附加價值，這是泰金獲得客戶青睞的最主要原因。
",2024-07-21 08:40:02,台股新聞,827,正面,11
5644669,https://news.cnyes.com/news/id/5644669,下半年摺疊機大戰7月開打，台廠消費電子股找機會: 毅嘉、晟銘電、友達、聯發科,,"['趨勢分析', '亨達投顧', '陳智霖', '摺疊', '智慧手機', '手機', '華為', '三星', 'Ｍotorola', 'AI', '消費電子', '聯發科', '天璣', '高通', 'Snapdragon', '毅嘉', '晟銘電', '友達', '鏡頭', '光學薄膜']","〈全球摺疊智慧手機大戰開打 大廠搶佔一席之地〉

根據市場研究機構 Counterpoint Research 報告顯示，今年第一季度全球摺疊智慧手機的出貨量年增長 49%，達到了六個季度以來的最高增幅，中國華為等品牌在這波增長中表現最為突出，Ｍotorola 也搶在三星 7 月 10 日發表新款摺疊手機之前，於 6 月 26 日於台灣發表了摺疊新機 razr 50 Ultra 和 razr 50，力圖在增長的折疊手機市場中佔領一席之地。

下半年摺疊機市場將更加熱鬧，隨著摺疊手機市場的競爭加劇，各大品牌都致力於透過 AI 技術提升產品的使用體驗，三星新款做為首發將主打 AI 功能的摺疊手機，不僅螢幕尺寸提升，也將提升用戶在拍照、語音助手和智能推薦等方面的體驗。

〈下載陳智霖分析師 APP 獲得更即時資訊 ，完成註冊獎勵金最高 6000 元 〉

陳智霖老師的直播節目及 APP 的獨家廣播都會針對國際總經還有重要財經事件即時追蹤分析，同時提供產業趨勢方向，只要 APP 完成註冊驗證者都可獲得獎勵金 (最高回饋 6000 元)，邀請您可以立即點選下方連結免費下載陳智霖分析師 App，下載連結: https://hantec.liveinapp.com/jhih-lin-app-link

〈低位階消費性電子該如何操作 請跟上專業的陳智霖分析師〉

摺疊機大戰將掀起新一波的消費電子熱潮，台廠也正積極備戰，Ｍotorola 的新機就使用了聯發科 (2454-TW) 的天璣 7300X 和高通 Snapdragon 8s Gen 3 處理器，預期 2024 年全球摺疊手機出貨量則預估達 1770 萬支，週五大盤重挫時聯發科股價未再破低且回測前高位置可注意操作機會。

盤面上屬於摺疊機族群如毅嘉 (2402-TW) 、晟銘電(3013-TW)、友達(2409-TW) 等相關鏡頭、光學薄膜概念股，也在積極準備應對摺疊機市場的需求增長，本週股價表現也是呈現比大盤逆勢上漲，低位階電子股也是陳智霖老師在 6 月節目公開預告的操作三重點之一，積極的投資人可關注操作機會，大型權值股的聯發發科與其他中小型摺疊機族群做法不同，究竟要如何操作?  建議忠實粉絲觀眾可以先下載陳智霖分析師 APP，申請體驗每週的精選操作名單、選股到價盤中通知，平日的晚上 19:00 也都會有智霖老師親自撰寫的免費分析文章，沒有下載 APP 真的就是你的損失喔！關於股市債券最新的行情看法可以立即點選下方影音收看老師本週六最新的直播節目。

最新影音 (請點影音上方標題至 Youtube 收視品質會更佳)



才剛剛接觸陳智霖分析師的新朋友，建議您現在立即點選連結下載安裝陳智霖分析師 APP，新註冊的用戶可免費體驗午報導航、盤中選股以及會員專屬影音，歡迎您透過體驗來了解陳智霖老師，體驗都是限時限額開放，千萬不要浪費了您可以免費體驗的權益喔。



點擊連結免費下載註冊〈陳智霖分析師 APP〉獎勵金回饋立即領 https://hantec.liveinapp.com/jhih-lin-app-link

錢進熱線 02-2653-8299， 立即邁向系統依據的股票操作。

文章來源：陳智霖分析師 / 亨達投顧

本公司所推薦分析之個別有價證券
無不當之財務利益關係 以往之績效不保證未來獲利
投資人應獨立判斷 審慎評估並自負投資風險
",2024-07-20 21:30:03,台股新聞,827,正面,34
5645319,https://news.cnyes.com/news/id/5645319,〈熱門股〉事欣科營運轉機+北美製造題材 股價創8個月新高,〈熱門股〉事欣科擁美國製造題材 股價創 8 個月新高,"['事欣科', '工業電腦', '美國製造', '川普']","美國前總統川普近日針對台灣地緣政治風險發表看法，引發市場擔憂，而工業電腦廠事欣科 (4916-TW) 主要生產基地都在北美，加上下半年營運可望回穩成長，本周在大盤弱勢下相對抗跌，周五最高來到 37.9 元，逆勢創 8 個月新高，周五收 35.9 元，周漲 14%。

川普近日出席共和黨全國代表大會、也是遇刺後首次公開演說，他表示，目前全球瀕臨第三次世界大戰邊緣，點名台灣在內的多個亞洲國家衝突加劇，加上他先前接受外媒專訪時直言，台灣應該要為美國提供的保護繳交「保護費」，引發市場擔憂。

而事欣科目前主要生產基地分別在美國及墨西哥，公司認為，市場普遍預期不管接下來美國統統當選人是川普或拜登，維持現有基調並擴大投資等方向應是明確，因此，墨西哥廠已進行加速提前於今年底前完成擴產，並或將著手評估另尋第 3 座生產基地。

營運方面，事欣科表示，第三季開始伴隨遞延訂單出貨增加，預期下半年業績將可恢復較明顯的成長、優於上半年；而配合集團業務調整及產能建置需求，第二季將有一次性費用提列影響獲利表現，但第三季開始在營運增長的助攻下，獲利可望回穩提升。
",2024-07-20 13:16:48,台股新聞,827,正面,10
5645327,https://news.cnyes.com/news/id/5645327,華為在陸發起專利訴訟 聯發科：已進入司法程序 無重大影響,華為近日向中國地方法院對聯發科 (2454-TW) 發起專利侵權訴訟，外界推測此次訴訟涉及 5G(或包含 4G、3G 等) 等蜂窩移動通訊技術。聯發科指出，該案已進入司法程序，本公司不予評論，此訴訟案件對公司無重大影響。,"['聯發科', '華為', '專利', '訴訟', '5G', '侵權']","華為近日向中國地方法院對聯發科 (2454-TW) 發起專利侵權訴訟，外界推測此次訴訟涉及 5G(或包含 4G、3G 等) 等蜂窩移動通訊技術。聯發科指出，該案已進入司法程序，公司不予評論，並強調此訴訟案件對公司無重大影響。

外界普遍認為，華為目前全球智慧型手機產業大多向智慧終端廠商收取專利費，此次向更上游的手機晶片業者發起訴訟，等同是打造新的專利授權收取模式，專利收取層級從「終端級」延伸至「零件級」。

但對於聯發科等手機晶片業者來說，目前已支付架構等 IP 費用去打造晶片，若此次訴訟確立華為向晶片業者收取費用的模式，恐進一步支付相關技術授權費用，衍生出的成本也將吃掉部分獲利，也讓外界高度關注此次訴訟結果。

由於專利訴訟來回攻防，往往需耗費長達數年時間，也不乏最終走向和解之路。
",2024-07-20 13:07:01,台股新聞,827,正面,2
5645305,https://news.cnyes.com/news/id/5645305,〈熱門股〉能源股成資金避風港 泓德能源周漲18%創高,川普保護費論一出，影響本周電子股大幅修正，資金也轉進能源股，雲豹能源 (6869-TW) 續強，泓德能源 (6873-TW) 本周也一度衝上 295.5 元，創下歷史新高價，終場收在 288 元，周漲幅高達 18%。,"['泓德能源', '綠電', '能源', '避風港']","川普保護費論一出，影響本周電子股大幅修正，資金也轉進能源股，雲豹能源 (6869-TW) 續強，泓德能源 (6873-TW) 本周也一度衝上 295.5 元，創下歷史新高價，終場收在 288 元，周漲幅高達 18%。

泓德能源 6 月營收 9.06 億元，月增 320.42%，年增 49.12%，累計上半年營收達 21.56 億元，年增 5.4%，均雙雙改寫同期新高。

此外，泓德能源 (6873-TW) 除了耕耘國內市場， 也進軍海外，與澳洲電力零售商 ZEN Energy 簽訂備忘錄，內容包含 500 MW 的光儲電廠使用協議 (Tolling Agreement)、4MW 虛擬電廠合作以及儲能案場開發，可望在未來挹注業績。


 


 
",2024-07-20 12:41:50,台股新聞,827,正面,1
5645288,https://news.cnyes.com/news/id/5645288,〈熱門股〉東陽遭投信連7賣 跌出百元俱樂部,〈熱門股〉東陽遭投信連 7 賣 跌出百元俱樂部,"['東陽', '汽車零組件', '汽車AM', '車用']","汽車零組件大廠東陽 (1319-TW)6 月合併營收降至 4 個月來低點，在傳統相對淡季期間，遭法人出脫持股，投信更是連 7 賣，造成本周股價續弱，周跌 4.68%，周線連 2 黑，並跌破百元關卡，創 3 月中旬來低價。

三大法人 7 月以來合計賣超逾 5500 張，造成東陽近期股價處偏弱整理。

東陽說明，6 月營收和獲利表現主要是受缺櫃、缺艙和運費連漲、匯率問題影響，事實上，由於美國保險公司擴大使用 AM 碰撞件，需求仍熱絡，「滿手訂單出不了貨」，正優化產品線，為下半年旺季準備。

東陽 6 月自結合併稅前盈餘為 3.29 億元，而上半年稅前盈餘更達 28.17 億元，年增幅 79%，每股盈餘 (EPS)4.65 元，創史上同期新高。

法人樂觀看待，今年東陽 AM 出貨優於預期，將穩定貢獻營收，而毛利率也受惠營運規模、產能稼動率維持高檔。
",2024-07-20 11:20:02,台股新聞,827,中性,0
