股票代碼,日期,成交仟股,成交仟元,開盤,最高,最低,收盤,漲跌,筆數
1240,113/04/01,56,"2,898",51.20,52.10,51.20,52.00,0.80,91
1240,113/04/02,57,"3,008",52.70,52.80,52.30,52.50,0.50,88
1240,113/04/03,30,"1,560",52.50,52.80,52.50,52.50,0.00,49
1240,113/04/08,43,"2,231",52.30,52.70,52.00,52.60,0.10,133
1240,113/04/09,21,"1,084",52.10,52.60,52.00,52.50,-0.10,33
1240,113/04/10,53,"2,787",52.50,53.20,52.50,53.20,0.70,68
1240,113/04/11,36,"1,887",52.50,52.70,52.30,52.30,-0.90,95
1240,113/04/12,69,"3,603",52.10,53.00,51.70,53.00,0.70,254
1240,113/04/15,33,"1,707",52.60,52.70,52.00,52.00,-1.00,123
1240,113/04/16,47,"2,430",52.20,52.20,50.60,50.70,-1.30,319
1240,113/04/17,13,686,50.70,51.40,50.70,51.10,0.40,30
1240,113/04/18,13,649,51.40,51.40,51.00,51.10,0.00,66
1240,113/04/19,49,"2,466",51.00,51.00,50.50,50.80,-0.30,265
1240,113/04/22,40,"2,047",50.80,51.50,50.80,51.00,0.20,157
1240,113/04/23,12,625,51.10,51.40,51.10,51.30,0.30,17
1240,113/04/24,52,"2,702",51.60,52.40,51.60,52.10,0.80,64
1240,113/04/25,43,"2,257",52.70,52.70,51.80,52.20,0.10,44
1240,113/04/26,23,"1,196",52.60,52.60,51.60,52.00,-0.20,93
1240,113/04/29,67,"3,538",52.00,52.80,51.90,52.80,0.80,59
1240,113/04/30,12,650,52.80,52.90,52.40,52.40,-0.40,25
1240,113/05/02,14,737,51.80,52.40,51.80,51.90,-0.50,24
1240,113/05/03,82,"4,268",51.90,53.10,51.30,52.00,0.10,82
1240,113/05/06,38,"1,997",52.60,53.20,52.40,52.90,0.90,205
1240,113/05/07,6,300,52.50,52.80,52.40,52.50,-0.40,24
1240,113/05/08,4,233,53.30,53.30,52.80,53.00,0.50,33
1240,113/05/09,52,"2,723",53.00,53.00,51.80,52.20,-0.80,85
1240,113/05/10,10,536,52.10,52.60,52.10,52.20,0.00,23
1240,113/05/13,41,"2,149",52.50,52.90,51.80,52.00,-0.20,51
1259,113/04/01,10,779,75.20,75.20,74.50,74.50,-0.40,154
1259,113/04/02,7,494,75.10,75.10,74.50,75.00,0.50,39
1259,113/04/03,1,100,75.00,75.00,75.00,75.00,0.00,16
1259,113/04/08,8,581,75.00,75.00,74.50,74.50,-0.50,76
1259,113/04/09,13,984,74.60,74.90,74.50,74.90,0.40,29
1259,113/04/10,22,"1,641",75.00,75.50,74.80,74.80,-0.10,39
1259,113/04/11,14,"1,057",75.00,75.20,75.00,75.20,0.40,22
1259,113/04/12,4,305,75.00,75.20,75.00,75.00,-0.20,11
1259,113/04/15,4,308,74.40,74.40,74.20,74.40,-0.60,28
1259,113/04/16,3,243,73.60,74.30,73.60,74.10,-0.30,51
1259,113/04/17,10,766,74.00,74.00,73.90,74.00,-0.10,67
1259,113/04/18,41,"3,042",74.00,74.70,73.70,74.00,0.00,28
1259,113/04/19,29,"2,159",74.00,74.90,73.20,74.00,0.00,32
1259,113/04/22,6,467,73.60,73.80,73.50,73.70,-0.30,31
1259,113/04/23,21,"1,579",74.20,74.70,74.20,74.50,0.80,21
1259,113/04/24,4,284,73.50,73.90,73.50,73.90,-0.60,22
1259,113/04/25,3,239,73.90,74.00,73.90,74.00,0.10,17
1259,113/04/26,3,225,73.50,74.10,73.50,74.10,0.10,7
1259,113/04/29,18,"1,368",74.10,75.10,74.10,74.70,0.60,38
1259,113/04/30,4,330,74.30,75.00,74.30,74.70,0.00,23
1259,113/05/02,9,683,74.70,74.70,74.20,74.20,-0.50,34
1259,113/05/03,15,"1,123",74.20,74.20,74.10,74.10,-0.10,24
1259,113/05/06,11,799,74.10,74.20,74.10,74.10,0.00,40
1259,113/05/07,7,548,73.90,73.90,73.80,73.80,-0.30,23
1259,113/05/08,27,"2,029",74.20,74.30,73.80,73.90,0.10,34
1259,113/05/09,16,"1,203",73.90,74.00,73.80,73.90,0.00,27
1259,113/05/10,59,"4,426",74.70,75.00,73.90,74.90,1.00,47
1259,113/05/13,6,480,74.90,74.90,73.90,74.40,-0.50,29
1264,113/04/01,7,"2,096",305.00,305.00,304.00,304.00,-1.00,153
1264,113/04/02,8,"2,485",304.00,304.00,304.00,304.00,0.00,176
1264,113/04/03,14,"4,324",305.00,305.00,303.00,304.00,0.00,199
1264,113/04/08,8,"2,495",304.00,305.50,304.00,305.50,1.50,145
1264,113/04/09,8,"2,506",304.00,305.50,304.00,304.50,-1.00,131
1264,113/04/10,13,"4,114",304.50,305.00,304.50,304.50,0.00,132
1264,113/04/11,20,"6,221",304.50,304.50,304.00,304.00,-0.50,122
1264,113/04/12,10,"3,045",304.50,305.00,304.50,305.00,1.00,111
1264,113/04/15,19,"5,782",314.50,314.50,305.00,306.50,1.50,195
1264,113/04/16,18,"5,415",303.50,304.00,302.50,304.00,-2.50,260
1264,113/04/17,9,"2,608",304.00,305.00,303.00,303.00,-1.00,102
1264,113/04/18,10,"3,187",303.00,304.00,303.00,303.00,0.00,143
1264,113/04/19,42,"12,658",302.50,302.50,299.50,300.50,-2.50,550
1264,113/04/22,22,"6,727",299.50,300.00,298.00,300.00,-0.50,348
1264,113/04/23,5,"1,494",300.00,300.00,300.00,300.00,0.00,168
1264,113/04/24,13,"3,767",301.00,302.00,301.00,301.00,1.00,102
1264,113/04/25,9,"2,695",300.50,301.50,299.50,301.50,0.50,109
1264,113/04/26,12,"3,532",300.00,300.50,300.00,300.00,-1.50,187
1264,113/04/29,8,"2,305",300.50,301.00,300.50,301.00,1.00,113
1264,113/04/30,6,"1,900",300.50,300.50,300.00,300.00,-1.00,102
1264,113/05/02,13,"3,784",300.00,300.00,300.00,300.00,0.00,106
1264,113/05/03,6,"1,896",300.50,301.00,300.50,300.50,0.50,125
1264,113/05/06,19,"5,711",301.00,305.50,301.00,304.50,4.00,162
1264,113/05/07,13,"3,980",303.50,303.50,302.00,302.50,-2.00,208
1264,113/05/08,2,711,302.00,302.00,302.00,302.00,-0.50,61
1264,113/05/09,8,"2,432",303.00,303.50,302.50,302.50,0.50,96
1264,113/05/10,8,"2,452",302.50,305.00,302.50,304.00,1.50,118
1264,113/05/13,34,"10,510",305.50,309.00,305.00,306.00,2.00,204
1268,113/04/01,144,"22,399",155.00,156.50,154.00,156.00,2.00,211
1268,113/04/02,99,"15,352",156.00,156.00,153.50,154.50,-1.50,139
1268,113/04/03,37,"5,664",153.50,154.50,153.00,153.50,-1.00,63
1268,113/04/08,66,"10,066",153.50,154.50,153.00,153.00,-0.50,98
1268,113/04/09,53,"8,128",153.00,154.50,152.50,154.00,1.00,91
1268,113/04/10,58,"8,970",154.00,155.50,153.50,154.00,0.00,89
1268,113/04/11,260,"39,647",153.00,154.00,151.50,152.50,-1.50,246
1268,113/04/12,62,"9,442",153.00,153.00,151.50,152.50,0.00,94
1268,113/04/15,30,"4,586",152.00,152.00,151.00,151.50,-1.00,72
1268,113/04/16,185,"27,576",151.00,151.00,147.50,148.50,-3.00,261
1268,113/04/17,48,"7,149",148.50,149.50,147.50,148.00,-0.50,88
1268,113/04/18,86,"12,773",147.00,150.50,147.00,149.00,1.00,112
1268,113/04/19,114,"17,061",150.00,150.50,147.00,148.50,-0.50,142
1268,113/04/22,38,"5,653",148.00,149.00,147.50,148.00,-0.50,46
1268,113/04/23,25,"3,756",148.50,149.50,148.50,149.00,1.00,46
1268,113/04/24,60,"9,057",149.50,151.50,149.00,151.50,2.50,83
1268,113/04/25,73,"11,204",152.00,154.00,152.00,152.50,1.00,108
1268,113/04/26,205,"31,719",154.00,155.50,154.00,155.00,2.50,168
1268,113/04/29,247,"38,316",154.50,156.50,153.50,155.50,0.50,301
1268,113/04/30,143,"22,222",155.50,156.50,154.00,156.00,0.50,157
1268,113/05/02,196,"30,680",156.50,158.00,156.00,157.00,1.00,214
1268,113/05/03,86,"13,556",157.50,159.00,156.50,158.00,1.00,105
1268,113/05/06,176,"27,911",159.50,159.50,157.50,158.00,0.00,193
1268,113/05/07,233,"37,290",159.00,161.00,158.00,160.50,2.50,252
1268,113/05/08,177,"28,722",160.50,163.50,159.50,163.00,2.50,227
1268,113/05/09,214,"34,875",163.00,164.50,162.00,162.00,-1.00,176
1268,113/05/10,"1,007","170,273",168.50,173.00,165.50,171.50,9.50,892
1268,113/05/13,348,"59,875",175.00,176.00,169.00,169.00,-2.50,"1,382"
1336,113/04/01,94,"1,917",20.50,20.55,20.20,20.20,-0.30,75
1336,113/04/02,611,"12,173",20.25,20.25,19.80,19.95,-0.25,294
1336,113/04/03,233,"4,577",19.95,20.00,19.50,19.55,-0.40,153
1336,113/04/08,713,"13,669",19.60,19.80,18.90,18.95,-0.60,378
1336,113/04/09,296,"5,823",19.15,20.05,19.15,19.80,0.85,226
1336,113/04/10,57,"1,138",19.85,19.95,19.65,19.80,0.00,72
1336,113/04/11,121,"2,401",19.85,20.10,19.70,19.80,0.00,91
1336,113/04/12,219,"4,323",19.85,19.85,19.55,19.70,-0.10,119
1336,113/04/15,192,"3,722",19.55,19.60,19.20,19.40,-0.30,148
1336,113/04/16,185,"3,518",19.35,19.35,18.90,19.05,-0.35,88
1336,113/04/17,47,915,19.10,19.40,19.10,19.25,0.20,42
1336,113/04/18,34,669,19.25,19.55,19.25,19.40,0.15,36
1336,113/04/19,74,"1,436",19.35,19.60,19.20,19.30,-0.10,60
1336,113/04/22,68,"1,324",19.35,19.80,19.15,19.20,-0.10,53
1336,113/04/23,31,604,19.50,19.50,19.30,19.30,0.10,27
1336,113/04/24,98,"1,891",19.45,19.50,19.10,19.30,0.00,60
1336,113/04/25,50,976,19.30,19.45,19.25,19.30,0.00,48
1336,113/04/26,570,"10,837",19.30,19.35,18.75,18.95,-0.35,226
1336,113/04/29,948,"17,683",19.00,19.10,18.40,18.90,-0.05,397
1336,113/04/30,109,"2,096",19.15,19.25,19.05,19.25,0.35,85
1336,113/05/02,214,"4,202",19.40,19.90,19.40,19.70,0.45,149
1336,113/05/03,97,"1,917",19.80,19.85,19.70,19.75,0.05,66
1336,113/05/06,141,"2,833",19.85,20.15,19.80,20.10,0.35,97
1336,113/05/07,117,"2,318",20.25,20.35,19.55,19.80,-0.30,94
1336,113/05/08,69,"1,388",19.85,20.10,19.85,19.90,0.10,60
1336,113/05/09,34,679,20.00,20.00,19.80,19.80,-0.10,36
1336,113/05/10,159,"3,113",19.65,19.80,19.50,19.65,-0.15,100
1336,113/05/13,282,"5,545",19.70,20.20,19.50,19.65,0.00,145
1565,113/04/01,115,"21,908",189.50,192.00,189.50,191.50,2.00,905
1565,113/04/02,97,"18,480",191.50,191.50,190.50,190.50,-1.00,612
1565,113/04/03,99,"18,852",191.00,191.50,190.00,190.50,0.00,628
1565,113/04/08,97,"18,345",190.50,190.50,189.00,189.00,-1.50,"1,430"
1565,113/04/09,88,"16,709",189.00,190.00,189.00,189.50,0.50,823
1565,113/04/10,101,"19,314",189.50,191.00,189.50,191.00,1.50,"1,329"
1565,113/04/11,77,"14,597",191.50,191.50,189.00,189.00,-2.00,966
1565,113/04/12,58,"11,069",189.50,190.50,189.00,189.50,0.50,483
1565,113/04/15,101,"19,003",189.50,190.50,188.00,188.50,-1.00,504
1565,113/04/16,290,"53,355",188.00,188.00,182.50,183.00,-5.50,715
1565,113/04/17,78,"14,379",184.50,185.00,183.50,185.00,2.00,268
1565,113/04/18,90,"16,597",185.00,185.00,182.50,183.50,-1.50,206
1565,113/04/19,230,"41,591",183.50,183.50,179.50,181.00,-2.50,509
1565,113/04/22,91,"16,545",181.00,183.50,181.00,181.50,0.50,185
1565,113/04/23,56,"10,285",182.00,184.50,182.00,183.50,2.00,125
1565,113/04/24,87,"16,077",185.00,185.00,183.50,184.00,0.50,148
1565,113/04/25,74,"13,681",184.50,185.00,182.50,184.00,0.00,141
1565,113/04/26,82,"15,151",186.50,186.50,183.00,184.50,0.50,146
1565,113/04/29,147,"27,511",185.00,190.00,185.00,190.00,5.50,216
1565,113/04/30,62,"11,604",189.50,189.50,187.50,187.50,-2.50,158
1565,113/05/02,97,"18,097",187.00,189.00,186.00,187.50,0.00,157
1565,113/05/03,69,"12,936",187.50,188.00,186.00,187.00,-0.50,138
1565,113/05/06,74,"13,806",187.50,187.50,185.00,185.50,-1.50,203
1565,113/05/07,91,"16,871",185.50,187.50,184.50,187.00,1.50,151
1565,113/05/08,137,"25,364",185.00,185.50,184.00,185.50,-1.50,201
1565,113/05/09,92,"16,962",185.50,185.50,183.50,183.50,-2.00,186
1565,113/05/10,314,"59,717",189.00,192.00,189.00,189.50,6.00,455
1565,113/05/13,127,"24,116",190.00,191.50,189.00,190.50,1.00,199
1569,113/04/01,64,"1,586",24.65,24.80,24.65,24.75,0.15,53
1569,113/04/02,"1,068","26,872",24.75,25.75,24.75,25.15,0.40,518
1569,113/04/03,196,"4,884",25.00,25.00,24.85,24.90,-0.25,125
1569,113/04/08,224,"5,599",24.90,25.10,24.85,25.00,0.10,169
1569,113/04/09,165,"4,124",25.00,25.10,24.95,25.00,0.00,120
1569,113/04/10,196,"4,938",25.00,25.60,25.00,25.05,0.05,104
1569,113/04/11,226,"5,665",25.00,25.20,24.90,24.95,-0.10,116
1569,113/04/12,444,"11,178",25.00,25.35,25.00,25.00,0.05,259
1569,113/04/15,585,"14,400",24.85,25.00,24.40,24.45,-0.55,270
1569,113/04/16,620,"14,851",24.50,24.50,23.65,23.65,-0.80,231
1569,113/04/17,269,"6,509",24.00,24.40,23.90,24.05,0.40,143
1569,113/04/18,221,"5,331",24.05,24.20,23.75,24.00,-0.05,85
1569,113/04/19,512,"12,016",23.95,23.95,23.15,23.45,-0.55,224
1569,113/04/22,293,"6,901",23.80,24.20,23.35,23.40,-0.05,127
1569,113/04/23,44,"1,035",23.80,23.80,23.45,23.50,0.10,35
1569,113/04/24,184,"4,373",23.50,23.95,23.50,23.80,0.30,110
1569,113/04/25,258,"6,185",23.75,24.10,23.75,23.95,0.15,78
1569,113/04/26,95,"2,282",23.90,24.10,23.90,23.95,0.00,59
1569,113/04/29,191,"4,589",23.95,24.15,23.90,24.00,0.05,84
1569,113/04/30,125,"2,993",24.00,24.00,23.80,23.90,-0.10,73
1569,113/05/02,118,"2,850",24.15,24.20,23.95,24.00,0.10,52
1569,113/05/03,231,"5,534",24.00,24.00,23.85,23.95,-0.05,89
1569,113/05/06,221,"5,307",23.95,24.05,23.85,24.05,0.10,173
1569,113/05/07,90,"2,157",24.10,24.10,23.85,23.85,-0.20,75
1569,113/05/08,124,"2,946",23.85,23.90,23.65,23.80,-0.05,85
1569,113/05/09,146,"3,463",23.70,23.75,23.55,23.55,-0.25,101
1569,113/05/10,133,"3,153",23.80,23.80,23.60,23.75,0.20,69
1569,113/05/13,119,"2,836",23.95,23.95,23.70,23.80,0.05,79
1570,113/04/01,335,"11,195",33.85,33.85,32.85,33.60,0.60,342
1570,113/04/02,"1,225","44,473",33.75,36.95,33.75,36.95,3.35,461
1570,113/04/03,882,"35,734",40.40,40.60,40.00,40.60,3.65,290
1570,113/04/08,"1,779","78,302",44.20,44.65,43.00,44.65,4.05,849
1570,113/04/09,"4,759","207,826",49.10,49.10,40.20,40.35,-4.30,"2,509"
1570,113/04/10,"1,163","47,252",40.60,41.35,40.00,40.20,-0.15,883
1570,113/04/11,"1,561","57,660",39.70,39.70,36.20,36.20,-4.00,"1,230"
1570,113/04/12,"4,337","143,435",34.55,34.75,32.60,32.60,-3.60,"2,264"
1570,113/04/15,"3,798","113,670",30.20,30.80,29.35,29.35,-3.25,"2,161"
1570,113/04/16,"2,589","75,396",29.80,30.40,28.05,28.30,-1.05,"1,693"
1570,113/04/17,"1,809","51,108",28.40,29.05,27.75,27.85,-0.45,"1,203"
1570,113/04/18,"1,401","39,387",28.00,28.70,27.75,28.05,0.20,923
1570,113/04/19,"1,466","37,970",27.75,27.75,25.25,25.25,-2.80,953
1570,113/04/22,631,"15,691",25.35,25.75,24.20,24.50,-0.75,524
1570,113/04/23,566,"14,133",24.60,25.70,24.40,25.05,0.55,413
1570,113/04/24,530,"13,344",25.15,25.50,24.90,25.35,0.30,341
1570,113/04/25,465,"11,739",25.40,25.55,24.90,25.25,-0.10,335
1570,113/04/26,482,"12,085",25.20,25.20,24.90,25.05,-0.20,298
1570,113/04/29,879,"22,915",25.30,26.95,25.20,25.95,0.90,558
1570,113/04/30,453,"11,651",25.95,26.35,25.50,25.60,-0.35,314
1570,113/05/02,470,"12,389",26.10,26.70,26.00,26.60,1.00,388
1570,113/05/03,633,"17,092",26.95,27.45,26.80,26.80,0.20,419
1570,113/05/06,"3,048","87,502",26.80,29.45,26.80,29.45,2.65,"1,653"
1570,113/05/07,"2,799","78,894",29.15,29.15,27.35,27.90,-1.55,"1,482"
1570,113/05/08,508,"13,960",27.80,27.95,27.25,27.35,-0.55,387
1570,113/05/09,"1,918","50,895",27.40,27.95,25.70,26.05,-1.30,"1,008"
1570,113/05/10,317,"8,407",26.30,26.85,26.05,26.85,0.80,285
1570,113/05/13,"1,864","52,847",28.00,29.15,27.40,28.50,1.65,"1,181"
1580,113/04/01,55,"8,803",160.00,160.00,158.50,159.50,-0.50,180
1580,113/04/02,163,"26,176",159.00,162.00,158.50,159.00,-0.50,153
1580,113/04/03,53,"8,405",159.00,159.50,157.00,159.50,0.50,76
1580,113/04/08,79,"12,572",159.50,159.50,158.00,158.50,-1.00,197
1580,113/04/09,98,"15,470",159.00,159.00,156.50,157.00,-1.50,209
1580,113/04/10,522,"80,392",153.00,156.00,152.00,154.50,-2.50,571
1580,113/04/11,168,"25,800",153.50,154.00,153.00,153.00,-1.50,245
1580,113/04/12,118,"17,997",153.00,154.00,152.50,152.50,-0.50,264
1580,113/04/15,160,"24,193",152.50,152.50,150.50,150.50,-2.00,490
1580,113/04/16,303,"45,560",150.50,152.50,149.00,150.00,-0.50,422
1580,113/04/17,80,"12,030",150.50,151.50,150.50,151.50,1.50,335
1580,113/04/18,79,"12,012",151.50,152.50,151.50,152.50,1.00,921
1580,113/04/19,147,"22,054",151.00,152.00,150.00,151.50,-1.00,603
1580,113/04/22,54,"8,168",151.50,152.50,151.50,151.50,0.00,151
1580,113/04/23,42,"6,406",151.50,153.50,151.50,153.00,1.50,109
1580,113/04/24,158,"24,630",153.50,158.00,153.50,153.50,0.50,256
1580,113/04/25,29,"4,426",153.50,154.00,153.50,153.50,0.00,107
1580,113/04/26,141,"21,966",153.50,158.00,153.50,154.00,0.50,203
1580,113/04/29,46,"7,027",154.00,155.00,154.00,154.50,0.50,100
1580,113/04/30,61,"9,534",155.00,157.00,155.00,155.50,1.00,111
1580,113/05/02,72,"11,295",154.50,156.50,154.50,156.00,0.50,112
1580,113/05/03,40,"6,182",156.50,157.00,155.50,156.50,0.50,84
1580,113/05/06,48,"7,552",155.50,156.50,155.00,155.50,-1.00,184
1580,113/05/07,88,"13,691",155.50,157.50,154.00,155.00,-0.50,358
1580,113/05/08,66,"10,200",155.50,155.50,154.50,155.00,0.00,99
1580,113/05/09,89,"13,869",154.50,156.00,154.50,155.50,0.50,131
1580,113/05/10,510,"81,925",157.50,162.50,157.00,158.50,3.00,483
1580,113/05/13,86,"13,586",159.50,160.00,157.50,159.00,0.50,146
1584,113/04/01,"3,083","109,988",35.45,36.25,35.15,35.55,0.30,"1,861"
1584,113/04/02,"2,175","76,732",35.60,35.60,35.10,35.20,-0.35,"1,184"
1584,113/04/03,"1,924","67,632",35.40,35.75,34.80,34.90,-0.30,"1,266"
1584,113/04/08,"1,101","38,385",34.90,35.25,34.70,34.75,-0.15,751
1584,113/04/09,"6,471","232,067",34.90,36.45,34.75,36.30,1.55,"3,307"
1584,113/04/10,"9,647","353,417",36.60,37.25,36.20,36.35,0.05,"5,314"
1584,113/04/11,"7,545","263,079",35.75,35.75,34.45,34.65,-1.70,"3,866"
1584,113/04/12,"2,565","88,694",34.70,35.10,34.40,34.80,0.15,"1,605"
1584,113/04/15,"7,763","278,082",34.70,36.40,34.65,35.55,0.75,"4,524"
1584,113/04/16,"12,086","433,441",36.25,36.60,35.10,35.60,0.05,"6,798"
1584,113/04/17,"10,741","388,712",36.10,36.80,35.55,35.55,-0.05,"5,523"
1584,113/04/18,"6,778","245,778",36.00,36.80,35.30,36.10,0.55,"4,162"
1584,113/04/19,"6,758","239,744",35.95,36.45,34.50,35.35,-0.75,"3,610"
1584,113/04/22,"3,901","136,491",35.70,35.95,34.35,34.55,-0.80,"2,368"
1584,113/04/23,"1,828","63,147",34.65,35.00,34.30,34.70,0.15,"1,285"
1584,113/04/24,"1,760","61,061",34.95,35.00,34.50,34.70,0.00,"1,223"
1584,113/04/25,"1,851","64,046",34.80,35.00,34.30,34.40,-0.30,"1,140"
1584,113/04/26,"2,346","80,474",34.55,34.60,34.00,34.30,-0.10,"1,349"
1584,113/04/29,"1,559","53,826",34.35,34.75,34.30,34.60,0.30,"1,002"
1584,113/04/30,"1,342","46,728",34.85,34.95,34.70,34.75,0.15,"1,041"
1584,113/05/02,"4,047","142,989",34.95,35.95,34.60,35.25,0.50,"2,400"
1584,113/05/03,"2,092","73,319",35.75,35.75,34.70,34.75,-0.50,"1,320"
1584,113/05/06,"1,043","36,281",34.65,35.05,34.65,34.70,-0.05,774
1584,113/05/07,"1,566","53,907",34.75,34.80,34.25,34.40,-0.30,934
1584,113/05/08,810,"27,882",34.65,34.70,34.30,34.35,-0.05,513
1584,113/05/09,"2,085","72,727",34.70,35.30,34.40,34.40,0.05,"1,221"
1584,113/05/10,"2,215","77,294",35.00,35.10,34.60,34.90,0.50,"1,286"
1584,113/05/13,871,"30,328",35.05,35.05,34.70,34.75,-0.15,861
1586,113/04/01,27,868,32.10,32.10,31.85,32.05,0.05,35
1586,113/04/02,120,"3,861",32.10,32.30,31.95,32.05,0.00,107
1586,113/04/03,134,"4,267",32.05,32.10,31.75,31.90,-0.15,163
1586,113/04/08,68,"2,159",31.90,32.15,31.80,31.85,-0.05,60
1586,113/04/09,40,"1,287",31.95,32.00,31.80,31.90,0.05,47
1586,113/04/10,57,"1,834",31.90,32.05,31.85,31.95,0.05,69
1586,113/04/11,167,"5,327",31.95,32.05,31.65,31.95,0.00,107
1586,113/04/12,399,"12,464",31.75,31.95,30.50,31.45,-0.50,334
1586,113/04/15,422,"13,642",31.85,32.90,31.85,32.50,1.05,323
1586,113/04/16,179,"5,751",32.50,32.55,31.80,32.00,-0.50,226
1586,113/04/17,153,"4,899",32.00,32.40,31.70,32.05,0.05,180
1586,113/04/18,94,"2,999",32.45,32.45,31.75,31.85,-0.20,155
