股票代號,公司簡稱,當盤成交價,當盤成交量,累積成交量,開盤價,最高價,最低價,昨收價,漲跌百分比
1240,茂生農經,-,-,39,50.6000,51.1000,50.5000,50.3000,0.0
1259,安心,70.0,1.0,44.0,69.3,71.4,68.2,69.3,1.0101010101010142
1264,德麥,314.0,1.0,5.0,313.0,315.0,313.0,309.5,1.4539579967689822
1268,漢來美食,158.0,6.0,244.0,158.5,160.0,156.0,158.5,-0.31545741324921134
1336,台翰,21.3,3.0,172.0,21.1,21.6,21.05,20.9,1.9138755980861348
1565,精華,177.0,3.0,172.0,178.5,179.5,177.0,176.0,0.5681818181818182
1569,濱川,27.8,170.0,3083.0,28.5,29.1,27.8,27.7,0.3610108303249149
1570,力肯,27.7,35.0,280.0,28.2,28.45,27.7,27.6,0.3623188405797024
1580,新麥,147.5,5.0,72.0,147.0,148.0,146.5,144.0,2.430555555555556
1584,精剛,33.1,103.0,2681.0,32.9,33.45,32.7,32.05,3.276131045241823
1586,和勤,30.55,4.0,215.0,30.8,31.05,30.5,30.3,0.825082508250825
1591,駿吉-KY,53.2,9.0,430.0,53.8,54.6,52.9,52.1,2.1113243761996188
1593,祺驊,41.2,2.0,30.0,41.05,41.55,41.05,40.6,1.4778325123152742
1595,川寶,35.85,1.0,42.0,35.5,35.85,34.95,35.35,1.4144271570014144
1599,宏佳騰,33.6,3.0,29.0,32.9,33.9,32.9,33.9,-0.884955752212381
1742,台蠟,-,-,47,16.9000,17.3000,16.9000,16.9000,0.0
1777,生泰,93.3,9.0,155.0,92.0,93.3,91.9,91.5,1.9672131147540954
1781,合世,16.15,2.0,198.0,16.3,16.5,16.05,16.25,-0.6153846153846242
1784,訊聯,107.5,37.0,850.0,109.0,111.0,106.5,106.0,1.4150943396226416
1785,光洋科,58.2,1279.0,16537.0,59.0,60.4,57.6,57.7,0.8665511265164645
1788,杏昌,-,-,63,139.5000,139.5000,137.5000,138.5000,0.0
1796,金穎生技,50.2,1.0,23.0,51.8,51.8,50.1,50.0,0.40000000000000563
1799,易威,203.5,32.0,1913.0,185.0,205.5,176.0,187.0,8.823529411764707
1813,寶利徠,19.55,6.0,104.0,19.85,19.9,19.5,20.0,-2.2499999999999964
1815,富喬,21.65,498.0,11282.0,22.2,22.55,21.55,21.5,0.6976744186046445
2035,唐榮,32.0,1.0,5.0,31.9,32.15,31.9,32.15,-0.46656298600310603
2061,風青,28.1,215.0,1673.0,27.0,28.5,27.0,26.6,5.639097744360902
2063,世鎧,46.7,1.0,43.0,47.0,47.0,46.7,47.0,-0.6382978723404196
2064,晉椿,14.7,4.0,19.0,14.85,14.9,14.7,14.75,-0.33898305084746244
2065,世豐,59.1,8.0,116.0,59.0,59.8,59.0,58.8,0.5102040816326603
