股票代碼,日期,成交仟股,成交仟元,開盤,最高,最低,收盤,漲跌,筆數
1240,113/04/15,33,"1,707",52.60,52.70,52.00,52.00,-1.0,123
1240,113/04/16,47,"2,430",52.20,52.20,50.60,50.70,-1.3,319
1240,113/04/17,13,686,50.70,51.40,50.70,51.10,0.4,30
1240,113/04/18,13,649,51.40,51.40,51.00,51.10,0.0,66
1240,113/04/19,49,"2,466",51.00,51.00,50.50,50.80,-0.3,265
1240,113/04/22,40,"2,047",50.80,51.50,50.80,51.00,0.2,157
1240,113/04/23,12,625,51.10,51.40,51.10,51.30,0.3,17
1240,113/04/24,52,"2,702",51.60,52.40,51.60,52.10,0.8,64
1240,113/04/25,43,"2,257",52.70,52.70,51.80,52.20,0.1,44
1240,113/04/26,23,"1,196",52.60,52.60,51.60,52.00,-0.2,93
1240,113/04/29,67,"3,538",52.00,52.80,51.90,52.80,0.8,59
1240,113/04/30,12,650,52.80,52.90,52.40,52.40,-0.4,25
1240,113/05/02,14,737,51.80,52.40,51.80,51.90,-0.5,24
1240,113/05/03,82,"4,268",51.90,53.10,51.30,52.00,0.1,82
1240,113/05/06,38,"1,997",52.60,53.20,52.40,52.90,0.9,205
1240,113/05/07,6,300,52.50,52.80,52.40,52.50,-0.4,24
1240,113/05/08,4,233,53.30,53.30,52.80,53.00,0.5,33
1240,113/05/09,52,"2,723",53.00,53.00,51.80,52.20,-0.8,85
1240,113/05/10,10,536,52.10,52.60,52.10,52.20,0.0,23
1240,113/05/13,41,"2,149",52.50,52.90,51.80,52.00,-0.2,51
1259,113/04/15,4,308,74.40,74.40,74.20,74.40,-0.6,28
1259,113/04/16,3,243,73.60,74.30,73.60,74.10,-0.3,51
1259,113/04/17,10,766,74.00,74.00,73.90,74.00,-0.1,67
1259,113/04/18,41,"3,042",74.00,74.70,73.70,74.00,0.0,28
1259,113/04/19,29,"2,159",74.00,74.90,73.20,74.00,0.0,32
1259,113/04/22,6,467,73.60,73.80,73.50,73.70,-0.3,31
1259,113/04/23,21,"1,579",74.20,74.70,74.20,74.50,0.8,21
1259,113/04/24,4,284,73.50,73.90,73.50,73.90,-0.6,22
1259,113/04/25,3,239,73.90,74.00,73.90,74.00,0.1,17
1259,113/04/26,3,225,73.50,74.10,73.50,74.10,0.1,7
1259,113/04/29,18,"1,368",74.10,75.10,74.10,74.70,0.6,38
1259,113/04/30,4,330,74.30,75.00,74.30,74.70,0.0,23
1259,113/05/02,9,683,74.70,74.70,74.20,74.20,-0.5,34
1259,113/05/03,15,"1,123",74.20,74.20,74.10,74.10,-0.1,24
1259,113/05/06,11,799,74.10,74.20,74.10,74.10,0.0,40
1259,113/05/07,7,548,73.90,73.90,73.80,73.80,-0.3,23
1259,113/05/08,27,"2,029",74.20,74.30,73.80,73.90,0.1,34
1259,113/05/09,16,"1,203",73.90,74.00,73.80,73.90,0.0,27
1259,113/05/10,59,"4,426",74.70,75.00,73.90,74.90,1.0,47
1259,113/05/13,6,480,74.90,74.90,73.90,74.40,-0.5,29
1264,113/04/15,19,"5,782",314.50,314.50,305.00,306.50,1.5,195
1264,113/04/16,18,"5,415",303.50,304.00,302.50,304.00,-2.5,260
1264,113/04/17,9,"2,608",304.00,305.00,303.00,303.00,-1.0,102
1264,113/04/18,10,"3,187",303.00,304.00,303.00,303.00,0.0,143
1264,113/04/19,42,"12,658",302.50,302.50,299.50,300.50,-2.5,550
1264,113/04/22,22,"6,727",299.50,300.00,298.00,300.00,-0.5,348
1264,113/04/23,5,"1,494",300.00,300.00,300.00,300.00,0.0,168
1264,113/04/24,13,"3,767",301.00,302.00,301.00,301.00,1.0,102
1264,113/04/25,9,"2,695",300.50,301.50,299.50,301.50,0.5,109
1264,113/04/26,12,"3,532",300.00,300.50,300.00,300.00,-1.5,187
1264,113/04/29,8,"2,305",300.50,301.00,300.50,301.00,1.0,113
1264,113/04/30,6,"1,900",300.50,300.50,300.00,300.00,-1.0,102
1264,113/05/02,13,"3,784",300.00,300.00,300.00,300.00,0.0,106
1264,113/05/03,6,"1,896",300.50,301.00,300.50,300.50,0.5,125
1264,113/05/06,19,"5,711",301.00,305.50,301.00,304.50,4.0,162
1264,113/05/07,13,"3,980",303.50,303.50,302.00,302.50,-2.0,208
