股票代碼,日期,成交仟股,成交仟元,開盤,最高,最低,收盤,漲跌,筆數
1240,113/05/07,6,300,52.50,52.80,52.40,52.50,-0.4,24
1240,113/05/08,4,233,53.30,53.30,52.80,53.00,0.5,33
1240,113/05/09,52,"2,723",53.00,53.00,51.80,52.20,-0.8,85
1240,113/05/10,10,536,52.10,52.60,52.10,52.20,0.0,23
1240,113/05/13,41,"2,149",52.50,52.90,51.80,52.00,-0.2,51
1240,113/05/14,14,757,52.00,52.70,52.00,52.50,0.5,20
1240,113/05/15,80,"4,231",52.70,53.40,52.70,53.20,0.7,117
1240,113/05/16,37,"1,973",53.40,53.50,53.20,53.30,0.1,81
1240,113/05/17,20,"1,046",52.80,53.70,52.80,53.50,0.2,53
1240,113/05/20,14,759,52.80,53.30,52.80,53.30,-0.2,101
1240,113/05/21,23,"1,203",53.50,53.50,53.00,53.50,0.2,39
1240,113/05/22,9,505,53.50,53.60,53.30,53.30,-0.2,15
1240,113/05/23,36,"1,899",53.20,53.20,52.60,52.60,-0.7,184
1240,113/05/24,20,"1,055",53.30,53.30,52.70,52.80,0.2,37
1240,113/05/27,43,"2,281",53.00,53.10,52.60,52.70,-0.1,53
1240,113/05/28,20,"1,048",53.30,53.40,53.00,53.20,0.5,31
1240,113/05/29,36,"1,923",53.50,54.10,53.40,54.10,0.9,66
1240,113/05/30,35,"1,921",54.30,54.60,53.60,53.80,-0.3,69
1240,113/05/31,25,"1,365",54.50,54.90,54.40,54.40,0.6,132
1240,113/06/03,27,"1,460",55.00,55.00,54.10,54.30,-0.1,37
1240,113/06/04,14,776,54.00,54.40,53.80,53.80,-0.5,28
1240,113/06/05,7,390,54.40,54.50,53.90,53.90,0.1,16
1259,113/05/07,7,548,73.90,73.90,73.80,73.80,-0.3,23
1259,113/05/08,27,"2,029",74.20,74.30,73.80,73.90,0.1,34
1259,113/05/09,16,"1,203",73.90,74.00,73.80,73.90,0.0,27
1259,113/05/10,59,"4,426",74.70,75.00,73.90,74.90,1.0,47
1259,113/05/13,6,480,74.90,74.90,73.90,74.40,-0.5,29
1259,113/05/14,13,979,73.80,75.00,73.80,75.00,0.6,27
1259,113/05/15,9,656,74.70,74.80,74.20,74.50,-0.5,24
1259,113/05/16,13,938,74.00,74.90,74.00,74.80,0.3,41
1259,113/05/17,7,531,74.50,74.80,74.50,74.80,0.0,39
1259,113/05/20,3,255,74.60,74.60,74.50,74.50,-0.3,22
1259,113/05/21,1,86,74.50,74.50,74.50,74.50,0.0,9
1259,113/05/22,3,195,74.20,74.50,74.20,74.50,0.0,21
1259,113/05/23,54,"3,961",73.90,73.90,73.00,73.60,-0.9,69
1259,113/05/24,10,752,73.80,73.80,73.60,73.60,0.0,23
1259,113/05/27,19,"1,378",73.50,73.60,73.40,73.40,-0.2,36
1259,113/05/28,17,"1,220",73.40,73.60,73.30,73.40,0.0,50
1259,113/05/29,15,"1,120",73.80,73.80,73.20,73.50,0.1,29
1259,113/05/30,56,"4,165",73.10,74.50,73.10,74.00,0.5,48
1259,113/05/31,10,706,74.00,74.00,73.70,73.70,-0.3,41
1259,113/06/03,8,601,73.60,73.90,73.60,73.70,0.0,22
1259,113/06/04,26,"1,903",74.00,74.00,73.60,73.60,-0.1,65
1259,113/06/05,17,"1,223",72.60,72.60,71.90,72.10,0.3,56
1264,113/05/07,13,"3,980",303.50,303.50,302.00,302.50,-2.0,208
1264,113/05/08,2,711,302.00,302.00,302.00,302.00,-0.5,61
1264,113/05/09,8,"2,432",303.00,303.50,302.50,302.50,0.5,96
1264,113/05/10,8,"2,452",302.50,305.00,302.50,304.00,1.5,118
1264,113/05/13,34,"10,510",305.50,309.00,305.00,306.00,2.0,204
1264,113/05/14,9,"2,900",306.00,306.00,305.50,306.00,0.0,157
1264,113/05/15,29,"8,921",308.00,313.00,308.00,310.00,4.0,179
1264,113/05/16,11,"3,325",312.50,313.00,310.50,310.50,0.5,116
1264,113/05/17,33,"10,490",314.00,316.00,314.00,316.00,5.5,149
1264,113/05/20,13,"4,263",315.50,316.00,315.00,315.00,-1.0,118
1264,113/05/21,7,"2,317",314.00,314.00,313.50,314.00,-1.0,115
1264,113/05/22,4,"1,116",314.50,314.50,314.50,314.50,0.5,72
1264,113/05/23,9,"2,705",314.00,315.00,313.00,313.00,-1.5,86
1264,113/05/24,4,"1,265",312.50,312.50,312.50,312.50,-0.5,59
1264,113/05/27,8,"2,358",313.00,313.00,312.00,312.00,-0.5,96
1264,113/05/28,3,970,309.50,311.50,309.50,311.50,-0.5,85
1264,113/05/29,5,"1,497",309.00,309.50,309.00,309.50,-2.0,128
1264,113/05/30,15,"4,612",309.50,311.50,309.50,310.00,0.5,141
1264,113/05/31,4,"1,208",309.00,310.00,309.00,310.00,0.0,324
1264,113/06/03,5,"1,531",312.00,312.00,311.00,311.00,1.0,136
1264,113/06/04,10,"2,981",310.50,311.00,310.50,310.50,-0.5,85
1264,113/06/05,10,"3,019",310.50,312.00,310.50,311.00,0.5,145
1268,113/05/07,233,"37,290",159.00,161.00,158.00,160.50,2.5,252
1268,113/05/08,177,"28,722",160.50,163.50,159.50,163.00,2.5,227
1268,113/05/09,214,"34,875",163.00,164.50,162.00,162.00,-1.0,176
1268,113/05/10,"1,007","170,273",168.50,173.00,165.50,171.50,9.5,892
1268,113/05/13,348,"59,875",175.00,176.00,169.00,169.00,-2.5,"1,382"
1268,113/05/14,208,"34,881",171.00,171.00,166.50,167.00,-2.0,279
1268,113/05/15,145,"24,279",169.50,169.50,166.00,166.00,-1.0,296
1268,113/05/16,216,"36,026",168.00,169.00,166.00,167.00,1.0,"1,585"
1268,113/05/17,155,"25,827",167.50,169.00,165.50,169.00,2.0,292
1268,113/05/20,134,"22,656",170.00,170.00,168.00,169.50,0.5,339
1268,113/05/21,188,"31,798",169.50,170.00,168.00,170.00,0.5,168
1268,113/05/22,169,"28,766",171.00,172.00,169.50,170.00,0.0,217
1268,113/05/23,216,"36,206",170.50,170.50,166.50,169.50,-0.5,362
1268,113/05/24,91,"15,351",169.50,170.00,167.00,170.00,0.5,122
1268,113/05/27,114,"19,319",170.00,170.50,168.00,169.00,-1.0,389
1268,113/05/28,68,"11,582",169.50,171.00,169.50,169.50,0.5,97
1268,113/05/29,56,"9,397",169.00,169.50,168.00,168.50,-1.0,431
1268,113/05/30,68,"11,308",167.00,169.00,166.50,167.00,-1.5,106
1268,113/05/31,175,"29,258",167.00,169.50,166.00,166.50,-0.5,155
1268,113/06/03,40,"6,646",166.50,168.00,166.50,167.00,0.5,80
1268,113/06/04,174,"29,347",167.00,170.00,166.00,168.50,1.5,178
1268,113/06/05,192,"32,629",169.00,171.50,168.00,168.50,0.0,403
1336,113/05/07,117,"2,318",20.25,20.35,19.55,19.80,-0.3,94
1336,113/05/08,69,"1,388",19.85,20.10,19.85,19.90,0.1,60
1336,113/05/09,34,679,20.00,20.00,19.80,19.80,-0.1,36
1336,113/05/10,159,"3,113",19.65,19.80,19.50,19.65,-0.15,100
1336,113/05/13,282,"5,545",19.70,20.20,19.50,19.65,0.0,145
1336,113/05/14,58,"1,157",19.65,19.95,19.65,19.75,0.1,48
1336,113/05/15,154,"3,090",19.80,20.20,19.80,20.05,0.3,106
1336,113/05/16,101,"2,045",20.15,20.40,20.15,20.25,0.2,96
1336,113/05/17,65,"1,321",20.55,20.55,20.10,20.15,-0.1,56
1336,113/05/20,52,"1,047",20.45,20.50,20.15,20.30,0.15,42
1336,113/05/21,61,"1,236",20.25,20.25,20.10,20.10,-0.2,58
1336,113/05/22,106,"2,141",20.15,20.40,20.05,20.25,0.15,54
1336,113/05/23,113,"2,287",20.50,20.50,19.95,20.00,-0.25,83
1336,113/05/24,87,"1,737",20.00,20.00,19.80,19.90,-0.1,70
1336,113/05/27,90,"1,796",20.05,20.05,19.85,19.90,0.0,65
1336,113/05/28,63,"1,266",19.90,20.15,19.90,20.15,0.25,50
1336,113/05/29,91,"1,852",20.10,20.50,20.10,20.25,0.1,84
1336,113/05/30,156,"3,136",20.25,20.25,20.00,20.05,-0.2,72
1336,113/05/31,54,"1,097",20.10,20.30,20.05,20.05,0.0,49
1336,113/06/03,107,"2,136",20.05,20.20,19.95,20.10,0.05,76
1336,113/06/04,328,"6,697",20.15,21.00,19.85,20.25,0.15,175
1336,113/06/05,90,"1,814",20.25,20.35,20.05,20.10,-0.15,82
