股票代碼,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
1101,2024-04-01,"12,424,889","399,420,695",32.25,32.25,32.05,32.15, 0.00,"4,760"
1101,2024-04-02,"10,353,387","331,618,885",32.15,32.20,31.90,31.95,-0.20,"4,689"
1101,2024-04-03,"37,583,102","1,219,897,514",32.80,33.60,32.00,32.00,+0.05,"15,379"
1101,2024-04-08,"18,056,928","582,674,759",32.20,32.70,32.15,32.30,+0.30,"8,460"
1101,2024-04-09,"15,502,444","500,788,849",32.05,32.50,32.05,32.45,+0.15,"7,106"
1101,2024-04-10,"23,247,115","761,805,523",32.50,32.95,32.45,32.70,+0.25,"10,558"
1101,2024-04-11,"11,611,443","376,946,447",32.50,32.55,32.25,32.40,-0.30,"6,298"
1101,2024-04-12,"17,667,908","565,515,135",32.05,32.20,31.80,32.20,-0.20,"8,720"
1101,2024-04-15,"26,018,655","850,148,921",32.35,33.20,32.30,32.35,+0.15,"11,225"
1101,2024-04-16,"44,774,881","1,467,851,005",32.60,33.30,32.40,32.45,+0.10,"20,764"
1101,2024-04-17,"20,178,265","656,970,067",32.80,32.85,32.20,32.65,+0.20,"9,456"
1101,2024-04-18,"19,151,629","624,026,863",32.50,32.90,32.30,32.70,+0.05,"7,638"
1101,2024-04-19,"28,010,981","900,357,995",32.45,32.70,31.85,32.00,-0.70,"13,408"
1101,2024-04-22,"20,157,051","653,210,333",32.00,32.65,31.90,32.60,+0.60,"7,939"
1101,2024-04-23,"21,579,405","703,826,794",32.80,33.15,32.30,32.35,-0.25,"9,961"
1101,2024-04-24,"16,265,912","524,779,478",32.45,32.50,32.15,32.15,-0.20,"7,774"
1101,2024-04-25,"17,832,979","570,120,185",32.10,32.20,31.80,32.00,-0.15,"9,281"
1101,2024-04-26,"16,356,266","521,281,142",31.90,32.05,31.75,31.80,-0.20,"8,880"
1101,2024-04-29,"18,734,669","602,958,751",31.90,32.35,31.90,32.35,+0.55,"7,416"
1101,2024-04-30,"15,293,947","491,617,088",32.35,32.45,32.00,32.05,-0.30,"7,084"
1101,2024-05-02,"17,725,463","572,383,337",32.10,32.40,32.10,32.30,+0.25,"6,330"
1101,2024-05-03,"17,112,192","556,520,569",32.40,32.75,32.35,32.40,+0.10,"7,038"
1101,2024-05-06,"35,314,691","1,163,672,608",32.75,33.25,32.55,33.00,+0.60,"14,765"
1101,2024-05-07,"22,835,669","753,828,900",33.20,33.30,32.65,33.20,+0.20,"10,964"
1101,2024-05-08,"15,053,340","497,601,018",33.30,33.30,32.90,33.10,-0.10,"7,087"
1101,2024-05-09,"16,432,004","538,514,543",33.00,33.05,32.60,32.65,-0.45,"7,843"
1101,2024-05-10,"23,542,722","777,693,622",32.70,33.30,32.65,33.30,+0.65,"8,916"
1102,2024-04-01,"2,179,558","90,124,802",41.30,41.50,41.20,41.35,+0.05,"1,676"
1102,2024-04-02,"2,010,112","82,650,925",41.15,41.25,41.05,41.10,-0.25,"1,565"
1102,2024-04-03,"4,833,520","200,029,207",41.60,42.40,41.10,41.15,+0.05,"3,055"
1102,2024-04-08,"4,679,398","195,167,135",41.50,41.95,41.30,41.75,+0.60,"3,333"
1102,2024-04-09,"4,277,165","179,346,271",41.80,42.05,41.70,42.00,+0.25,"2,676"
1102,2024-04-10,"5,701,770","242,086,927",42.10,42.65,42.10,42.50,+0.50,"3,513"
1102,2024-04-11,"3,430,495","143,973,012",42.30,42.30,41.70,42.05,-0.45,"3,015"
1102,2024-04-12,"4,676,844","195,280,866",41.75,42.05,41.50,41.80,-0.25,"3,213"
1102,2024-04-15,"4,177,240","175,466,591",41.80,42.25,41.70,42.05,+0.25,"2,270"
1102,2024-04-16,"5,341,958","221,707,625",41.80,41.90,41.15,41.40,-0.65,"3,829"
1102,2024-04-17,"5,880,974","243,788,698",41.30,41.70,41.15,41.45,+0.05,"3,790"
1102,2024-04-18,"5,455,689","228,596,269",41.50,42.15,41.50,42.15,+0.70,"2,659"
1102,2024-04-19,"7,780,588","325,648,643",42.00,42.25,41.50,42.00,-0.15,"4,705"
1102,2024-04-22,"8,049,235","341,868,957",42.20,42.70,42.10,42.70,+0.70,"4,835"
1102,2024-04-23,"8,648,772","370,577,880",42.70,43.00,42.55,42.90,+0.20,"4,272"
1102,2024-04-24,"5,558,783","237,280,999",42.90,43.20,42.40,42.45,-0.45,"3,855"
1102,2024-04-25,"2,748,955","116,581,929",42.40,42.85,42.10,42.50,+0.05,"2,462"
1102,2024-04-26,"5,932,301","253,880,810",42.40,43.00,42.30,42.75,+0.25,"3,497"
1102,2024-04-29,"8,594,418","372,505,721",43.00,43.60,43.00,43.60,+0.85,"4,584"
1102,2024-04-30,"7,910,186","345,349,729",43.60,43.80,43.25,43.70,+0.10,"4,094"
1102,2024-05-02,"6,750,286","295,740,686",43.70,44.00,43.55,43.80,+0.10,"3,785"
1102,2024-05-03,"6,502,866","286,285,988",43.80,44.25,43.70,43.95,+0.15,"4,298"
1102,2024-05-06,"10,741,442","475,395,394",44.10,44.50,43.85,44.50,+0.55,"5,869"
1102,2024-05-07,"8,343,345","368,394,264",44.50,44.70,43.80,44.20,-0.30,"5,255"
1102,2024-05-08,"5,864,050","258,078,411",44.20,44.20,43.70,43.90,-0.30,"3,853"
1102,2024-05-09,"6,222,339","272,544,707",43.85,44.20,43.25,43.45,-0.45,"4,566"
1102,2024-05-10,"23,946,670","1,084,987,369",43.75,46.00,43.75,46.00,+2.55,"12,193"
1103,2024-04-01,"185,305","3,229,106",17.40,17.50,17.35,17.50,+0.10,212
1103,2024-04-02,"297,174","5,162,634",17.35,17.45,17.30,17.35,-0.15,201
1103,2024-04-03,"1,082,180","19,094,901",17.65,18.20,17.40,17.45,+0.10,558
1103,2024-04-08,"429,813","7,540,766",17.70,17.70,17.45,17.55,+0.10,284
1103,2024-04-09,"407,659","7,169,802",17.55,17.70,17.45,17.65,+0.10,243
1103,2024-04-10,"572,844","10,225,757",17.65,18.00,17.65,17.85,+0.20,331
1103,2024-04-11,"335,595","5,960,041",17.90,17.90,17.70,17.75,-0.10,212
1103,2024-04-12,"367,175","6,451,940",17.60,17.70,17.50,17.55,-0.20,232
1103,2024-04-15,"408,005","7,207,773",17.70,17.80,17.55,17.60,+0.05,231
1103,2024-04-16,"529,211","9,204,527",17.60,17.60,17.30,17.30,-0.30,337
1103,2024-04-17,"256,333","4,455,651",17.25,17.60,17.20,17.45,+0.15,213
1103,2024-04-18,"403,536","7,131,148",17.40,17.80,17.40,17.80,+0.35,330
1103,2024-04-19,"467,664","8,206,961",17.85,17.90,17.30,17.55,-0.25,413
1103,2024-04-22,"775,507","13,857,820",17.75,18.00,17.70,17.80,+0.25,"1,017"
1103,2024-04-23,"302,246","5,400,995",17.80,18.00,17.75,17.90,+0.10,795
