股票代號,公司簡稱,當盤成交價,當盤成交量,累積成交量,開盤價,最高價,最低價,昨收價,漲跌百分比
1101,台泥,34.0,1716.0,21705.0,33.4,34.35,33.4,33.8,0.5917159763313694
1102,亞泥,42.35,1327.0,11454.0,41.1,42.6,41.1,41.6,1.8028846153846152
1103,嘉泥,17.2,13.0,418.0,17.1,17.3,17.05,17.4,-1.1494252873563178
1104,環泥,30.8,38.0,579.0,30.8,31.0,30.5,31.15,-1.1235955056179707
1108,幸福,15.5,14.0,205.0,15.5,15.7,15.4,15.6,-0.6410256410256387
1109,信大,17.45,8.0,98.0,17.3,17.5,17.3,17.5,-0.2857142857142898
1110,東泥,22.25,11.0,416.0,22.65,22.9,22.15,22.65,-1.7660044150110312
1201,味全,17.95,22.0,561.0,17.85,18.0,17.65,17.9,0.27932960893855147
1203,味王,50.7,3.0,21.0,50.6,51.3,50.6,51.9,-2.312138728323691
1210,大成,52.9,32.0,908.0,52.5,53.3,52.5,53.0,-0.18867924528302155
1213,大飲,-,-,78,12.5000,12.6500,12.3000,12.5000,0.0
1215,卜蜂,99.3,49.0,284.0,98.8,99.4,98.1,99.5,-0.20100502512563098
1216,統一,79.2,2146.0,16149.0,77.8,80.2,77.5,78.3,1.149425287356329
1217,愛之味,11.5,63.0,849.0,11.6,11.65,11.45,11.7,-1.7094017094017033
1218,泰山,19.9,15.0,581.0,19.95,20.1,19.85,19.95,-0.2506265664160437
1219,福壽,17.05,5.0,336.0,16.95,17.1,16.95,17.3,-1.4450867052023122
1220,台榮,14.8,6.0,80.0,14.35,14.8,14.35,14.75,0.33898305084746244
1225,福懋油,141.0,12.0,122.0,142.0,149.0,141.0,147.0,-4.081632653061225
1227,佳格,38.4,20.0,703.0,38.2,38.6,38.1,38.65,-0.646830530401035
1229,聯華,61.2,62.0,1268.0,61.3,61.9,61.0,62.6,-2.2364217252396146
1231,聯華食,100.0,8.0,126.0,99.4,101.0,99.4,101.0,-0.9900990099009901
1232,大統益,142.5,6.0,72.0,142.0,143.0,142.0,143.5,-0.6968641114982579
1233,天仁,32.2,1.0,5.0,32.0,32.2,32.0,31.95,0.78247261345854
1234,黑松,41.65,5.0,147.0,41.35,41.95,41.2,41.95,-0.7151370679380316
1235,興泰,118.0,1.0,18.0,116.5,123.5,116.5,120.0,-1.6666666666666667
1236,宏亞,24.45,1.0,24.0,24.0,24.8,24.0,24.2,1.0330578512396695
1256,鮮活果汁-KY,-,-,1,164.0000,164.0000,164.0000,165.0000,0.0
1301,台塑,53.3,1390.0,16197.0,54.3,54.4,53.2,55.0,-3.090909090909096
1303,南亞,46.4,2226.0,13186.0,46.5,47.4,46.35,47.5,-2.3157894736842133
1304,台聚,14.45,74.0,1413.0,14.55,14.65,14.3,14.7,-1.7006802721088436
1305,華夏,16.7,36.0,883.0,16.8,17.0,16.6,17.15,-2.6239067055393543
1307,三芳,31.2,21.0,471.0,31.05,31.55,30.9,31.7,-1.5772870662460567
1308,亞聚,16.8,29.0,1012.0,16.7,17.05,16.55,16.85,-0.2967359050445146
1309,台達化,16.05,32.0,2129.0,16.0,16.2,15.75,16.15,-0.6191950464396153
1310,台苯,12.95,16.0,932.0,12.85,13.15,12.7,13.05,-0.7662835249042255
1312,國喬,13.25,66.0,2269.0,13.1,13.4,12.95,13.3,-0.37593984962406546
1313,聯成,11.2,61.0,1699.0,11.2,11.3,10.95,11.3,-0.8849557522124019
1314,中石化,9.93,700.0,20422.0,9.93,10.1,9.77,9.98,-0.5010020040080231
1315,達新,-,-,37,70.2000,71.0000,70.0000,70.6000,0.0
1316,上曜,18.9,310.0,9672.0,19.25,19.45,18.4,19.35,-2.3255813953488516
1319,東陽,87.0,251.0,1957.0,88.0,88.5,86.5,90.0,-3.3333333333333335
1321,大洋,36.7,26.0,672.0,34.75,37.25,34.75,35.15,4.409672830725475
1323,永裕,29.7,1.0,11.0,29.7,29.7,29.65,29.75,-0.1680672268907587
1324,地球,13.15,6.0,39.0,13.15,13.15,12.9,13.2,-0.37878787878787074
1325,恆大,26.3,12.0,190.0,26.6,26.6,26.1,26.6,-1.127819548872183
1326,台化,45.85,923.0,8182.0,46.5,46.5,45.7,47.7,-3.878406708595391
1337,再生-KY,6.73,41.0,778.0,6.66,6.79,6.55,6.68,0.7485029940119867
