股票代碼,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
1101,2024-04-15,"26,018,655","850,148,921",32.35,33.20,32.30,32.35,+0.15,"11,225"
1101,2024-04-16,"44,774,881","1,467,851,005",32.60,33.30,32.40,32.45,+0.10,"20,764"
1101,2024-04-17,"20,178,265","656,970,067",32.80,32.85,32.20,32.65,+0.20,"9,456"
1101,2024-04-18,"19,151,629","624,026,863",32.50,32.90,32.30,32.70,+0.05,"7,638"
1101,2024-04-19,"28,010,981","900,357,995",32.45,32.70,31.85,32.00,-0.70,"13,408"
1101,2024-04-22,"20,157,051","653,210,333",32.00,32.65,31.90,32.60,+0.60,"7,939"
1101,2024-04-23,"21,579,405","703,826,794",32.80,33.15,32.30,32.35,-0.25,"9,961"
1101,2024-04-24,"16,265,912","524,779,478",32.45,32.50,32.15,32.15,-0.20,"7,774"
1101,2024-04-25,"17,832,979","570,120,185",32.10,32.20,31.80,32.00,-0.15,"9,281"
1101,2024-04-26,"16,356,266","521,281,142",31.90,32.05,31.75,31.80,-0.20,"8,880"
1101,2024-04-29,"18,734,669","602,958,751",31.90,32.35,31.90,32.35,+0.55,"7,416"
1101,2024-04-30,"15,293,947","491,617,088",32.35,32.45,32.00,32.05,-0.30,"7,084"
1101,2024-05-02,"17,725,463","572,383,337",32.10,32.40,32.10,32.30,+0.25,"6,330"
1101,2024-05-03,"17,112,192","556,520,569",32.40,32.75,32.35,32.40,+0.10,"7,038"
1101,2024-05-06,"35,314,691","1,163,672,608",32.75,33.25,32.55,33.00,+0.60,"14,765"
1101,2024-05-07,"22,835,669","753,828,900",33.20,33.30,32.65,33.20,+0.20,"10,964"
1101,2024-05-08,"15,053,340","497,601,018",33.30,33.30,32.90,33.10,-0.10,"7,087"
1101,2024-05-09,"16,432,004","538,514,543",33.00,33.05,32.60,32.65,-0.45,"7,843"
1101,2024-05-10,"23,542,722","777,693,622",32.70,33.30,32.65,33.30,+0.65,"8,916"
1102,2024-04-15,"4,177,240","175,466,591",41.80,42.25,41.70,42.05,+0.25,"2,270"
1102,2024-04-16,"5,341,958","221,707,625",41.80,41.90,41.15,41.40,-0.65,"3,829"
1102,2024-04-17,"5,880,974","243,788,698",41.30,41.70,41.15,41.45,+0.05,"3,790"
1102,2024-04-18,"5,455,689","228,596,269",41.50,42.15,41.50,42.15,+0.70,"2,659"
1102,2024-04-19,"7,780,588","325,648,643",42.00,42.25,41.50,42.00,-0.15,"4,705"
1102,2024-04-22,"8,049,235","341,868,957",42.20,42.70,42.10,42.70,+0.70,"4,835"
1102,2024-04-23,"8,648,772","370,577,880",42.70,43.00,42.55,42.90,+0.20,"4,272"
1102,2024-04-24,"5,558,783","237,280,999",42.90,43.20,42.40,42.45,-0.45,"3,855"
1102,2024-04-25,"2,748,955","116,581,929",42.40,42.85,42.10,42.50,+0.05,"2,462"
1102,2024-04-26,"5,932,301","253,880,810",42.40,43.00,42.30,42.75,+0.25,"3,497"
1102,2024-04-29,"8,594,418","372,505,721",43.00,43.60,43.00,43.60,+0.85,"4,584"
1102,2024-04-30,"7,910,186","345,349,729",43.60,43.80,43.25,43.70,+0.10,"4,094"
1102,2024-05-02,"6,750,286","295,740,686",43.70,44.00,43.55,43.80,+0.10,"3,785"
1102,2024-05-03,"6,502,866","286,285,988",43.80,44.25,43.70,43.95,+0.15,"4,298"
1102,2024-05-06,"10,741,442","475,395,394",44.10,44.50,43.85,44.50,+0.55,"5,869"
1102,2024-05-07,"8,343,345","368,394,264",44.50,44.70,43.80,44.20,-0.30,"5,255"
1102,2024-05-08,"5,864,050","258,078,411",44.20,44.20,43.70,43.90,-0.30,"3,853"
1102,2024-05-09,"6,222,339","272,544,707",43.85,44.20,43.25,43.45,-0.45,"4,566"
1102,2024-05-10,"23,946,670","1,084,987,369",43.75,46.00,43.75,46.00,+2.55,"12,193"
1103,2024-04-15,"408,005","7,207,773",17.70,17.80,17.55,17.60,+0.05,231
1103,2024-04-16,"529,211","9,204,527",17.60,17.60,17.30,17.30,-0.30,337
1103,2024-04-17,"256,333","4,455,651",17.25,17.60,17.20,17.45,+0.15,213
1103,2024-04-18,"403,536","7,131,148",17.40,17.80,17.40,17.80,+0.35,330
1103,2024-04-19,"467,664","8,206,961",17.85,17.90,17.30,17.55,-0.25,413
1103,2024-04-22,"775,507","13,857,820",17.75,18.00,17.70,17.80,+0.25,"1,017"
1103,2024-04-23,"302,246","5,400,995",17.80,18.00,17.75,17.90,+0.10,795
1103,2024-04-24,"401,728","7,167,986",17.75,17.95,17.75,17.80,-0.10,573
1103,2024-04-25,"280,109","5,003,610",17.80,17.95,17.75,17.85,+0.05,329
1103,2024-04-26,"459,094","8,228,755",17.85,17.95,17.85,17.90,+0.05,365
1103,2024-04-29,"4,861,552","90,157,616",17.90,18.90,17.90,18.75,+0.85,"1,785"
1103,2024-04-30,"1,097,102","20,123,119",18.60,18.60,18.20,18.40,-0.35,"1,022"
1103,2024-05-02,"1,793,216","33,561,551",18.40,18.95,18.40,18.85,+0.45,"1,184"
1103,2024-05-03,"972,087","18,078,526",18.70,18.75,18.50,18.55,-0.30,736
1103,2024-05-06,"786,156","14,598,713",18.70,18.75,18.50,18.50,-0.05,648
1103,2024-05-07,"678,505","12,477,918",18.60,18.65,18.25,18.40,-0.10,757
1103,2024-05-08,"425,555","7,785,452",18.40,18.40,18.25,18.35,-0.05,574
1103,2024-05-09,"342,384","6,270,602",18.40,18.40,18.20,18.20,-0.15,564
1103,2024-05-10,"369,151","6,723,397",18.20,18.30,18.05,18.30,+0.10,461
1104,2024-04-15,"2,519,393","82,595,763",32.60,33.00,32.55,32.75,+0.10,"1,100"
1104,2024-04-16,"2,110,677","68,234,345",32.70,32.80,32.05,32.20,-0.55,"1,544"
1104,2024-04-17,"2,772,635","91,464,827",32.25,33.25,32.25,33.15,+0.95,"1,768"
1104,2024-04-18,"2,144,306","71,745,545",33.30,33.80,33.05,33.30,+0.15,"2,264"
1104,2024-04-19,"1,604,421","53,001,048",33.05,33.50,32.55,33.10,-0.20,"1,551"
1104,2024-04-22,"1,442,283","48,157,531",33.30,33.75,33.05,33.40,+0.30,"1,330"
1104,2024-04-23,"3,313,881","112,331,956",33.75,34.10,33.50,34.05,+0.65,"2,337"
1104,2024-04-24,"1,988,283","67,352,163",34.30,34.35,33.65,33.70,-0.35,"1,374"
1104,2024-04-25,"1,119,967","38,037,148",33.70,34.10,33.70,33.85,+0.15,795
1104,2024-04-26,"2,094,553","70,818,417",34.00,34.15,33.65,33.65,-0.20,"1,303"
1104,2024-04-29,"3,605,568","125,184,267",33.80,35.50,33.70,35.15,+1.50,"2,239"
1104,2024-04-30,"4,871,430","174,097,310",35.70,36.25,35.15,35.15, 0.00,"3,363"
1104,2024-05-02,"2,131,256","76,016,234",35.30,36.15,35.30,35.35,+0.20,"1,857"
1104,2024-05-03,"1,622,446","57,384,893",35.70,35.70,35.20,35.25,-0.10,"1,028"
1104,2024-05-06,"1,372,396","48,605,993",35.45,35.60,35.30,35.40,+0.15,863
1104,2024-05-07,"2,401,483","83,858,313",35.50,35.85,34.50,34.75,-0.65,"1,811"
1104,2024-05-08,"1,598,026","55,002,868",34.75,34.75,34.25,34.35,-0.40,"1,098"
1104,2024-05-09,"1,033,749","35,805,752",34.45,34.90,34.45,34.55,+0.20,780
1104,2024-05-10,"1,126,757","39,250,948",34.60,35.00,34.50,34.95,+0.40,804
1108,2024-04-15,"1,570,597","25,775,371",16.40,16.55,16.30,16.30,-0.05,594
1108,2024-04-16,"1,692,901","27,303,302",16.35,16.40,16.00,16.15,-0.15,631
1108,2024-04-17,"2,395,650","39,296,692",16.20,16.70,16.05,16.45,+0.30,758
1108,2024-04-18,"8,292,166","141,560,048",16.55,17.55,16.50,17.05,+0.60,"3,209"
1108,2024-04-19,"4,214,102","71,102,966",16.95,17.30,16.45,16.70,-0.35,"1,717"
1108,2024-04-22,"3,447,482","58,812,349",16.80,17.40,16.75,16.95,+0.25,"1,421"
1108,2024-04-23,"1,364,185","23,180,129",17.15,17.20,16.80,16.90,-0.05,648
1108,2024-04-24,"1,559,181","26,316,090",16.70,17.00,16.70,16.90, 0.00,610
1108,2024-04-25,"1,050,473","17,797,485",16.90,17.10,16.85,16.90, 0.00,505
1108,2024-04-26,"1,003,674","16,888,050",17.00,17.00,16.75,16.80,-0.10,512
