股票代碼,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
1101,2024-05-07,"22,835,669","753,828,900",33.20,33.30,32.65,33.20,+0.20,"10,964"
1101,2024-05-08,"15,053,340","497,601,018",33.30,33.30,32.90,33.10,-0.10,"7,087"
1101,2024-05-09,"16,432,004","538,514,543",33.00,33.05,32.60,32.65,-0.45,"7,843"
1101,2024-05-10,"23,542,722","777,693,622",32.70,33.30,32.65,33.30,+0.65,"8,916"
1101,2024-05-13,"30,344,896","1,021,662,057",33.60,33.85,33.45,33.70,+0.40,"14,455"
1101,2024-05-14,"24,611,260","819,653,260",33.85,33.85,33.15,33.35,-0.35,"13,394"
1101,2024-05-15,"18,563,917","619,178,046",33.50,33.55,33.15,33.30,-0.05,"8,588"
1101,2024-05-16,"21,294,620","714,101,005",33.35,33.70,33.30,33.60,+0.30,"9,333"
1101,2024-05-17,"23,265,997","787,508,791",33.80,33.95,33.60,33.90,+0.30,"9,794"
1101,2024-05-20,"16,401,768","555,245,256",33.95,34.10,33.70,33.85,-0.05,"8,808"
1101,2024-05-21,"19,091,596","635,981,840",33.75,33.80,33.10,33.35,-0.50,"9,638"
1101,2024-05-22,"47,394,413","1,620,276,389",33.65,34.40,33.60,34.35,+1.00,"20,169"
1101,2024-05-23,"22,437,821","763,736,817",34.20,34.30,33.90,34.00,-0.35,"12,033"
1101,2024-05-24,"17,128,018","580,682,908",33.85,34.15,33.65,34.05,+0.05,"7,807"
1101,2024-05-27,"16,184,647","547,943,942",34.05,34.05,33.70,33.80,-0.25,"8,763"
1101,2024-05-28,"13,142,938","445,184,733",33.80,34.00,33.65,33.95,+0.15,"6,822"
1101,2024-05-29,"28,406,041","949,026,146",33.80,33.95,33.20,33.20,-0.75,"13,687"
1101,2024-05-30,"19,340,292","638,352,299",33.05,33.35,32.85,32.85,-0.35,"9,874"
1101,2024-05-31,"20,793,044","686,780,857",32.90,33.20,32.90,33.00,+0.15,"5,595"
1101,2024-06-03,"10,458,569","345,141,362",33.10,33.15,32.90,33.00, 0.00,"5,609"
1101,2024-06-04,"14,842,521","486,634,586",32.95,33.05,32.70,32.70,-0.30,"9,075"
1101,2024-06-05,"8,581,538","281,215,557",32.75,32.95,32.65,32.70, 0.00,"5,394"
1102,2024-05-07,"8,343,345","368,394,264",44.50,44.70,43.80,44.20,-0.30,"5,255"
1102,2024-05-08,"5,864,050","258,078,411",44.20,44.20,43.70,43.90,-0.30,"3,853"
1102,2024-05-09,"6,222,339","272,544,707",43.85,44.20,43.25,43.45,-0.45,"4,566"
1102,2024-05-10,"23,946,670","1,084,987,369",43.75,46.00,43.75,46.00,+2.55,"12,193"
1102,2024-05-13,"12,556,366","572,774,974",45.60,45.80,45.00,45.80,-0.20,"8,182"
1102,2024-05-14,"8,562,691","389,836,282",45.70,45.90,45.10,45.60,-0.20,"5,314"
1102,2024-05-15,"9,026,241","413,323,087",45.60,46.00,45.50,45.60, 0.00,"4,794"
1102,2024-05-16,"14,602,349","666,815,019",45.70,45.85,45.35,45.75,+0.15,"6,736"
1102,2024-05-17,"11,174,571","501,260,284",45.75,45.75,44.60,44.60,-1.15,"7,041"
