股票代碼,公司簡稱,當月營收(千元),上月營收(千元),去年當月營收(千元),上月比較增減(%),去年同月增減(%),當月累計營收(千元),去年累計營收(千元),前期比較增減(%),備註
1256,鮮活果汁-KY,"343,021","438,938","452,538",-21.85,-24.20,"1,653,089","1,755,830",-5.85,無
1590,亞德客-KY,"2,799,703","3,112,482","2,772,214",-10.04,0.99,"13,117,777","12,365,664",6.08,本月營業收入換算匯率為4.4642820;本年累計營業收入換算匯率為4.4085307。
6456,GIS-KY,"4,996,146","5,581,866","7,040,289",-10.49,-29.03,"25,685,554","28,511,366",-9.91,無
4927,泰鼎-KY,"1,037,299","1,076,109","1,130,481",-3.60,-8.24,"4,928,263","5,515,973",-10.65,5月份自結數
6672,騰輝電子-KY,"399,190","360,869","418,901",10.61,-4.70,"1,834,663","2,012,404",-8.83,無
6781,AES-KY,"711,107","745,409","801,707",-4.60,-11.30,"3,763,575","4,538,782",-17.07,無
3665,貿聯-KY,"4,319,672","4,501,705","4,420,933",-4.04,-2.29,"21,185,273","21,394,544",-0.97,無
5225,東科-KY,"1,001,461","1,053,832","916,595",-4.96,9.25,"4,818,304","3,800,895",26.76,無
2637,慧洋-KY,"1,895,842","1,810,476","1,647,911",4.71,15.04,"8,392,327","6,788,555",23.62,無
6641,基士德-KY,"154,263","161,890","154,632",-4.71,-0.23,"722,953","671,511",7.66,無
5284,jpp-KY,"148,401","165,372","188,746",-10.26,-21.37,"913,167","930,757",-1.88,無
8404,百和興業-KY,"600,912","581,689","396,521",3.30,51.54,"2,714,948","1,947,181",39.42,因新產品發酵貢獻及整體市場需求增加，故本期營業額較去年同期成長。
