股票代碼,公司簡稱,償債能力-流動比率(%),償債能力-速動比率(%),償債能力-利息保障倍數(%),經營能力-應收款項週轉率(次),經營能力-平均收現日數,經營能力-存貨週轉率(次),經營能力-平均售貨日數,經營能力-不動產、廠房及設備週轉率(次),經營能力-總資產週轉率(次),獲利能力-資產報酬率(%),獲利能力-權益報酬率(%),獲利能力-稅前純益佔實收資本比率(%),獲利能力-純益率(%),獲利能力-每股盈餘(元)
2301,光寶科,158.79,130.91,13.23,4.13,88.37,4.00,91.25,7.92,0.76,8.12,17.58,78.05,9.84,6.36
2303,聯電,218.95,179.68,48.81,6.69,54.55,4.34,84.10,1.09,0.41,11.47,17.57,56.24,27.61,4.93
2323,中環,440.57,352.75,19.52,5.16,70.73,1.62,225.30,1.79,0.30,7.51,9.86,16.56,23.82,1.61
2324,仁寶,133.06,98.18,3.35,4.92,74.18,8.75,41.71,32.73,2.13,2.92,7.02,26.98,0.96,1.76
2330,台積電,240.16,212.46,54.08,9.96,36.64,4.18,87.32,0.75,0.41,16.14,26.18,377.59,38.75,32.34
2344,華邦電,184.56,113.11,0.29,7.63,47.83,2.32,157.32,0.76,0.40,0.44,0.03,-1.66,0.04,-0.29
2349,錸德,236.72,188.73,0.07,4.00,91.25,3.24,112.65,0.96,0.40,-1.31,-3.63,-2.11,-4.96,-0.44
2353,宏碁,146.97,96.14,28.51,4.66,78.32,5.02,72.70,55.33,1.21,2.95,7.47,25.59,2.33,1.64
2356,英業達,113.53,77.95,2.58,5.66,64.48,8.50,42.94,17.38,2.15,4.09,10.11,20.17,1.17,1.71
2363,矽統,"2,983.78","2,930.23","2,200.30",11.59,31.49,0.60,608.33,0.25,0.01,3.22,3.24,8.24,298.55,0.76
2365,昆盈,624.47,554.47,12.36,10.71,34.08,2.47,147.77,1.21,0.22,2.23,2.44,4.16,9.42,0.33
2374,佳能,210.90,173.83,32.84,6.87,53.12,2.97,122.89,1.58,0.55,2.80,3.63,10.50,4.92,0.96
2382,廣達,126.38,100.46,6.80,3.99,91.47,5.72,63.81,17.85,1.57,6.32,21.86,133.93,3.72,10.29
