時間,發行量加權股價指數,未含金融保險股指數,未含電子股指數,未含金融電子股指數,水泥類指數,食品類指數,塑膠類指數,紡織纖維類指數,電機機械類指數,電器電纜類指數,化學生技醫療類指數,化學類指數,生技醫療類指數,玻璃陶瓷類指數,造紙類指數,鋼鐵類指數,橡膠類指數,汽車類指數,電子類指數,半導體類指數,電腦及週邊設備類指數,光電類指數,通信網路類指數,電子零組件類指數,電子通路類指數,資訊服務類指數,其他電子類指數,建材營造類指數,航運類指數,觀光餐旅類指數,金融保險類指數,貿易百貨類指數,油電燃氣類指數,綠能環保類指數,數位雲端類指數,運動休閒類指數,居家生活類指數,其他類指數
09:00:00,"22,858.81","19,944.04","20,400.70","15,764.66",161.45,"2,362.84",148.95,663.58,416.02,110.18,140.75,175.04,76.58,46.61,326.46,134.36,282.99,410.01,"1,230.95",625.71,260.53,41.37,161.90,232.92,255.72,196.26,171.81,581.03,196.82,121.26,"2,111.05",317.90,72.06,127.06,69.07,103.40,142.55,369.31
09:00:05,"22,978.97","20,059.87","20,443.24","15,809.39",161.54,"2,365.33",149.49,665.24,416.09,111.53,141.02,175.33,76.73,46.68,326.52,134.54,282.99,410.61,"1,239.17",630.78,261.38,41.46,162.08,233.25,256.78,196.37,173.50,581.77,199.17,121.32,"2,112.46",317.92,72.08,127.59,69.12,103.30,143.15,370.10
09:00:10,"22,967.75","20,043.63","20,478.26","15,832.38",162.19,"2,365.58",149.81,665.32,418.05,111.52,141.10,175.43,76.78,46.67,327.67,134.64,284.57,410.67,"1,237.35",629.02,261.97,41.54,162.12,233.76,257.78,196.69,173.22,582.94,199.52,121.35,"2,117.11",317.92,72.07,127.77,69.12,103.42,143.20,370.41
09:00:15,"23,034.98","20,104.15","20,521.35","15,865.29",162.25,"2,367.39",149.80,663.76,422.06,111.60,141.30,175.73,76.87,46.67,327.67,135.06,284.55,411.03,"1,241.42",631.84,261.89,41.60,162.50,234.26,257.46,197.17,173.30,583.96,199.51,121.38,"2,121.67",318.56,72.42,128.62,69.20,104.09,143.28,371.02
09:00:20,"23,010.64","20,081.18","20,550.33","15,902.37",162.25,"2,374.26",150.08,662.89,423.01,111.60,141.51,176.45,76.84,47.13,328.59,135.45,285.04,411.69,"1,238.74",629.32,262.33,41.73,162.75,234.47,257.83,197.23,173.49,584.37,199.85,121.42,"2,120.95",317.73,72.81,128.60,68.73,104.48,143.34,375.51
09:00:25,"23,008.69","20,080.65","20,544.30","15,900.04",162.31,"2,374.26",149.89,662.77,422.98,111.54,141.50,176.41,76.84,47.13,328.59,135.38,285.07,411.57,"1,238.75",629.49,262.42,41.71,162.69,234.45,257.79,197.48,173.11,584.38,199.92,121.42,"2,119.74",317.73,72.81,128.59,68.73,104.43,143.34,375.48
09:00:30,"23,005.40","20,076.79","20,545.40","15,899.09",162.31,"2,374.26",149.81,662.94,422.86,111.53,141.52,176.42,76.86,47.13,328.48,135.45,285.11,411.53,"1,238.46",629.30,262.26,41.70,162.65,234.53,258.07,197.48,173.10,584.14,199.77,121.42,"2,120.31",317.73,72.80,128.70,68.73,104.45,143.33,375.84
09:00:35,"23,006.21","20,078.94","20,541.20","15,898.85",162.17,"2,374.26",149.79,662.96,422.81,111.52,141.54,176.48,76.86,47.13,328.48,135.44,285.07,411.52,"1,238.64",629.35,262.29,41.72,162.76,234.54,258.14,197.53,173.18,583.96,199.93,121.42,"2,119.11",317.73,72.80,128.83,68.73,104.43,143.34,375.54
09:00:40,"23,048.03","20,119.12","20,541.59","15,896.90",161.91,"2,374.26",149.78,662.69,422.65,111.51,141.50,176.44,76.83,47.13,328.12,135.42,285.05,411.56,"1,241.89",631.80,262.39,41.72,162.75,234.58,258.05,197.53,173.22,583.85,200.09,121.47,"2,119.72",317.73,72.80,128.72,68.73,104.31,143.33,375.54
09:00:45,"23,046.10","20,116.92","20,541.62","15,895.87",161.91,"2,374.21",149.78,662.69,422.56,111.55,141.56,176.50,76.87,47.13,328.12,135.59,285.05,411.62,"1,241.74",631.76,262.23,41.71,162.63,234.60,257.86,197.53,173.24,583.70,200.19,121.43,"2,119.99",317.73,72.44,128.73,68.73,104.31,143.31,375.51
