股票代碼,公司名稱,公司簡稱,產業類別,住址,董事長,成立日期,上市日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,簽證會計師事務所,英文簡稱,電子郵件信箱,公司網址
2301,光寶科技股份有限公司,光寶科,電腦及週邊設備業,台北市內湖區瑞光路392號22樓,宋明峰,78/03/17,84/11/17,新台幣                 10.0000元,"23,472,499,630","2,347,249,963",合併,每季,董事會,元大證券股份有限公司股務代理部,勤業眾信聯合會計師事務所,LTC,YiWen.Hsieh@liteon.com,http://www.liteon.com/
2303,聯華電子股份有限公司,聯電,半導體業,新竹科學園區新竹市力行二路三號,洪嘉聰,69/05/22,74/07/16,新台幣                 10.0000元,"125,284,663,840","12,528,466,384",合併,每年,股東會,宏遠證券股份有限公司,安永聯合會計師事務所,UMC,IR@UMC.COM,WWW.UMC.COM
2323,中環股份有限公司,中環,光電業,台北市中山區民權西路53號15樓,翁明顯,67/12/02,81/02/17,新台幣                 10.0000元,"10,893,483,280","1,089,348,328",合併,每年,股東會,凱基證券股份有限公司,資誠聯合會計事務所,CMC,IR@cmcnet.com.tw,http://www.cmcnet.com.tw
2324,仁寶電腦工業股份有限公司,仁寶,電腦及週邊設備業,台北市內湖區瑞光路581號及581之1號,陳瑞聰,73/06/01,81/02/18,新台幣                 10.0000元,"44,071,466,250","4,407,146,625",合併,每年,董事會,中國信託商業銀行代理部,安侯建業聯合會計師事務所,Compal,Investor@Compal.com,www.compal.com
2330,台灣積體電路製造股份有限公司,台積電,半導體業,新竹科學園區力行六路8號,魏哲家,76/02/21,83/09/05,新台幣                 10.0000元,"259,327,332,420","25,932,733,242",合併,每季,董事會,中國信託商業銀行 代理部,勤業眾信聯合會計師事務所,TSMC,invest@tsmc.com,https://www.tsmc.com
2344,華邦電子股份有限公司,華邦電,半導體業,台中市大雅區中部科學園區科雅一路8號,焦佑鈞,76/09/29,84/10/18,新台幣                 10.0000元,"45,000,001,930","4,500,000,193",合併,每半會計年度,董事會,華邦電子股份有限公司股務辦事處,勤業眾信聯合會計師事務所,WEC,YCWang16@WINBOND.COM,WWW.WINBOND.COM
2349,錸德科技股份有限公司,錸德,光電業,新竹縣湖口鄉光復北路42號,葉垂景,77/12/29,85/04/23,新台幣                 10.0000元,"6,936,796,630","693,679,663",合併,每年,股東會,台新證券股務代理部,安永聯合會計師事務所,RITEK,personal@ritek.com.tw,http://www.ritek.com.tw
2353,宏碁股份有限公司,宏碁,電腦及週邊設備業,台北市松山區復興北路369號7樓之5,陳俊聖,65/08/01,85/09/18,新台幣                 10.0000元,"30,478,538,280","3,047,853,828",合併,每年,董事會,宏碁股份有限公司股務室,安侯建業聯合會計師事務所,ACER,stock.affairs@acer.com,http://www.acer.com
2356,英業達股份有限公司,英業達,電腦及週邊設備業,北市後港街六十六號,葉力誠,64/06/09,85/11/13,新台幣                 10.0000元,"35,874,750,660","3,587,475,066",合併,每年,董事會,台新證券股務代理部,安侯建業聯合會計師事務所,INVENTEC,iec@inventec.com,https://www.inventec.com/
2363,矽統科技股份有限公司,矽統,半導體業,新竹市公道五路二段180號,洪嘉聰,76/08/26,86/08/01,新台幣                 10.0000元,"4,872,330,810","487,233,081",合併,每年,股東會,宏遠證券股份有限公司,安永聯合會計師事務所,SiS,support@sis.com,www.sis.com
2365,昆盈企業股份有限公司,昆盈,電腦及週邊設備業,新北市三重區重新路五段492號1-8樓,卓世坤,72/11/03,86/11/03,新台幣                 10.0000元,"2,215,284,960","221,528,496",合併,每季,董事會,兆豐證券股份有限公司股務代理部,勤業眾信聯合會計師事務所,KYE,IR@geniusnet.com.tw,www.geniusnet.com.tw
2374,佳能企業股份有限公司,佳能,光電業,新北市新莊區中環路三段200號18樓,曾明仁,54/05/21,84/01/16,新台幣                 10.0000元,"2,875,343,120","287,534,312",合併,每年,股東會,中國信託商業銀行代理部,資誠聯合會計師事務所,ABILITY,kc.cheng@abilitycorp.com.tw,www.abilitycorp.com.tw
2382,廣達電腦股份有限公司,廣達,電腦及週邊設備業,桃園市龜山區文化里文化二路188號,林百里,77/05/09,88/01/08,新台幣                 10.0000元,"38,626,274,320","3,862,627,432",合併,每半會計年度,董事會,中國信託商業銀行   代理部,安侯建業聯合會計師事務所,QCI,qci.invest@quantatw.com,www.quantatw.com
2393,億光電子工業股份有限公司,億光,光電業,新北市樹林區中華路6之8號,葉寅夫,72/05/28,88/11/04,新台幣                 10.0000元,"4,433,930,860","443,393,086",合併,每年,股東會,群益金鼎證券(股)公司股務代理部,安侯建業聯合會計師事務所,EVERLIGHT,fn@everlight.com,www.everlight.com
2406,國碩科技工業股份有限公司,國碩,光電業,新竹縣湖口鄉工業一路3號,陳繼明,86/03/26,89/04/29,新台幣                 10.0000元,"3,509,056,890","350,905,689",合併,每年,股東會,台新證券股務代理部,勤業眾信聯合會計師事務所,GSC,ir@gigastorage.com.tw,http://www.gigastorage.com.tw/index.aspx
2408,南亞科技股份有限公司,南亞科,半導體業,新北市泰山區大科里南林路98號,吳嘉昭,84/03/04,89/08/17,新台幣                 10.0000元,"30,986,278,940","3,098,627,894",合併,每年,董事會,本公司股務組,安侯建業聯合會計師事務所,NTC,NTCIR@ntc.com.tw,https://www.nanya.com
2409,友達光電股份有限公司,友達,光電業,新竹市科學園區力行二路一號,彭又又浪,85/08/12,89/09/08,新台幣                 10.0000元,"76,993,960,920","7,699,396,092",合併,每年,董事會,台新證券股務代理部,安侯建業聯合會計師事務所,AUO,auo@auo.com,www.auo.com
2426,鼎元光電科技股份有限公司,鼎元,光電業,新竹科學園區苗栗縣竹南鎮科中路15號,蘇峯正,76/04/04,89/09/11,新台幣                 10.0000元,"3,006,222,520","300,622,252",合併,每年,董事會,富邦綜合證券股份有限公司,勤業眾信聯合會計師事務所,TYNTEK,service@serv.tyntek.com.tw,www.tyntek.com.tw
2429,銘旺科技股份有限公司,銘旺科,光電業,桃園市中壢區高鐵站前西路一段268號3樓之8,周維昆,67/11/30,89/09/11,新台幣                 10.0000元,"855,000,000","85,500,000",合併,每年,股東會,兆豐證券股份有限公司股務代理部,安侯建業聯合會計師事務所,PWT,audit@abonmax.com.tw,http://www.abonmax.com.tw
