股票代碼,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數,日期
2888,新光金          ,"85,692,099","37,664,000","48,028,099",0,0,0,0,"70,000","-70,000","1,337,000","1,051,000","700,000","351,000","1,210,000","224,000","986,000","49,295,099",20241001
00882,中信中國高股息  ,"26,235,000","3,670,000","22,565,000",0,0,0,0,0,0,"82,901",0,0,0,"965,492","882,591","82,901","22,647,901",20241001
00632R,元大台灣50反1   ,"23,213,000","1,897,000","21,316,000",0,0,0,0,0,0,"-7,362,620","2,000,000",0,"2,000,000","17,959,380","27,322,000","-9,362,620","13,953,380",20241001
2324,仁寶            ,"20,850,000","11,157,000","9,693,000",0,0,0,"909,313","2,710","906,603","1,086,831","57,000","174,000","-117,000","1,347,730","143,899","1,203,831","11,686,434",20241001
00953B,群益優選非投等債,"6,248,000",0,"6,248,000",0,0,0,0,0,0,"4,197,421",0,0,0,"4,997,431","800,010","4,197,421","10,445,421",20241001
00885,富邦越南        ,"6,778,000","190,100","6,587,900",0,0,0,0,0,0,"2,808,401","10,000","20,000","-10,000","4,446,401","1,628,000","2,818,401","9,396,301",20241001
2609,陽明            ,"17,361,580","9,923,400","7,438,180",0,0,0,"647,000","18,000","629,000","1,081,456","1,754,000","918,000","836,000","630,365","384,909","245,456","9,148,636",20241001
2002,中鋼            ,"15,020,100","7,321,451","7,698,649",0,0,0,"579,000","81,000","498,000","-535,922","20,000","298,000","-278,000","291,078","549,000","-257,922","7,660,727",20241001
2610,華航            ,"10,611,000","2,761,000","7,850,000",0,0,0,"19,000","448,120","-429,120","-502,583","53,000","433,000","-380,000","73,260","195,843","-122,583","6,918,297",20241001
2884,玉山金          ,"5,796,618","8,967,000","-3,170,382",0,0,0,"9,656,000","90,140","9,565,860","-206,198","5,000","122,997","-117,997","174,864","263,065","-88,201","6,189,280",20241001
00902,中信電池及儲能  ,"4,735,000","66,000","4,669,000",0,0,0,0,0,0,"1,421,654",0,0,0,"1,547,644","125,990","1,421,654","6,090,654",20241001
2637,慧洋-KY         ,"6,562,000","2,804,500","3,757,500",0,0,0,"2,162,000","14,000","2,148,000","86,797","77,610","38,000","39,610","166,187","119,000","47,187","5,992,297",20241001
00949,復華日本龍頭    ,"2,318,000","71,000","2,247,000",0,0,0,0,0,0,"3,461,290",0,0,0,"4,054,000","592,710","3,461,290","5,708,290",20241001
2498,宏達電          ,"9,601,000","6,522,200","3,078,800",0,0,0,0,70,-70,"2,014,191","1,093,398","216,087","877,311","1,286,158","149,278","1,136,880","5,092,921",20241001
