新聞編號,網址,標題,摘要,關鍵字,內容,發布時間,類別,類別號碼
5725287,https://news.cnyes.com/news/id/5725287,鉅亨速報 - Factset 最新調查：中租-KY(5871-TW)目標價調升至166.46元，幅度約4.04%,FactSet 最新調查：中租-KY(5871-TW)目標價調升，最高估值、最低估值、中位數、綜合評級、近5日股價、大盤表現、即時新聞資訊。,"['台股', '市場預估', '目標價']",根據FactSet最新調查，共10位分析師，對中租-KY(5871-TW)提出目標價估值：中位數由160元上修至166.46元，調升幅度4.04%。其中最高估值201元，最低估值127.78元。綜合評級 - 共有10位分析師給予中租-KY(5871-TW)評價：積極樂觀5位、保持中立5位、保守悲觀1位。中租-KY(5871-TW)今(26日)收盤價為152元。近5日股價上漲4.83%，相關其    他近5日上漲0.65%，集中市場加權指數上漲3.7%，股價漲幅表現優於大盤。資料來源：Factset，數據僅供參考，不作為投資建議。,2024-09-27 08:10:17,台股,826
5724834,https://news.cnyes.com/news/id/5724834,操盤手看台股：震盪中創高！觀察一效應能否浮現,無,"['趨勢分析', '操盤手看台股', '摩爾投顧', '蔡正華']","隨著市場情緒從降息中逐漸和緩，焦點回到美 Fed 主席鮑爾本週四的談話以及週五將公布的通膨指標－核心個人消費支出 (PCE) 物價指數，美股漲跌互見。週四的台股，盤中最高來到 22961 點，續創反彈以來新高，指數終場上漲 97 點，以 22858 點作收，K 線收星線。若由期貨來觀察大盤，週四的台指期開高震盪，盤中最高來到 23078 點，續創反彈以來新高。近日盤面的勝負多在開盤就決定，把握住向上跳空的缺口，比在盤中來回操作相對容易，這是盤勢逐步翻為中多的特徵，對於利空有承受力，對於利多則有放大效果。

短線上，確認行情的反彈或回升，重點看末跌高，而在觀察底部，測量幅度時，重點則是看頸線。若把大盤 8/20 日高點 22545 點視為頸線，8/6 日的 19662 點視為左腳，9/3 日的 20922 點視為右腳，則目前的大盤存在兩種測量距離的方式。首先就是簡單的 W 底，由於頸線在 22545 點，而左腳到頸線是 2883 點，故測距時，在頸線之上再加 2883 點，則這個位置約略在 25428 點，也就是第 4 季的目標區，約略在於大盤越過前波高點 24416 點後，再往上漲 1000 點的位置。至於較為進階的測距方式，則是把 2023 年第 4 季的 15975 點漲到今年 7 月的 24416 點，這段上漲 8441 點視為 N 字上攻的左邊，而把今年第 3 季跌掉的 4754 點視為 N 字中間的拉回，再把這次大盤 8/6 日低點 19662 點作為新起漲點，推估一波 8441 點的 N 字右側上攻，這時等距測量目標位置約在 28103 點，初估時間可能在明年上半年實現，故今年第 4 季對於行情相當重要，指數越過 24416 點，創新高的機會並不小。

盤面上，隨著行情站上季線，果然多方可用之兵變多。先前強勢的 CPO 概念、CoWoS 先進封裝、面板級扇出型封裝等族群，不少個股走出階梯式上攻。以週四盤面看，CPO 概念的華星光、聯鈞、上詮等相繼有買盤進駐，但在此波買盤進場前，華星光已整理 5 日才上攻，聯鈞已整理 4 日才上攻，上詮則是整理後緩步墊高，後續都可追蹤。至於相對低位階的 IC 設計族群，買盤也進一步流入，當中由於先前提過不少 IC 設計股都帶有集團色彩，週四股價果然順勢表態，包括聯電集團旗下的聯傑，盛群、矽統等，神盾集團旗下的迅杰、聯發科集團的聯發科、揚智，凌陽集團的凌陽、凌通，威盛集團的威盛等，股價都順勢走強。至於 AI 伺服器供應鏈，繼機殼及滑軌後，散熱族群轉強，如奇鋐、雙鴻、力致等股價也加溫，可持續追蹤。整體來看，由於當沖及隔日沖盛行，盤中震盪加劇時，部份股票出現了上下影線、開高走低的黑 K 等情形，這些都會阻礙個股上攻的連續性，進而影響市場信心，故後續要觀察賺錢效應能否浮現。盤面要有賺錢效應，人氣才會聚集，個股上攻的連續性才會增加，更多盤面機會可鎖定 Line@粉絲團。

文章來源：摩爾投顧 蔡正華分析師

歡迎大家轉貼本文，並加入《蔡正華金錢道》

Line@頻道：https://lin.ee/om1quOp

（ID：@goldmoney168）

Youtube 頻道：
https://www.youtube.com/channel/UCIWkfrpw6l-jFhFejLrzC-A

FB 臉書粉專：https://www.facebook.com/goldmoney168/

本公司所推薦分析之個別有價證券
無不當之財務利益關係 以往之績效不保證未來獲利
投資人應獨立判斷 審慎評估並自負投資風險
",2024-09-27 08:00:05,專家觀點,899
5725274,https://news.cnyes.com/news/id/5725274,微軟在墨西哥大舉投資AI，台廠AI供應鏈繼續唱旺？AI股如何選？,無,"['趨勢分析', '陳冠廷', '廣達', '晟銘電', '雙鴻', '奇鋐', '力致', '摩爾投顧']","微軟未來三年將在墨西哥加碼投資折合新台幣 416 億元，加強當地 AI 基礎建設，這次微軟大手筆的投資分成三年來看，每年約將新增近 140 億元訂單。綜觀美系前四大雲端服務供應商，微軟的資本支出規模算是最龐大的，金額高達 722 億美元，主要是分佈在 AI 伺服器和 AI 資料中心，顯示微軟仍看好 AI 未來前景。

美國大廠對 AI 的資本支出，直接影響的就是台灣的 AI 供應鏈，像廣達 (2382-TW) 從今年 7 月高點回檔下來，回到年線附近止跌，跌幅已算滿足，9/25 廣達大漲 6% 以上，仍要小心過熱不追，回檔逢大跌震盪可找買點。晟銘電(3013-TW)9/23 漲停創波段新高，走勢目前來說算強勢股創高的格局，但仍要等回檔在找機會介入會較佳，比如 135 元附近過去頸線壓力變支撐，或 5 日線都可先做觀察。

再來就是最近強勢的散熱族群，雙鴻 (3324-TW) 從今年 5 月底見高點後，股價就一路的回檔，直到 8 月初跌幅滿足波段落底後，經過近 2 個月的打底震盪，9/26 大漲 9% 算是波段轉強訊號，但畢竟雙鴻算是超跌撿便宜的買點，以慣性來說，跟今年 1 月到 5 月雙鴻強勢股的走法不一樣，仍要小心過熱不追，因為跌深起來反攻的個股，比較難有直線往上的走勢，通常會有漲漲跌跌的過程。奇鋐 (3017-TW)、力致(3483-TW) 跟雙鴻是類似的狀況。

即時的分析和佈局機會，歡迎加入 LINE 接收最新分享。

接收個股分析、免費盤前稿、和盤後分享，請加入 line 粉絲團成為好友。

台股鈔能力 - 陳冠廷分析師

https://lin.ee/6rOzncL

更完整分析歡迎收看 9/26 盤後節目





文章來源: 摩爾投顧 - 陳冠廷分析師

本公司所推薦分析之個別有價證券 無不當之財務利益關係 以往之績效不保證未來獲利 投資人應獨立判斷 審慎評估並自負投資風險
",2024-09-27 07:56:38,專家觀點,899
5725272,https://news.cnyes.com/news/id/5725272,【鑫攻略早報】事先預告!完全印證!華星光、威盛、力致!低價起漲原物料股是哪一檔?,無,"['趨勢分析', '亨達投顧', '邱鼎泰', '台積電', '長榮', '萬海', '中櫃', '華星光', '威盛', '鑫攻略早報']","今晨美股 4 大指數全數上漲，標普 500 指數再創歷史新高。美國第二季的 GDP 修正值符合預期，中國救市政策持續發酵，那斯達克中國金龍指數 (HXC-US) 大漲近 11%。記憶體大廠美光 (MU-US) 財報利多大漲近 15%，美股由礦業股和科技股領軍，道瓊漲 0.6% 標普漲 0.4%，科技股那指漲 0.6%，費半更是大漲近 3.5%。其他金融商品，紐約期金一度突破 2700 美元 / 盎司續創歷史新高。基本金屬都大漲，LME 銅大漲近 3.0% 再度突破 10000 美元 / 噸。比特幣大漲逾 3%，也突破了 65000 美元 / 枚大關。台股夜盤指數上漲 254 點。

其他重要個股今晨的表現如下: 蘋果 (AAPL-US) 漲 0.5%。微軟 (MSFT-US) 跌 0.1%，META-US 持平小跌 %，亞馬遜 (AMZN-US) 跌 0.7%，谷歌 (GOOG-US) 漲 0.5%。晶片巨頭輝達 (NVDA-US) 漲 0.4%，伺服器大廠美超微 (SMCI-US) 傳遭美司法部調查『會計違規』股價暴跌 12% 盤中跌破 8 月初的股災低點，晶片大廠超微 (AMD-US) 漲 3.3%，半導體權重股博通 (AVGO-US) 漲 1.4%，記憶體大廠美光 (MU-US) 漲近 15%，台積電 ADR(TSM-US)漲 2.4%，特斯拉 (TSLA-US) 跌 1.0%，AI PC 美股指標股英特爾 (INTC-U) 推出新晶片漲 1.6%，戴爾 (DELL-US) 漲 5.2%。減肥藥大藥廠禮來 (LLY-US) 跌 1.6%。BDI 指數漲 3.7%BCI 海岬指數大漲 8.0%，續創波段高點。陸股飆漲帶動了美股礦業股，美國鋁業 (AA-US) 大漲 9.0%，美國南方銅業 (SCCO-US) 大漲 8.2%，股價直逼歷史新高。

回到台股，美股費半續漲，台股也續漲，昨天終場台股加權指數收漲 97 點，看看亞股都表現不俗，日股漲 2.5% 韓股漲 2.6%，中國股市上證指數漲 3.6%，剛好收在 3000 點，其中最強的是科技股，恒生科技指數 (HSTECH) 又大漲逾 7%，直逼今年高點，最新大摩的看法，陸股或將引領新興市場明年上漲一波。因此上證的 3000 大關就非常重要。



我們就從以上資訊來推論，以便作為選股的依據，老師的看法是，選美股強勢的個股，並且連動陸股強勢的個股，兩者交集下作選股依據，而電子不是唯一主流，也就電子選的是中概電子股並且配合美股相關的上漲電子股，加上原物料個股，我們作一個比較，若以 IC 設計來看昨天世芯 (3661) 盤中一度接近跌停，直逼股災的低點，但屬於中概股的 IC 設計如威盛 (2388-TW) 和矽統 (2363-TW) 卻攻漲停，威盛 (2388-TW) 甚至接近一年來高點，關於威盛老師在前天 (9/24) 拉回至 127 元附近還在本專欄和『YT 的台股鑫攻略』建議投資朋友買進，老師的標題是『驚驚袜著頂，威盛今加碼!』，歡迎投資朋友一定要鎖定老師的 YT。所以昨天投資朋友至少又賺了一支漲停，然後不要忘了，老師近日一直將威盛和矽光子的華星光 (4979-TW) 一起推荐，週三的標題是『華星光 (4979-TW) 明天中多轉折關鍵!』昨天華星光再度急拉尾盤大漲 5.6%，收 150 元，重要關卡是 150 元，今天確定突破就成中多格局，這 2 檔個股好戲才要開始，如何來回操作? 買點賣點? 只有緊跟老師的腳步才真的賺得到，請留意老師是全市場唯一提前預告，也讓投資朋友可以作印證，大家試著想想，股市操作是不是要提前預告? 老師最大的希望是我們的會員朋友和投資人都可以在股市賺到錢，加入老師的行列是讓大家可以安心工作不必為了進出而煩惱，台股鑫攻略歡迎大家的加入!

電子不是唯一主流，不然海運股不會強勢大漲 2 天，但熟悉老師操作的投資朋友都知道貨櫃三雄，我們的操作是拉回買過高賣的操作，所以今天我們就在長榮 (2603-TW) 和萬海 (2615-TW) 的高點獲利出，這個資金我們馬上轉入散熱的個股，為何? 因為美股的 2 檔重要指標維諦技術 (VRT-US) 和摩丁 (MOD-US) 走出利高轉中多，今天的散熱雙鴻 (3324-TW) 和奇鋐 (3017-TW) 都大漲，而我們選的是力致 (3483-TW) 因為力致是華為概念股(如上所言美股電子 + 中概電子)，全球原物料個股大漲，相對於台股哪些個股會強力跟上，海運大漲了，生技呢? 重電呢? 這 2 個重要的業內股，比特幣突破了 65000 美元大關，相關個股後勢如何? 還看好嗎? 老師在 YT 的節目『台股鑫攻略』分析的很清楚。

由於全球原物料礦業股強漲，請大家先鎖定老師的免費的會影音，今天準備一檔股價位階低基本面佳的低價股。老師 YT 的台股鑫攻略，老師講得非常清楚。更歡迎投資人快快加入我們會員行列，結構轉折剛開始，有的個股這波會像青雲 (5386-TW) 一樣飆逾倍甚至更飆，這是投資朋友大賺的好機會，切莫錯過。! 趕快來電洽詢!。

請大家先鎖定老師的免費的會員影音 (內有小型飆股)，和老師 YT 的『台股鑫攻略』，老師都講得非常清楚。更歡迎投資人快快加入我們會員行列，結構轉折剛開始，有的個股這波會像之前老師推荐青雲(5386-TW) 一樣飆逾倍甚至更飆，這是投資朋友大賺的好機會，切莫錯過。! 趕快來電洽詢!

操作難度提高了，投資朋友若有操作上或持股的問題歡迎加入老師的 LINE。LINE 好友連結 : https://lin.ee/5fbMyC2。

最新影音 (請點影音上方標題至 Youtube 收視品質會更佳:



您可以點選下方黃色圖，股票健診或詢問入會，將有專人會協助您!



台股鑫攻略，帶您掌握全世界，跟著邱老師，穩中求勝才是您的最佳操作策略。台股鑫熱線 02-2653-8299。

文章來源：邱鼎泰分析師 / 亨達投顧

本公司所推薦分析之個別有價證券 無不當之財務利益關係 以往之績效不保證未來獲利 投資人應獨立判斷 審慎評估並自負投資風險
",2024-09-27 07:54:33,台股新聞,827
5725211,https://news.cnyes.com/news/id/5725211,〈台股盤前要聞〉拚2萬3外資掃貨台積電、新新併後PB具比價空間、看漲房市比例腰斬,台股盤前要聞,"['台股', '台股盤前', '台股盤前要聞']","9/27 台股盤前要聞

1. 台股 26 日終場上漲 97.21 點以 22858.81 作收，成交值 4328.83 億元，三大法人合計買超 273.23 億元，外資除了砸 125.7 億元買超台積電 (2330-TW) 之外，也買超貨櫃航運長榮 (2603-TW)、萬海 (2615-TW) 及陽明 (2609-TW)。

2. 台新金 (2887-TW) 與新光金 (2888-TW) 併購案正進行委託書徵求大戰，將在 10/9 股臨會闖關，台新投顧副董事長李鎮宇今 (26) 日以分析師、國際角度分析，兩家合併後，資產市值規模將躋身金控前段班，業務互補發揮 1+1>2 的綜效，此外，PBR(股價淨值比) 將有向上比價的空間。

3. 新台幣兌美元匯率 26 日終止連 2 升，呈現股匯不同調，雖然外資早上匯入，但投信下午又匯出買美元，兩股力道抵銷之下，終場微貶 0.5 分，收在 31.845 元，台北及元太外匯市場總成交值略縮至 17.92 億美元。匯銀人士分析，人民幣中間價逐步往 7 關口靠攏，接下來可聚焦何時正式突破，具有指標性意義，屆時可望帶動一波資金流向主要亞幣。

4. 信義房屋 (9940-TW) 針對官網使用者進行 2024 第四季的購屋意向調查，調查期間為台灣央行的第七波選擇性信用管制措施實施之際，調查結果顯示央行從喝完咖啡到第七波管制措施以來，民眾對於房價樂觀情緒大幅消退，從上一季最熱 56% 看漲房價，到近期一口氣腰斬，剩下 26% 看漲房價。

5. 大同 (2371-TW) 26 日公告，通過處分北市大安區復興南路不動產，交易總金額約 95.88 億元，力拚年底前交割，若加上芙蓉大樓資產活化案金額 131.25 億元，累計總金額高達 227 億，可望加速實現發放股利目標。

6. 代工大廠緯創 (3231-TW) 受邀參加外資法說會，管理團隊表示，輝達 (NVDA-US)GB200 運算板將在第四季量產，並在明年第一季放量，同時也持續受惠 AI 伺服器相關業務，下半年 AI 伺服器基板需求良好。

7. 被動元件大廠國巨 (2327-TW)26 日舉辦「AI 高峰論壇」，董事長陳泰銘受訪時指出，目前輝達 (Nvdia) 或是 AI 伺服器代工廠都是國巨客戶，公司產品也已經使用在新一代 AI 伺服器上，目前概算 AI 應用營收占比約 5%。

外資買超台股 212 億元 砸 125 億元加碼台積電 也沒忘要用力買船票

〈新新併啟動〉台新李鎮宇：躋身金控前段班 PB 向上比價空間可期

〈台幣〉終止連 2 升轉趨觀望 匯銀：人民幣 7 關口何時突破成指標

〈房產〉央行重手打炒房有感 信義房屋調查：看漲房市比例腰斬

力積電與塔塔 12 吋晶圓廠合作定案 投資額達 110 億美元

大同處分北市東區 96 億不動產 力拚年底交割

緯創 GB200 運算板 Q4 量產 下半年 AI 伺服器需求佳

M31 連七年獲台積電 OIP 矽智財夥伴獎 5 奈米 ONFi5.1 IP 完成矽驗證

國巨陳泰銘：AI 營收比重約 5% 產品已供應最新一代 AI 伺服器

國產發表全系列低碳高端混凝土 未來 3 年出貨估達 60 萬立方米

遠東新下半年本業估持平 綠色產品需求強年底比重衝 4 成

〈聲寶法說〉積極推進資產活化 台南廠 11 月落成啟用
",2024-09-27 05:10:02,台股,826
5725143,https://news.cnyes.com/news/id/5725143,鉅亨速報 - Factset 最新調查：全新(2455-TW)EPS預估下修至4.15元，預估目標價為184元,FactSet 最新調查：全新(2455-TW)EPS預估下修，預估EPS、預估營收、目標價、歷史獲利表現、即時新聞資訊。,"['台股', '市場預估', 'eps']","根據FactSet最新調查，共11位分析師，對全新(2455-TW)做出2024年EPS預估：中位數由4.18元下修至4.15元，其中最高估值4.57元，最低估值3.86元，預估目標價為184元。市場預估EPS預估值2024年(前值)2025年2026年最高值4.57(4.57)6.087.7最低值3.86(3.86)4.115.74平均值4.19(4.23)5.466.88中位數4.15(4.18)5.77.05市場預估營收預估值(單位：新台幣千元)2024年2025年2026年最高值3,739,0004,662,0005,285,000最低值3,402,0003,770,0004,469,370平均值3,523,5304,247,8805,027,840中位數3,470,5004,288,0005,178,500歷史獲利表現項目2023年2022年2021年2020年EPS2.432.954.622.88營業收入(單位：新台幣千元)2,694,1042,603,6293,608,5212,645,003詳細資訊請看台股內頁：https://www.cnyes.com/twstock/2455/financials/ratios資料來源：Factset，數據僅供參考，不作為投資建議。",2024-09-26 22:10:47,台股,826
5725142,https://news.cnyes.com/news/id/5725142,鉅亨速報 - Factset 最新調查：長榮(2603-TW)目標價調升至220元，幅度約8.64%,FactSet 最新調查：長榮(2603-TW)目標價調升，最高估值、最低估值、中位數、綜合評級、近5日股價、大盤表現、即時新聞資訊。,"['台股', '市場預估', '目標價']",根據FactSet最新調查，共10位分析師，對長榮(2603-TW)提出目標價估值：中位數由202.5元上修至220元，調升幅度8.64%。其中最高估值250元，最低估值136元。綜合評級 - 共有10位分析師給予長榮(2603-TW)評價：積極樂觀6位、保持中立2位、保守悲觀2位。長榮(2603-TW)今(26日)收盤價為206元。近5日股價上漲8.42%，相關航 運 業近5日上漲8.04%，集中市場加權指數上漲3.7%，股價漲幅表現優於大盤。資料來源：Factset，數據僅供參考，不作為投資建議。,2024-09-26 22:10:36,台股,826
5725105,https://news.cnyes.com/news/id/5725105,〈新新併啟動〉台新李鎮宇：躋身金控前段班 PB向上比價空間可期,台新金 (2887-TW) 與新光金 (2888-TW) 併購案正進行委託書徵求大戰，將在 10/9 股臨會闖關，台新投顧副董事長李鎮宇今 (26) 日以分析師,"['台新金', '新光金', '合併']","台新金 (2887-TW) 與新光金 (2888-TW) 併購案正進行委託書徵求大戰，將在 10/9 股臨會闖關，台新投顧副董事長李鎮宇今 (26) 日以分析師、國際角度分析，兩家合併後，資產市值規模將躋身金控前段班，業務互補發揮 1+1>2 的綜效，此外，PBR(股價淨值比) 將有向上比價的空間。

李鎮宇指出，他個人跟新光人壽的接觸經驗是，其實他們都是很有才華，市場的判讀也很精確，之前發生購買宏達電虧損 60 億元，其實最主要的原因在於管理階層不當干預。

不過，今年新經營團隊進駐新光後，獲利能力就大幅改善，顯見金融業最重要的資產還是人才，李鎮宇強調，台新新光系出同門，合併後大家團結一致，一定能創造極大的綜效。

李鎮宇進一步指出，台灣的銀行業很零碎，全球百大銀行調查，台灣沒有一家銀行擠進前百大，相較其他國家，日本有 8 家、韓國 6 家、新加坡 3 家，所以，台灣金融市場能見度有限。

李鎮宇說，目前台灣 14 家金控的評價也很兩極化，前段班的四大金控平均 P/B Ratio 大約是 1.5 倍，且前四大 PB 都差不多，也沒有第一 (1.51) 會比第四 (1.7) 高的道理。

其他的金控平均 P/B Ratio 卻只有約 1.1 倍，也就是說，未來若是台新金和新光金順利合併，除了資產和市值規模將擠入前段班外，隨著業務互補發揮 1+1 大於 2 的合併綜效，PB 將有向上比價的空間，股價的想像空間會最大，對於小股東將是最好的選擇。
",2024-09-26 22:07:58,台股新聞,827
5725076,https://news.cnyes.com/news/id/5725076,國巨陳泰銘：AI營收比重約5% 產品已供應最新一代AI伺服器,被動元件大廠國巨 (2327-TW) 今 (26) 日舉辦「AI 高峰論壇」，董事長陳泰銘受訪時指出，目前輝達 (Nvdia) 或是 AI 伺服器代工廠都是國巨客戶，公司產品也已經使用在新一代 AI 伺服器上，目前概算 AI 應用營收占比約 5%。,"['國巨', '陳泰銘', '被動元件', 'AI', '伺服器']","被動元件大廠國巨 (2327-TW) 今 (26) 日舉辦「AI 高峰論壇」，董事長陳泰銘受訪時指出，目前輝達 (Nvdia) 或是 AI 伺服器代工廠都是國巨客戶，公司產品也已經使用在新一代 AI 伺服器上，目前概算 AI 應用營收占比約 5%。

陳泰銘表示，現在檯面上看到的 AI 主要參與者，無論國內外廠商，基本上都是國巨的客戶，美系客戶上一代以及新一代的 AI 伺服器，國巨產品都已經導入其中，若以 AI 伺服器主要使用的 MLCC 規格 X6S 來看，撇除外商不說，國巨是台灣本土最大供應商。

針對 AI 營收占比，陳泰銘表示，雖然業界都希望量化，但並不容易，因為 AI 並不是單一應用項目，除了伺服器、資料中心外，很多行業也都會用到 AI，包括未來汽車、PC 也會相繼導入，只能從對客戶的了解、交貨情況來推估。

陳泰銘強調，現在 AI 只是第一局上半，未來會有相當多的應用，但 AI 應用能否拓展，也要考慮用電，如何使用電更有效率或是把用電量降下來，因此，國巨也持續研發布局 AI 相關電源管理方案。

陳泰銘今日在 AI 高峰論壇開場致詞時表示，經過多年轉型「國巨已經不是前的國巨」，目前已經掌握所有 AI 需要的產品線，在 AI 領域絕不缺席，AI 興起將帶動被動元件、感測器及功率半導體的需求大幅上升，將助力國巨集團邁向下一個成長階段。

國巨表示，透過此次 AI 高峰論壇的熱烈回響及高層次的產業技術研討，再次突顯集團在 AI 領域的領導地位，以及持續致力於推動及創造未來技術進步的承諾。
",2024-09-26 22:03:11,台股新聞,827
5725068,https://news.cnyes.com/news/id/5725068,〈新新併啟動〉外資機構出具報告贊成 台新金總座：股臨會信心滿滿,新新併委託書大戰持續進行中，台新金總經理林維俊目前人正在歐洲進行 Road Show，今 (26) 日表示，國外機構 ISS 出具研究報告，建議贊成台新金及新光金合併案，另一家 GL 也贊成台新金合併案,"['台新金', '林維俊', '外資', '新新併']","新新併委託書大戰持續進行中，台新金 (2887-TW) 總經理林維俊目前人正在歐洲進行 Road Show，他今 (26) 日表示，國外機構 ISS 出具研究報告，建議贊成台新金及新光金合併案，另一家 GL 也贊成台新金合併案，對於股臨會過關從有信心到信心滿滿，目前來看，外資看法都是持正面態度，樂見台新新光躋身一流金控，銀行、證券、保險將會有更好的平衡發展。

林維俊指出，ISS 甫發出報告，建議股東於台新以及新光 10/9 的股臨會上投票贊成合併，ISS 並於報告中指出這個合併案具有策略價值、估值合理，並期待整合雙方資源提升競爭力。交易完成並順利整合後，將可大幅提升公司表現，進而提升股東價值。GL 出具報告也對台新表示贊成，新光報告尚未出爐，照理說也有所期待。

若從新光金股東角度來看，林維俊說，外資也會擔心，新光如果不接受合併，自己單飛的風險較大，包括利率、匯率、股市等各種市場動向，對獲利狀況都有很大的影響，未來元富證券、新光銀行產生的獲利能不能抵禦風險，外資存有疑慮，這是相當現實的評估。

若新光與台新合併，對新光而言，也能消彌到一些接軌、未來經營的不確定風險，可以透過兄弟公司來支持增資，比起單打獨鬥，合併的未來會更好。

對於目前委託書徵求狀況，林維俊表示，出國前掌握狀況都滿順利的，甚至比去年狀況還要好，不過，近來台灣天候不佳，進度可能稍微慢下來，但狀況依舊不錯、問題不大。

外資方面，投票截止日期落在下周五，目前新光金外資持股約占 20%，三分之二都是大型外資，幾乎都有掃過一遍，三分之一是中小型，則要靠  ISS、GL  等研究機構支持，林維俊強調，不能幫外資表態，但接觸以來抱持樂觀期待，有部分外資就是不投票，預估投票率約 7 成。
",2024-09-26 21:47:44,台股新聞,827
