股票代碼,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2301,2024-09-02,"3,526,346","376,645,003",107.50,108.00,106.00,107.00, 0.00,"2,513"
2301,2024-09-03,"7,537,431","794,219,390",106.50,107.00,104.50,105.00,-2.00,"4,720"
2301,2024-09-04,"11,546,853","1,170,235,828",100.50,103.50,99.20,100.50,-4.50,"7,236"
2301,2024-09-05,"7,407,463","754,389,506",102.50,103.00,101.00,101.50,+1.00,"3,970"
2301,2024-09-06,"5,279,577","538,093,363",101.50,103.00,100.50,102.00,+0.50,"3,934"
2301,2024-09-09,"6,687,368","675,693,271",100.00,102.50,100.00,101.50,-0.50,"4,218"
2301,2024-09-10,"12,990,486","1,287,698,196",101.50,102.50,96.70,96.70,-4.80,"9,707"
2301,2024-09-11,"7,985,747","784,830,021",95.50,99.60,95.50,99.60,+2.90,"4,656"
2301,2024-09-12,"7,165,190","725,775,535",101.00,102.00,100.50,101.50,+1.90,"4,449"
2301,2024-09-13,"7,052,332","710,695,163",102.00,102.00,100.00,101.50, 0.00,"4,834"
2301,2024-09-16,"2,479,553","250,851,326",101.50,101.50,100.50,101.50, 0.00,"2,068"
2301,2024-09-18,"8,138,094","821,935,944",101.50,102.50,99.80,100.50,-1.00,"4,445"
2301,2024-09-19,"10,639,532","1,071,572,805",100.50,102.00,99.50,100.50, 0.00,"4,369"
2301,2024-09-20,"20,940,396","2,081,970,877",100.50,102.00,98.70,98.70,-1.80,"5,005"
2301,2024-09-23,"8,177,878","808,872,663",100.00,100.00,98.00,98.60,-0.10,"6,625"
2301,2024-09-24,"8,918,302","887,219,778",98.70,100.50,98.70,99.60,+1.00,"4,607"
2301,2024-09-25,"10,471,013","1,056,067,612",100.50,102.00,100.00,100.50,+0.90,"4,681"
2301,2024-09-26,"7,733,610","776,723,975",101.50,102.00,99.50,100.00,-0.50,"3,655"
2301,2024-09-27,"7,827,698","786,853,298",101.00,101.50,100.00,100.00, 0.00,"3,320"
2301,2024-09-30,"5,663,492","567,435,430",100.50,101.00,99.50,99.50,-0.50,"3,706"
2303,2024-09-02,"35,096,170","1,936,319,833",55.60,55.60,54.80,55.40,-0.10,"10,816"
2303,2024-09-03,"27,896,571","1,542,192,127",55.20,55.60,55.00,55.10,-0.30,"7,645"
2303,2024-09-04,"85,748,502","4,574,666,003",53.00,54.10,52.30,53.30,-1.80,"31,144"
2303,2024-09-05,"37,783,857","2,041,606,336",53.90,54.60,53.60,53.90,+0.60,"10,951"
2303,2024-09-06,"24,617,263","1,337,850,400",54.30,54.50,53.60,54.50,+0.60,"8,368"
2303,2024-09-09,"46,437,090","2,480,087,923",52.90,53.80,52.60,53.80,-0.70,"12,827"
2303,2024-09-10,"34,262,285","1,824,628,704",53.80,53.80,52.90,53.30,-0.50,"13,169"
2303,2024-09-11,"24,122,229","1,298,680,795",53.30,54.00,53.20,54.00,+0.70,"7,614"
2303,2024-09-12,"35,327,391","1,946,021,545",55.10,55.40,54.90,55.20,+1.20,"16,058"
2303,2024-09-13,"30,635,902","1,672,171,622",55.20,55.30,54.30,54.60,-0.60,"13,103"
